	Title	price	species	age	gender	description	seller_name	seller_location	seller_type	listing_type	pet_type
0	Hermanns Tortoise for stud	£45	Tortoise	1 year	Male	I’ve had Buster about 4 years, think he’s about 22. Seems to have a show fetish as Humps shoes all day. No problems health wise since I’ve had him. 	Stephanie  B.	Southampton(26.4 miles away)	Individual	stud	reptiles
1	2yo common boa with set up and food	£150	Boa Snake	2 years	Male	"Beautifully coloured Common Boa for sale with Tank, viv, heat lamp and 1 frozen large rat weiners.

Brahms (the snake) is used to being handled, never stroked anyone or anything.

Needing rehoming due"	Morgan D.	Bournemouth(10.9 miles away)	Individual	sale	reptiles
2	hypo, trans, leatherback, zeros, witblits	£100	Bearded Dragon	4 months	Mixed	"http://www.coastaldragons.co.uk/ ALL PRICES ON HERE. Free courier countrywide weekly.

https://www.facebook.com/CoastalDragon/




*24/05/2022* We currently have witblits, zeros, hypos, translucents available.Prices £135 - 950


We have a large variety of bearded dragons currently available. 

Check out our website for specific genetic details and prices. 

head over to ou"	Coastal Dragons	Yeovil(28.3 miles away)	Breeder	sale	reptiles
3	Full list baby ball python CB21	£0	Python Snake	1 year	Mixed	"Passione breeder based in Southampton, here to sell some of my hatching that are ready to go, everyone feeding properly, shedding and pooping.

CB 21
0.1 GHI £160
1.0 GHI £120
0.1 wild £40
1.0 wild £2"	Eden Garden Reptiles	Southampton(26.9 miles away)	Breeder	sale	reptiles
4	5 years old Lesser ball python 	£150	Python Snake	5 years	Mixed	"5 years old Lesser Ball Python healthy very social, needs new home 
Large black vivarium with 2x hides
Day/night cycle and ceramic heat lamp with guard 
"	Matt B.	Poole(6.4 miles away)	Individual	sale	reptiles
5	Ambanja male panther chameleon 	£350	Chameleon	5 months	Male	"6 month old male ambanja
Very reluctant sale, only selling as we already have his bloodline so very a shame to waste him, no time wasters please"	Hampshire chameleons	Southampton(28.8 miles away)	Breeder	sale	reptiles
6	breeding males ball python	£75	Python Snake	8 years	Male	Males proven and ready to breed, beautiful animals awesome attitude, do everything as should. Pastel, Pinstripe CB14 £ 90 Orange Dream, Enchi CB18 £150 Dark Mojave CB19 £75	Eden Garden Reptiles	Southampton(26.9 miles away)	Breeder	sale	reptiles
7	Axolotl Juveniles Various Morphs	£15	Axolotl	5 weeks	Mixed	Axolotl Juveniles collection Southampton or next day tracked postage for additional £15 (£20 if bought a pair). Wilds £15 Albino pink/golden £20 Lucy £25. All 25 pretty babies from SL Axolotls growing	TaliasAquaPuppies	Southampton(28.3 miles away)	Breeder	sale	reptiles
8	Western Hognose Normal Female	£100	Snake	9 months	Female	Lovely hognose snake. Pooping, eating and shedding with no problem. Downsizing my collection. This a friendly hognose, hissing if you disturbed it or touch it's enclosure, but eventually quiet and fri	HerExoticz	Southampton(26.1 miles away)	Breeder	sale	reptiles
9	Breeding group of mourning gecko's and planted enc	£80	Gecko	Due in 2 weeks	Female	I have for sale a group of mourning gecko's and a load of eggs in a bioactive setup 30x30x45 exo terra planted comes with 6 adults 2 babies and a load of eggs absolutely brilliant price as gecko's alo	Paul C.	Romsey(21 miles away)	Individual	sale	reptiles
10	Fire morph royal python 	£275	Python Snake	4 years	Female	This lovely girl is around 3 years old, she’s got a very good temperament and is eager to be handled, would not recommend as a starter snake but would make a great addition to someone with experience.	Paige C.	Fordingbridge(11 miles away)	Individual	sale	reptiles
11	Female Bearded Dragon and full set up	£300	Bearded Dragon	1 year	Female	"5ft custom made  Viv with everything that is needed for a bearded dragon.

Bearded Dragon is approx one year old, loves being handled and is very friendly. Only reason for sale is that we just don’t h"	Kelly S.	Poole(6 miles away)	Individual	sale	reptiles
12	Adult Male Halmahera Giant Gecko For Sale	£65	Gecko	1 year	Male	Adult Male Halmahera Giant Gecko For Sale, absolutely stunning animal! One of the worlds largest gecko species, not great for handling, beautiful display animal! £65.00 REGEN TAIL!! does not come with	Reece J.	Bournemouth(6.5 miles away)	Licensed Breeder	sale	reptiles
13	Honeyblast Male Dwarf Reticulated Python For Sale	£230	Python Snake	4 months	Male	Honeyblast Male Dwarf Reticulated Python For Sale. Feeds and poops well! Animal has just shed and is absolutely STUNNING! Very active and tame snake	Reece J.	Bournemouth(6.5 miles away)	Licensed Breeder	sale	reptiles
14	Crested geckos 	£70	Gecko	9 months	Mixed	young  crested geckos.  healthy, with intense colors, they eat pangea and crickets.  Gender not specified	Terra Tex Gecko	Southampton(29.5 miles away)	Breeder	sale	reptiles
15	Male crested gecko 	£45	Milk Snake	1 year	Male	"Male crested geckos 
He’s about 1year 6  months 
Eat locusts and sometime powdered food 
He’s 29gram 
Can be handled but loves to jump 

"	Ryan E.	Lymington(20.3 miles away)	Breeder	sale	reptiles
16	High Red Hypo Trans Genetic Stripe Bearded Dragons	£150	Bearded Dragon	14 weeks	Mixed	"A choice of 3 stunning baby bearded dragons all eating well on bugs and salad. The prices are as follows/

5. High red Hypotrans leather two small toe nips - £200
6. Citrus blue bar leather hypo het t"	Fizzifish	Yeovil(28.7 miles away)	Breeder	sale	reptiles
17	High Red Hypo Trans Tangerine Baby Bearded Dragons	£125	Bearded Dragon	14 weeks	Mixed	"I have a choice of 4 lovely baby bearded dragons in this listing. I have many other adverts for baby dragons on here too so just ask if you are after something else..

1. Blue bar tangerine Hypotrans "	Fizzifish	Yeovil(28.7 miles away)	Breeder	sale	reptiles
18	Male anaconda 66% het albino western hognose 	£80	Snake	6 months	Male	Male anaconda 66% het albino western hognose snake. He's taken a long time to get feeding but is now taking pinkies from tongs. Ready to be rehomed immediately 	John W.	Bournemouth(6 miles away)	Breeder	sale	reptiles
19	Male albino anaconda western hognose	£120	Snake	6 months	Male	Hatchling male albino anaconda western hognose snake. He took a long time to get him feeding but he now eats pinkies from tongs. Beautiful animal, typical western hognose attitude. Ready to re-home im	John W.	Bournemouth(6 miles away)	Breeder	sale	reptiles
20	Adult Musk Turtle	£0	Turtle	6 years	Mixed	"Free to a good home as I am moving and don’t have room for him. 
He is around 6 years old.
I feed him mainly fish and sometimes other treats. 
I would like him to go to a home with someone who is expe"	Chris M.	Salisbury(25.6 miles away)	Individual	adoption	reptiles
21	Blue Celestial Parrotlet	£55	Parakeets	9 weeks	Male	I have this 10 week old Blue Celestial Parrotlet with his cage, he’s friendly. He’s not loud, he’s a brilliant bird!	Caprice H.	Southampton(26.2 miles away)	Individual	sale	birds
22	Beautiful 3 month old budgie	£30	Budgerigars	13 weeks	Male	Beautiful 3 month old budgie, blue and white colour  he will come to your hand if you have millet,  when he is outside cage, he will step up onto a perch to go back into his cage, doesn't bite, someone with more time to bring him on further, comes with cage and seed	Maureen A.	Blandford Forum(12 miles away)	Individual	sale	birds
23	Fancy Mutation Baby Budgies / Helicopter & Cages	£35	Budgerigars	8 weeks	Mixed	"Fancy Mutation Baby Budgies / Helicopter & Cages

I have some really nice Fancy Mutation Baby Budgies - Males and Females

~ Prices Per Budgie **Start at £35 Each

~ Helicopter Budgies £75
Each

Clear"	Mr B S.	Southampton(29.2 miles away)	Breeder	sale	birds
24	Budgie for sale 	£20	Budgerigars	3 weeks	Male	"11 week old white budgie for sale 

Bought him but unfriendly I don’t have as much room and time as I thought, ideally would like him to live with another bird,
Cage included in price collection Bosco"	Lucy D.	Bournemouth(10.1 miles away)	Individual	sale	birds
25	baby budgies	£20	Budgerigars	8 weeks	Mixed	3 lovely healthy home breed budgies.two green and one blue seven weeks old.twenty pounds each thanks for checking 	Abdussalam J.	Bournemouth(8.7 miles away)	Individual	sale	birds
26	Finches	£6	Finches	7 weeks	Mixed	Male and Female zebra finches available for sale.. £6 each or £10 for a pair, bred in an outside aviary	Amy E.	Portland(28.1 miles away)	Individual	sale	birds
27	golden pheasant chicks	£5	Mixed Breed	5 weeks	Mixed	Golden pheasant chicks for sale, £5 each. mixed as to young to sex yet. Would need to bring own cage/box to collect them.	Amy E.	Portland(27.2 miles away)	Individual	sale	birds
28	Beautiful budgies	£25	Budgerigars	9 weeks	Mixed	Three beautiful budgies, 8 weeks old. Eating seeds and vegetables independently. Ready for their new homes.	carol p.	Lymington(20.5 miles away)	Individual	sale	birds
29	2 Dutch blue lovebirds	£45	Lovebirds	10 weeks	Mixed	2 Dutch blue lovebirds for sale, strong healthy birds, 2022 rung, parent reared, please contact me for more info	palmers parakeet’s	Salisbury(25.9 miles away)	Breeder	sale	birds
30	Stunning Blue Indian Ringneck Parrot 	£450	Parrots	1 year	Male	"Stunning Blue Indian Ringneck Parrot looking for a forever home.
Unfortunately due to changes of circumstance my FIL no longer has the time for him anymore; he deserves a home in which he has the time"	steph l.	Ferndown(6 miles away)	Individual	sale	birds
31	Pure white tufted budgie	£30	Budgerigars	11 weeks	Female	"I have a beautiful pure white tuffted baby budgie for sale . From crested parents. Bred in a free flight aviary. Right age for taming, has been handled. 
Very pretty bird ,believe to be female. Only g"	BLACKTSAR TOY DOGS	Bournemouth(9.6 miles away)	Breeder	sale	birds
32	Male Quaker parrot and cage	£300	Parrots	1 year	Male	"Quaker parrot around 1 year old for sale. He is a lovely boy but unfortunately our dogs are paying him too much attention so want to re-home him for his safety. 
He is around 1 year old and comes with"	Cat S.	Salisbury(21.1 miles away)	Individual	sale	birds
33	FOR SALE BABY & ADULT BUDGIES	£15	Budgerigars	10 weeks	Mixed	"I AM DOWN SIZING AND HAVE BABY & ADULT BUDGIES FOR SALE ASSORTED COLOURS MALE & FEMALE
BUDGIES AGE 6 MONTHS TO 2 YEARS £15
BABY BUDGIES £20
PLEASE PHONE FOR MORE INFORMATION"	Ros B.	Southampton(24.5 miles away)	Individual	sale	birds
34	Baby Parrotlet Boy	£60	Parakeets	10 weeks	Male	9 week old male parrotlet available. Not yet tame but perfect age for taming. My older female does not like him.	Peaches L.	Southampton(28.3 miles away)	Breeder	sale	birds
35	Two baby budgies for sale	£50	Budgerigars	9 weeks	Mixed	"***now sold***
We have 2 baby budgies for sale, ready to go next week. Hand tame as have been handled daily from 3 weeks old. £50 for the two or £100 for them both and a cage. Both birds to go togethe"	Emma P.	Southampton(24.6 miles away)	Breeder	sale	birds
36	Pair of Budgies	£100	Budgerigars	2 weeks	Mixed	I have my budgies for sell, the light green coloured one is a boy (he's called Lime). The blue/green one is a girl (and she's called Kiwi). I'm only looking to sell them as I'm now moving out of home 	Lucy G.	Salisbury(18.6 miles away)	Individual	sale	birds
37	Cockatiels	£140	Cockatiels	2 weeks	Male	Super tame hand rearded cockatiels, .love sitting on your shoulder.he is starting to high five and wolf whistle,now 12 weeks old 	Marie	Poole(6.9 miles away)	Breeder	sale	birds
38	Pineapple Conure babies hand reared	£300	Conures	14 weeks	Mixed	Only 2 left! Stunning silly hand tame pineapple conures(high red) hand reared with lots of love they have awesome personality and love lots of cuddles and attention ready to go to loving homes now 	natalie p.	Salisbury(19.6 miles away)	Individual	sale	birds
39	Amazon parrot 🦜 	£750	Parrots	3 years	Mixed	"Semi tame 
Only 4yrs old
Comes with large cage and toys
Says a few words like hello alright come here 
Collection only"	claire c.	Christchurch(7.2 miles away)	Individual	sale	birds
40	Blue silver with White Stud Diego	£450	Maine Coon	11 months	unknown	"Diego is blue silver with white stud. 
only to registered breeder queens.

Diego is our gentle giant. He is a friendly and calm family pet. He is active registered with the GCCF and TICA. He is a prov"	Sapphirecoons	Bournemouth(6.2 miles away)	Breeder	stud	cats
41	BSH Stud  £200	£200	British Shorthair	1 year	unknown	"Alfie is available for stud duties, blood group B, PKD clear, all vaccinations up to date, he is registered  active with GCCF, with his certificate of entirety logged with gccf, 
 All visiting queens, should be up to date with vaccinations, any further questions,please contact me "	philip e.	Warminster(27.1 miles away)	Individual	stud	cats
42	Beautiful tabby imported stud	£200	Persian	1 year	unknown	Mishka is a beautiful exotic long hair male, imported from Siberia. Registered for show and breeding with CFA. From a small to medium size ( kg)  line that includes Dark Daimond, L'EdenLover, Bolshevi	Fluffykatz	Warminster(27.2 miles away)	Breeder	stud	cats
