	Title	price	species	age	gender	description	seller_name	seller_location	seller_type	listing_type	pet_type
0	Breeding paer hognose 	£300	Snake	2 years	Mixed	"CB20 pear of 
Albino 66% het Toxic jag 
Male and female £300 for the pear 
Based in Gloucester UK 
Pick up 
PM info "	Gary V.	Gloucester(27.9 miles away)	Breeder	sale	reptiles
1	Breeding paer hognose 	£300	Snake	1 year	Mixed	"CB20 breeding paer off hognose snakes 
High red 100%het Frost 
Male and female in good condition eating small to medium mice once a week 
£300 the paer 
Based in Gloucester UK 
Pick up 
PM info "	Gary V.	Gloucester(27.9 miles away)	Breeder	sale	reptiles
2	Male bosc monitor	£40	Monitor	6 months	Male	"7 month old male bosc monitor. Handled daily. 
Comes with full set up and vivarium. 
From head to tail about 1.5ft in length
£40 o.n.o 



"	Klc	Wallingford(21.2 miles away)	Breeder	sale	reptiles
3	CB22 baby hognoses 	£0	Snake	4 weeks	Mixed	"CB22 baby hognoses ready to go we have
Snow £350
Axanthic 100% het Albino £200
Albino £120
All eating df pinky's 1 every 4to5 days Based in Gloucester UK Pick up PM for info "	Gary V.	Gloucester(27.9 miles away)	Breeder	sale	reptiles
4	Bearded dragon and viv	£60	Bearded Dragon	1 year	Male	"Having to rehome my bearded dragon and viv  as my 2 year old will not leave him alone and keeps smashing the heat bulb! Viv needs new heat bulb and thermostat 

Mk18 "	Lisa E.	Buckingham(28.1 miles away)	Individual	sale	reptiles
5	High red 50% het Frost 	£150	Snake	12 weeks	Mixed	"Western hognose for sale 
High red 50% het Frost 
All eating df pinky's and now ready to go to there new homes 🏡 £150.

Based in Gloucester UK 
Pick up or courier can be arranged at Byers expense 
"	Gary V.	Gloucester(27.9 miles away)	Breeder	sale	reptiles
6	Bea Het Ghost Boa	£550	Boa Snake	2 years	Male	Absolutely beautiful male ghost boa, relaxed temperament, and an excellent feeder! He'll come with a fully set-up 5x2ft viv with all the necessary equipment inside, all running smoothly. There is a ceramic heat lamp with guard, an LED uv light with guard, Microclimate regulator and humidity gauge all supplied. PLUS branches, hides, water bowl, foliage and many other decora	Sherry R.	Bicester(13.6 miles away)	Individual	sale	reptiles
7	Bearded dragon and full set up 	£300	Bearded Dragon	9 months	Female	With regret im looking to sell my bearded dragon as i dont have the time to look after her or the money so she needs to find a 5* home i think shes about 10 months old and she will come with all her s	Yevette F.	Abingdon(15.3 miles away)	Individual	sale	reptiles
8	Wonderful Royal Python For Adoption & Set Up!	£50	Python Snake	5 years	Female	Meet Marge, the 5 year old female royal python who is looking for her forever home. Marge came into our rescue because her old owner no longer could care for her or his other royal python whom we also	hope l.	Faringdon(11.1 miles away)	Individual	sale	reptiles
9	Beautiful Zero bearded dragon & set up!	£150	Bearded Dragon	4 years	Female	This is Jinx, the 4 year old female zero bearded dragon, and she is looking for her forever home. Jinx came to our rescue after her old owner had a relationship breakdown and had to downsize their hom	hope l.	Faringdon(11.1 miles away)	Individual	sale	reptiles
10	Crested Gecko 	£75	Gecko	5 months	Female	"Amazing little gecko for sale.  Possible female about 4 months old any questions just ask

Eating rapashy doesn't come with enclosure.  Last 2 pics are parents. £75"	Holly's cresties 	Shipston-on-Stour(18.5 miles away)	Breeder	sale	reptiles
11	Hypo dunner leatherback 100% het trans proven	£200	Bearded Dragon	3 years	Male	Proven breeder from moor reptiles. He sired 3 perfect clutches for us last year. Quite lazy but will hunt for locusts and mario worms but needs to be tong fed dubia roaches 😂 his attitude changes the	DeamDragonsUK	Banbury(19.1 miles away)	Breeder	sale	reptiles
12	Mojave (Proven Breeder male)	£100	Python Snake	4 years	Male	"This mojave male royal python is for sale due to no fault of his own, he is surplus to my breeding collection.
Such a docile boy, would make a great pet or breeder to any breeding collection for anyon"	Damian P.	Cheltenham(27.1 miles away)	Individual	sale	reptiles
13	Boa (Salmon Pink)	£100	Boa Snake	2 years	Female	I purchased this beautiful salmon pink boa as a rescue around 1.5years ago at 6months old, she was very neglected by previous owner but now is doing everything she should and thriving, absolute monste	Damian P.	Cheltenham(27.1 miles away)	Individual	sale	reptiles
14	Stunning Strawberry Pacman Frog	£275	Frog	2 years	Female	Meet Brian (Briony) our absolutely stunning albino strawberry pacman frog. We believe that she is a girl. As you can see from the photographs Briony has progressively been putting on weight and looks 	KewCoons	Faringdon(10.9 miles away)	Breeder	sale	reptiles
15	Breeding pair of red foots 	£475	Tortoise	6 days	Mixed	Hi a breeding pair of red foots 12 and 10 years. I have a African Leopard available as well. Collect Swindon 	Madison S.	Swindon(18.7 miles away)	Individual	sale	reptiles
16	Carpet python looking for new home 	£50	Python Snake	6 months	Male	"Carpet python looking for new home £50 for rehomeing fee on 2 extra large df mice in good health he is handled but a bit viv protective just needs a bit more handling 

Based in Gloucester UK 
Pick up"	Gary V.	Gloucester(27.9 miles away)	Breeder	adoption	reptiles
17	boa constrictor	£0	Snake	2 years	Female	around 2 years old, just needs a lot more attention that I can give him not after any money for him at all, if you are in need a viv he can come with a 4ft one but would like a small amount for that. 	Alison P.	Cheltenham(25.8 miles away)	Individual	adoption	reptiles
