	Title	price	species	age	gender	description	seller_name	seller_location	seller_type	listing_type	pet_type
0	Male Hognose Snake for stud	£0	Snake	4 years	Male	"""Normal"" colourings, very tame and handleable. He is such a character aswell. Has produced 2 perfect sheds in his year with me, in perfect health. Strong eater has good feeding instincts but strong aw"	Chloe H.	Doncaster(1.2 miles away)	Individual	stud	reptiles
1	Hypo zero Bearded dragon and set up for sale 	£400	Bearded Dragon	11 months	Male	With great regret, we have to sell our hypo zero bearded dragon named Rex, rex is a year old and loves being out of his vivarium. Only selling due to house move and we don’t have the space for his 4ft	Jess L.	Selby(18.3 miles away)	Individual	sale	reptiles
2	Bearded dragon 	£150	Bearded Dragon	8 months	Male	Male bearded dragon for sale, complete with full 3ft tank, all decoration, food and all lighting, water bowls etc	Jenny  F.	Pudsey(28.2 miles away)	Individual	sale	reptiles
3	Pac man frog 	£45	Frog	3 months	Mixed	Very cute little green pac man frog. Will sell separately for £45 or with set up for £100. Collection only 	Courtney D.	Huddersfield(21.8 miles away)	Individual	sale	reptiles
4	Crested gecko	£100	Gecko	9 months	Female	Looking for a living home. Need proof of set up or can sell with viv for extra £50. She’s friendly and eats insects and Pangea well 	Courtney D.	Huddersfield(21.8 miles away)	Individual	sale	reptiles
5	2022 hatchling leopard geckos available 	£60	Gecko	9 weeks	Mixed	"We have a small release of 2022 hatchlings from our super hypo carrot tails and our copper trempers (from DC geckos) only. 

All geckos are doing well. Fed on a range of live foods except crickets. 

Photographs of parents are available on request. Hatch dates and current weights also available on request. Happy to provide more photos if needed. 

Prices start from £60 upt"	Daniel B.	Castleford(16.3 miles away)	Breeder	sale	reptiles
6	2018 tiger retic female doing everything she shoul	£150	Python Snake	4 years	Female	2018 tiger retic female doing everything she should be looking for £150 also have some others available check my other adds 	Macca W.	Scunthorpe(20.9 miles away)	Individual	sale	reptiles
7	2021 albino super tiger retic doing everything sho	£150	Python Snake	1 year	Female	2021 albino super tiger retic female doing everything she should be no issues with her looking for £150 lovely snake also have a few others available check my adds 	Macca W.	Scunthorpe(20.9 miles away)	Individual	sale	reptiles
8	2018 albino burm male doing everything he should b	£150	Python Snake	4 years	Male	2018 male albino burm doing everything he should be looking for his forever home no faults with him £150ono	Macca W.	Scunthorpe(20.9 miles away)	Individual	sale	reptiles
9	9ft female boa doing everything she should be 	£80	Boa Snake	Just Born	Female	"Good size female boa lovely temperament 
Doing everything she should be Looking for her forever home £80ono"	Macca W.	Scunthorpe(20.9 miles away)	Individual	sale	reptiles
10	hognose snake	£0	Snake	1 day	Female	Here we have a beautiful girl hognose snake looking for her new home she eats extra small mice and is very tame and loving we are open to offers and can come with a Viv	Tata C.	Goole(16.7 miles away)	Individual	sale	reptiles
11	Skink 	£50	Skink	10 years	Mixed	Skink, vivarium, lights, accessories and some food. Ill health forces sale. Not sure of age as he/she was an adult when I got him/her.	Sharon F.	Sheffield(18.4 miles away)	Individual	sale	reptiles
12	Yellow-bellied slider	£150	Turtle	14 years	Mixed	Yellow-bellied slider turtle with 6ft tank, all accessories, lights and food. Ill health forces sale, as I can no longer clean him out properly.  Needs to go to experienced loving home.	Sharon F.	Sheffield(18.4 miles away)	Individual	sale	reptiles
13	Leopard tortoise 	£250	Tortoise	2 years	Mixed	Unsure of sex, lovely healthy tortoise very friendly lovely character  just under 2 years old comes with her vivarium,bedding,bowl,food,hides ect wanting a good home only please selling due to moving 	Hayley B.	Liversedge(25.9 miles away)	Individual	sale	reptiles
14	breaded dragon	£100	Bearded Dragon	1 year	Male	"24 Month old Bearded Dragon looking for a new home , can’t take him to new move because home to small , 

Very healthy and eating well , come with all accessories in pictures 

Looking £100open to sen"	Shelley l.	Scunthorpe(18.4 miles away)	Individual	sale	reptiles
15	Baby Mourning Geckos	£18	Gecko	5 weeks	Female	"Grown on baby Mourning Geckos for sale.

Feeding well on Reptile Supplies gecko diet, fruit flies, small crickets, buffalo worms and repashy. 

Please note mourning geckos reproduce by parthenogenesis"	MMA Reptiles 	Chesterfield(18.3 miles away)	Breeder	sale	reptiles
16	hermann tortoises for sale at urban exotics	£150	Hermann Tortoise	3 years	Mixed	"Currently at urban exotics we have baby hermann tortoises for sale. 

These tortoises are individually microchipped with appropriate a10 paperwork. 

All our tortoises are kept under T5 uv lighting, a"	Urban exotics	Nottingham(29.7 miles away)	Licensed Breeder	sale	reptiles
17	baby bearded dragons!!!	£50	Bearded Dragon	4 weeks	Mixed	baby dragons ready very soon. lovely colours and already taming down nicely. all raised on high grade equipment. mum is German giant x and dad is a dunner x German giant. Great little characters alrea	Mathew H.	Scunthorpe(19.6 miles away)	Individual	sale	reptiles
18	Royal python.	£200	Python Snake	3 years	Male	"Heart breaking to see it going. 
Smooky,my lovely python. 
He loves veaner rats
Loves to be handling
I've been have it for more then year. 
Seeling cause of Brexit need to live a country. Comes with l"	Arminas Z.	Scunthorpe(18.9 miles away)	Individual	sale	reptiles
19	musk turtle	£0	Turtle	2 years	Female	female adult musk turtle for adoption must have own set up. comes when you go up to tank likes company. 	Rachel L.	Nottingham(29.8 miles away)	Individual	adoption	reptiles
20	Female Herman tortoise for rehoming	£0	Hermann Tortoise	15 years	Female	"Hi, I am looking for a new home for my tortoise due to moving house. 
I'm afraid I have no paperwork for her as I was given her.  
She lived in a vivarium before I got her,  hence the pyramiding on he"	Debbie C.	Selby(14.9 miles away)	Breeder	adoption	reptiles
21	Patagonian conure	£500	Conures	2 years	Female	Patrica is a lovely Patagonian conure, she loves being out of her cage and loves nothing more than to share a meal with you, very lovely girl but is aggressive in her cage but once out is absolutely f	blake h.	Mansfield(29.1 miles away)	Individual	sale	birds
