	Title	price	species	age	gender	description	seller_name	seller_location	seller_type	listing_type	pet_type
0	Breeding paer hognose 	£300	Snake	2 years	Mixed	"CB20 pear of 
Albino 66% het Toxic jag 
Male and female £300 for the pear 
Based in Gloucester UK 
Pick up 
PM info "	Gary V.	Gloucester(4.2 miles away)	Breeder	sale	reptiles
1	Breeding paer hognose 	£300	Snake	1 year	Mixed	"CB20 breeding paer off hognose snakes 
High red 100%het Frost 
Male and female in good condition eating small to medium mice once a week 
£300 the paer 
Based in Gloucester UK 
Pick up 
PM info "	Gary V.	Gloucester(4.2 miles away)	Breeder	sale	reptiles
2	Cb2021 Male Phantom Crystal Royal Python	£200	Python Snake	7 months	Male	Cb2021 Male Phantom Crystal (phantom, special) pos fire, this guy is stunning, he has a small paradox by his tail, I’m 99% sure he also has fire in him but cannot 100% guarantee it and the price refle	Susan S.	Bristol(21.2 miles away)	Individual	sale	reptiles
3	CB22 baby hognoses 	£0	Snake	4 weeks	Mixed	"CB22 baby hognoses ready to go we have
Snow £350
Axanthic 100% het Albino £200
Albino £120
All eating df pinky's 1 every 4to5 days Based in Gloucester UK Pick up PM for info "	Gary V.	Gloucester(4.2 miles away)	Breeder	sale	reptiles
4	High red 50% het Frost 	£150	Snake	12 weeks	Mixed	"Western hognose for sale 
High red 50% het Frost 
All eating df pinky's and now ready to go to there new homes 🏡 £150.

Based in Gloucester UK 
Pick up or courier can be arranged at Byers expense 
"	Gary V.	Gloucester(4.2 miles away)	Breeder	sale	reptiles
5	Lovely baby Marginated Tortoises for sale	£100	Tortoise	10 months	Mixed	"Marginated baby tortoises, hatched august 2021.
Lovely shell markings.
Healthy and active with good appetites and thirst.
They come with CITES article 10 certificates.
A full set up of tortoise table complete with lighting and heating is required.
Sex not yet determined. "	Paul W.	Bristol(28.5 miles away)	Individual	sale	reptiles
6	Female pastel butter het axanthic royal Python	£150	Python Snake	8 months	Female	Cb2021 Female pastel butter het tsk axanthic royal python, doing all she should, feeding regularly on frozen thawed small weaner rats, currently weighing 341g. She will come with full feeding/ sheddin	Susan S.	Bristol(21.2 miles away)	Individual	sale	reptiles
7	Crested Gecko 	£75	Gecko	5 months	Female	"Amazing little gecko for sale.  Possible female about 4 months old any questions just ask

Eating rapashy doesn't come with enclosure.  Last 2 pics are parents. £75"	Holly's cresties 	Shipston-on-Stour(29.6 miles away)	Breeder	sale	reptiles
8	Mojave (Proven Breeder male)	£100	Python Snake	4 years	Male	"This mojave male royal python is for sale due to no fault of his own, he is surplus to my breeding collection.
Such a docile boy, would make a great pet or breeder to any breeding collection for anyon"	Damian P.	Cheltenham(6 miles away)	Individual	sale	reptiles
9	Boa (Salmon Pink)	£100	Boa Snake	2 years	Female	I purchased this beautiful salmon pink boa as a rescue around 1.5years ago at 6months old, she was very neglected by previous owner but now is doing everything she should and thriving, absolute monste	Damian P.	Cheltenham(6 miles away)	Individual	sale	reptiles
10	Pinstripe crested gecko and full setup	£180	Gecko	2 days	Male	I've got a male crested gecko and full setup don't know how old he is he's really friendly and loves being handled loves crickets and repashy his tank is 45 45 45 fully set up and I'll supply a week's	Henry D.	Stroud(8.9 miles away)	Individual	sale	reptiles
11	Crested gecko and full set up 	£120	Gecko	4 years	Female	"Unfortunately selling, due to moving to a new property which does not allow any kind of pets, healthy and eats very well, comes with equipment, heat mat  accessories etc 

Likes being handled "	Sophie A.	Worcester(24 miles away)	Individual	sale	reptiles
12	Berber skink and set up 	£140	Skink	3 years	Male	"Unfortunately selling, due to moving to a new property which does not allow any kind of pets, healthy and eats very well, comes with UVB, heat bulb, accessories etc 


Loves being handled and out and "	Sophie A.	Worcester(24 miles away)	Individual	sale	reptiles
13	Female leopard gecko and set up 	£120	Leopard Gecko	5 years	Female	"Unfortunately selling, due to moving to a new property which does not allow any kind of pets, healthy and eats very well, comes with UVB, heat bulb, accessories etc 

Enjoys being handled and out and "	Sophie A.	Worcester(24 miles away)	Individual	sale	reptiles
