	Title	price	species	age	gender	description	seller_name	seller_location	seller_type	listing_type	pet_type
0	Tortoise with full set up 	£150	Tortoise	1 year	Mixed	Tortoise with full set up approx 1 year old , need to re home due to moving and not allowed pets everything you need included 	Jonathan C.	Abertillery(28.9 miles away)	Individual	sale	reptiles
1	Breeding paer hognose 	£300	Snake	2 years	Mixed	"CB20 pear of 
Albino 66% het Toxic jag 
Male and female £300 for the pear 
Based in Gloucester UK 
Pick up 
PM info "	Gary V.	Gloucester(28 miles away)	Breeder	sale	reptiles
2	Breeding paer hognose 	£300	Snake	1 year	Mixed	"CB20 breeding paer off hognose snakes 
High red 100%het Frost 
Male and female in good condition eating small to medium mice once a week 
£300 the paer 
Based in Gloucester UK 
Pick up 
PM info "	Gary V.	Gloucester(28 miles away)	Breeder	sale	reptiles
3	CB22 baby hognoses 	£0	Snake	4 weeks	Mixed	"CB22 baby hognoses ready to go we have
Snow £350
Axanthic 100% het Albino £200
Albino £120
All eating df pinky's 1 every 4to5 days Based in Gloucester UK Pick up PM for info "	Gary V.	Gloucester(28 miles away)	Breeder	sale	reptiles
4	High red 50% het Frost 	£150	Snake	12 weeks	Mixed	"Western hognose for sale 
High red 50% het Frost 
All eating df pinky's and now ready to go to there new homes 🏡 £150.

Based in Gloucester UK 
Pick up or courier can be arranged at Byers expense 
"	Gary V.	Gloucester(28 miles away)	Breeder	sale	reptiles
5	Mojave (Proven Breeder male)	£100	Python Snake	4 years	Male	"This mojave male royal python is for sale due to no fault of his own, he is surplus to my breeding collection.
Such a docile boy, would make a great pet or breeder to any breeding collection for anyon"	Damian P.	Cheltenham(27.4 miles away)	Individual	sale	reptiles
6	Boa (Salmon Pink)	£100	Boa Snake	2 years	Female	I purchased this beautiful salmon pink boa as a rescue around 1.5years ago at 6months old, she was very neglected by previous owner but now is doing everything she should and thriving, absolute monste	Damian P.	Cheltenham(27.4 miles away)	Individual	sale	reptiles
7	Crested gecko and full set up 	£120	Gecko	4 years	Female	"Unfortunately selling, due to moving to a new property which does not allow any kind of pets, healthy and eats very well, comes with equipment, heat mat  accessories etc 

Likes being handled "	Sophie A.	Worcester(25.7 miles away)	Individual	sale	reptiles
8	Berber skink and set up 	£140	Skink	3 years	Male	"Unfortunately selling, due to moving to a new property which does not allow any kind of pets, healthy and eats very well, comes with UVB, heat bulb, accessories etc 


Loves being handled and out and "	Sophie A.	Worcester(25.7 miles away)	Individual	sale	reptiles
9	Female leopard gecko and set up 	£120	Leopard Gecko	5 years	Female	"Unfortunately selling, due to moving to a new property which does not allow any kind of pets, healthy and eats very well, comes with UVB, heat bulb, accessories etc 

Enjoys being handled and out and "	Sophie A.	Worcester(25.7 miles away)	Individual	sale	reptiles
10	Male leopard gecko and set up 	£120	Leopard Gecko	4 years	Male	"Unfortunately selling, due to moving to a new property which does not allow any kind of pets, healthy and eats very well, comes with UVB, heat bulb, accessories etc 
likes being handled "	Sophie A.	Worcester(25.7 miles away)	Individual	sale	reptiles
11	Leopard gecko and full set up 	£120	Leopard Gecko	2 years	Female	"Unfortunately selling, due to moving to a new property which does not allow any kind of pets, healthy and eats very well, comes with UVB, heat bulb, accessories etc 
Loves being handled "	Sophie A.	Worcester(25.7 miles away)	Individual	sale	reptiles
12	Chameleon and full set up 	£150	Chameleon	2 years	Male	"Unfortunately selling, due to moving to a new property which does not allow any kind of pets, healthy and eats very well, comes with equipment, heat bulb, accessories etc 

Eats very well but is shy 
"	Sophie A.	Worcester(25.7 miles away)	Individual	sale	reptiles
13	Bearded dragon with set up 	£130	Bearded Dragon	2 years	Male	"Unfortunately selling, due to moving to a new property which does not allow any kind of pets, healthy and eats very well, comes with UVB, heat bulb, accessories etc 

Likes being out exploring but is "	Sophie A.	Worcester(25.7 miles away)	Individual	sale	reptiles
14	CB19 Frosted Western Hognose	£400	Snake	2 years	Male	"Male 2019 Frosted Western Hognose available. Eating, shedding and pooing as normal. Reasonably handleable once settled, but can be very huffy when first disturbed. 

No enclosure or set up to come wit"	Hillside Reptiles	Worcester(21.9 miles away)	Breeder	sale	reptiles
15	Beautiful Butter 50% Het Pied Ball Python male	£200	Python Snake	1 year	Male	Reluctant sale of this beautiful boy. He’s very docile and a great eater (recently been fed on rat pups). Never had any health issues and all sheds have been in one piece. Comes with full set up inclu	Courtney M.	Gloucester(24.4 miles away)	Individual	sale	reptiles
16	Carpet python looking for new home 	£50	Python Snake	6 months	Male	"Carpet python looking for new home £50 for rehomeing fee on 2 extra large df mice in good health he is handled but a bit viv protective just needs a bit more handling 

Based in Gloucester UK 
Pick up"	Gary V.	Gloucester(28 miles away)	Breeder	adoption	reptiles
17	Corn Snake	£25	Corn Snake	6 years	Female	"This corn snake was given to us as an unwanted pet.
We are now looking for her forever home.
Her previous owners said she is female and 6 years old.

Health wise she is fine, she needs a better set up"	Cheri S.	Gloucester(25.6 miles away)	Individual	adoption	reptiles
