	Title	price	species	age	gender	description	seller_name	seller_location	seller_type	listing_type	pet_type
0	Corn snakes for sale males and females 3 genes	£60	Corn Snake	8 weeks	Mixed	Baby corn snakes all Amel het Motley and Caramel or Motley Amel het Caramel. Good eaters, shedding and pooping as they should. All hatched between the 4th and the 8th of April. Great little pets with 	Chrissie O.	Bolton(26.3 miles away)	Individual	sale	reptiles
1	Horsefield Tortoise	£200	Tortoise	2 years	Female	Daisy is my 18 month old horsefield tortoise. We are unsure of gender as you cant tell until they are five. Daisy is a very loving and sweet tortoise but she needs someone who has more time to give he	Emily M.	Skelmersdale(28.8 miles away)	Individual	sale	reptiles
2	Long legged staff cross	£600	Mixed Breed	3 weeks	Male	Long legged staff cross puppy will be vet checked before collection welcome to view before paying deposit will be used to kids and cats 	Danielle T.	Preston(14 miles away)	Individual	sale	reptiles
3	Female bearded dragon	£140	Bearded Dragon	1 day	Female	Female dragon she's very friendly like locus and mealworm she's 18 month old comes with vivirium full set up must hobuo goof home	K K.	Wigan(29.5 miles away)	Individual	sale	reptiles
4	Male bearded dragon	£140	Bearded Dragon	1 day	Male	He's 2 year old very friendly loves locus and greens comes with a 3ft vivarium and lights must go to a good home	K K.	Wigan(29.5 miles away)	Individual	sale	reptiles
5	4 year old male carpet python in Chorley	£100	Python Snake	3 years	Male	4 year old male carpet python. he's about 6tf. most days he's lovely and loves being out and using my chair as a claiming frame but every now and again he can be grumpy and wants to stay in his viv. h	Liam W.	Chorley(22.1 miles away)	Individual	sale	reptiles
6	2 year old male sand boa in Chorley	£80	Boa Snake	1 year	Male	2 year old male sand boa. he is not a massive fan o being taken out off his tank but calms down very quickly. he is some sort of snow morph i just cant remember what now. only reason for sale is i nee	Liam W.	Chorley(22.1 miles away)	Individual	sale	reptiles
7	Columbian rainbow boa	£80	Boa Snake	3 years	Male	"3 year old Columbian rainbow boa, lovely to handle, great eater never misses a meal. only reason for sale is i need to down size my collection due to moving to smaller house

few other snakes up for s"	Liam W.	Chorley(22.1 miles away)	Individual	sale	reptiles
8	Panther chameleon 	£0	Chameleon	2 days	Male	"Got 3 baby panther for sale definitely males 
Eating well on fruit flys and super small crickets 

Thinking about keeping them to see how the turn out like but also accepting offers "	Adam L.	Wigan(28.9 miles away)	Individual	sale	reptiles
9	Bearded Dragon and African Fat tailed Gecko	£150	Bearded Dragon	3 years	Male	"Comes with everything, both dearly beloved pets but I just don't have the times anymore with having children and new commitments in work. 

Both have lived happily together for the last 2 years. I'd l"	Yvonne H.	Bury(28.7 miles away)	Individual	sale	reptiles
10	Horsefield Tortoise	£150	Tortoise	7 years	Male	"Large male. healthy lives out side in summer. inside at night.

Comes with tortoise box and 6ft wire pen heat bulb UV bulb

Good home required can deliver locally"	J S.	Clitheroe(13.5 miles away)	Individual	sale	reptiles
11	Zero bearded dragon	£350	Bearded Dragon	3 years	Male	"Adult male bearded dragon, zero, hypo dunner. He is one of a kind!! I have had him from 2 months old. He loves rocket and hoppers! 
He come with full set up, 4’x4’x2’ wooden viv, UV light, EVO light t"	Ruth W.	Blackburn(14.9 miles away)	Individual	sale	reptiles
12	turtle and fish for sale	£165	Turtle	6 days	Male	comes with uv light, water heater,water filter, big tank around 160L, objects for them to play on, comes with a few different type of fish and rest of food for everyone.	Will I.	Preston(20.6 miles away)	Individual	sale	reptiles
13	2 Male Crested geckos and 1 Male Gargoyle gecko	£150	Gecko	11 months	Male	"Looking to sell these 3 together if possible all come with enclosures and Lighting.

Also have a much older male gecko in a bigger enclosure that also needs to go.

Please text for more info and photo"	Tee W.	Lytham Saint Annes(21.2 miles away)	Individual	sale	reptiles
14	8 month male bearded dragon	£200	Bearded Dragon	9 months	Male	Loki is a beautiful boy. likes to sit with you but is happiest running about and exploring. Unfortunately my dog gets to stressed with him out of the tank so we have to shut him out which adds to the 	kelly T.	Rossendale(22.7 miles away)	Individual	sale	reptiles
15	SMALL 4INCH MUSK TURTLE (TANK AND FILTER INCLUDED)	£90	Turtle	1 year	Mixed	are musk turtle is for sale since we do not have room for the turtle, she doesn’t bite and is good when being handled. Message for more info 	dogforstud	Blackburn(16.6 miles away)	Breeder	sale	reptiles
16	various royal pythons for sale	£123	Snake	15 weeks	Mixed	Sadly having to cut down on my collection. All smashing their food and shedding and pooing perfectly. Firstly the female Spider, she does corkscrew but eats perfectly and never refused a feed. Pet hom	Bailey2610	Blackpool(19.7 miles away)	Breeder	sale	reptiles
