	Title	price	species	age	gender	description	seller_name	seller_location	seller_type	listing_type	pet_type
0	Male crested gecko	£1	Gecko	1 year	Male	My male crested is around 1 and a half years old and I'm interested to see if he will breed as we are coming into mating season.	Owen L.	Liverpool(4.5 miles away)	Individual	stud	reptiles
1	Orange bearded dragon for sale 	£150	Bearded Dragon	15 weeks	Male	Unfortunately I have to re home my bearded dragon due to no fault of its own. I think it’s a male but it’s too young to tell. He is very friendly and likes to be handled. If you have any questions ple	Makayla K.	Manchester(26.2 miles away)	Individual	sale	reptiles
2	Corn snakes for sale males and females 3 genes	£60	Corn Snake	9 weeks	Mixed	Baby corn snakes all Amel het Motley and Caramel or Motley Amel het Caramel. Good eaters, shedding and pooping as they should. All hatched between the 4th and the 8th of April. Great little pets with 	Chrissie O.	Bolton(26 miles away)	Individual	sale	reptiles
3	Male axolotl 	£40	Axolotl	1 year	Male	Unfortunately I'm having to rehome my gorgeous wild type axolotl. Unsure of when he was born exactly but he's still young as hes still growing, we got him August 2021. Fed on pellets and worms which w	Aoife D.	Winsford(24.9 miles away)	Individual	sale	reptiles
4	Gargoyle gecko	£125	Gecko	7 months	Mixed	Gargoyle gecko unsexed around 7 months old cool little thing looking for new home can come with temporary home but will need a bigger enclosure soon 	Ben G.	Manchester(22.2 miles away)	Breeder	sale	reptiles
5	Emoji pied royal python 	£375	Python Snake	1 day	Female	Male pied royal python with emoji smile on his back hatched 24th April feeding on fluffy mice every 5days beautiful looking boy 	Ben G.	Manchester(22.2 miles away)	Breeder	sale	reptiles
6	Pinstripe pied royal python	£400	Python Snake	6 weeks	Female	Female pinstripe pied royal python hatched 24th April drop feeding every 5 days on fluffy mice ready for her new home 	Ben G.	Manchester(22.2 miles away)	Breeder	sale	reptiles
7	Gargoyle gecko	£125	Gecko	7 months	Mixed	Unsexed gargoyle gecko for sale around 7 months old can come with complete bio active setup £600 or just the gecko £125 , setup includes tank fully planted with drainage point on the bottom led light 	Ben G.	Manchester(22.2 miles away)	Breeder	sale	reptiles
8	male Horsefield tortoise	£80	Tortoise	3 years	Male	re advertised due to time waster. I have what I believe is a male horsefield tortoises. Approx 3.5 years old. I bought him in March 2019 and I think he was about 6mths then. For sale as I just don’t h	Lea H.	Liverpool(7.8 miles away)	Individual	sale	reptiles
9	Horsefield Tortoise	£200	Tortoise	2 years	Female	Daisy is my 18 month old horsefield tortoise. We are unsure of gender as you cant tell until they are five. Daisy is a very loving and sweet tortoise but she needs someone who has more time to give he	Emily M.	Skelmersdale(13.6 miles away)	Individual	sale	reptiles
