	Title	price	species	age	gender	description	seller_name	seller_location	seller_type	listing_type	pet_type
0	Male crested gecko	£1	Gecko	1 year	Male	My male crested is around 1 and a half years old and I'm interested to see if he will breed as we are coming into mating season.	Owen L.	Liverpool(26.5 miles away)	Individual	stud	reptiles
1	4 Bumblebee Dart Frog Adults	£70	Frog	2 years	Mixed	"4 adult dendrobates leucomelas bumblebee dart frogs.

All eating dusted fruit flies. Approx 2 years old.

They are old enough to be sexed. 3 and 4 are very likely to be males. The rest are difficult t"	John A.	Stockport(25.9 miles away)	Individual	sale	reptiles
2	3 Dendrobates Auratus Green and Black Dart Frogs	£70	Frog	2 years	Male	"3 adult dendrobates auratus green and black dart frogs.

All eating dusted fruit flies. Approx 2 years old.

Likely all males, however that's not a guarantee.

Collection from Stockport or i can have "	John A.	Stockport(25.9 miles away)	Individual	sale	reptiles
3	Orange bearded dragon for sale 	£150	Bearded Dragon	15 weeks	Male	Unfortunately I have to re home my bearded dragon due to no fault of its own. I think it’s a male but it’s too young to tell. He is very friendly and likes to be handled. If you have any questions ple	Makayla K.	Manchester(27.3 miles away)	Individual	sale	reptiles
4	Plumed Basilisk trio group and full setup 	£325	Lizard	Just Born	Mixed	Amazing group off plumed basilisk always lived together from baby's male and two females u can handle them all when they want to sometimes just hop on ur arm sometimes just let u grab them which is gr	Blake M.	Stockport(28.6 miles away)	Breeder	sale	reptiles
5	Male axolotl 	£40	Axolotl	1 year	Male	Unfortunately I'm having to rehome my gorgeous wild type axolotl. Unsure of when he was born exactly but he's still young as hes still growing, we got him August 2021. Fed on pellets and worms which w	Aoife D.	Winsford(6.5 miles away)	Individual	sale	reptiles
6	Gargoyle gecko	£125	Gecko	7 months	Mixed	Gargoyle gecko unsexed around 7 months old cool little thing looking for new home can come with temporary home but will need a bigger enclosure soon 	Ben G.	Manchester(22.4 miles away)	Breeder	sale	reptiles
7	Emoji pied royal python 	£375	Python Snake	Just Born	Female	Male pied royal python with emoji smile on his back hatched 24th April feeding on fluffy mice every 5days beautiful looking boy 	Ben G.	Manchester(22.4 miles away)	Breeder	sale	reptiles
8	Pinstripe pied royal python	£400	Python Snake	6 weeks	Female	Female pinstripe pied royal python hatched 24th April drop feeding every 5 days on fluffy mice ready for her new home 	Ben G.	Manchester(22.4 miles away)	Breeder	sale	reptiles
9	Gargoyle gecko	£125	Gecko	7 months	Mixed	Unsexed gargoyle gecko for sale around 7 months old can come with complete bio active setup £600 or just the gecko £125 , setup includes tank fully planted with drainage point on the bottom led light 	Ben G.	Manchester(22.4 miles away)	Breeder	sale	reptiles
10	Proven female Crested Geckos RESERVED	£80	Gecko	3 years	Female	2 female Crested Geckos. Harlequin female has been mated with Harlequin male (as puctured). Extreme harlequin with portholes has been mated to tricolour male (as pictured). Both proven, both approx 3 	Bish Bosh	Shrewsbury(27.4 miles away)	Breeder	sale	reptiles
11	beautiful baby crested gecko with temp enclosure	£40	Gecko	6 weeks	Mixed	beautiful very tame baby crested gecko extremely friendly easy to handle and healthy eating well on Rephasy and tiny crickets comes with a temporary faunaruim set up with heat mat bowls and plant to l	Electra	Birkenhead(27.9 miles away)	Breeder	sale	reptiles
12	Corn snake about 3/4 months old	£50	Snake	4 months	Male	Hi my mum is looking to rehome this little dude, due to age we are not a 100% sure if it is male or female but by the way its growing my guess is male, due to the fact my mum has a few off these she i	Toni-chantel C.	Manchester(26 miles away)	Breeder	sale	reptiles
13	Leopard Gecko + Full set up	£100	Gecko	2 years	Male	2 year old male Leopard Gecko, comes with full set up viv is 3.5ft. really friendly gecko. Collection only.	scott c.	Crewe(7.1 miles away)	Individual	sale	reptiles
14	Oscillated Skinks Pair	£60	Skink	1 year	Mixed	Pair of Oscillated Skinks, sold to me as male and female as future breeding project. Don't come with an enclosure so will need to see proof of set up. Collection only.	scott c.	Crewe(7.1 miles away)	Individual	sale	reptiles
15	Royal Python + Full setup	£70	Python Snake	1 year	Male	Male Royal Python with full set up. setup is a 4ft viv. feeding on chicks at the min.....is about 2 years old. Collection only.	scott c.	Crewe(7.1 miles away)	Individual	sale	reptiles
