	Title	price	species	age	gender	description	seller_name	seller_location	seller_type	listing_type	pet_type
0	Beautiful buck	£35	Lionhead	11 months	Male	This buck has beautiful colouring. He's a siamese sable born out of seal point and blue. It's a reluctant sale as I need to cut back and I have decided to keep his dad instead. He have been proven twi	Lakeview lionheads	Barnsley(29.3 miles away)	Breeder	sale	rabbits
1	Beautiful mini lion lops 	£60	Mini Lion Lop	7 weeks	Mixed	"Here I have available this beautiful litter of mini lion lop bunnies 
Single maned 
They will leave with change over food birth certificate and care sheet 
Also nails will be clipped before collection"	Waterlock B.	Bolton(16.6 miles away)	Breeder	sale	rabbits
2	Gorgeous French Lop buck ready	£65	French Lop	10 weeks	Male	Last of the little a gorgeous very friendly boy. Giant breed bunny. Enquiries welcome, changeover food provided. 	Lops of Love C.	Crewe(25.5 miles away)	Breeder	sale	rabbits
3	Stunning giant french lop girl grey 	£80	French Lop	10 weeks	Female	"Beautiful giant french lop girl 
Ready now 
Will leave with change over food birth certificate and care sheet also nails will be clipped before collection 
Will need a big hutch if being kept outside "	Waterlock B.	Bolton(16.6 miles away)	Breeder	sale	rabbits
4	Baby rabbits for sale	£65	Mixed Breed	9 weeks	Mixed	"Hi

I have a gorgeous litter of half mini lop baby bunnies who are ready to leave to new homes now 

I am looking for loving homes for our babies who can provide lots of attention, space and care.

Th"	Masuma I.	Stockport(3.1 miles away)	Individual	sale	rabbits
5	Baby mini lion lop rabbits for sale	£65	Mini Lion Lop	9 weeks	Mixed	"Hi

I have a gorgeous litter of half mini lop baby bunnies who are ready to leave to new homes now 

I am looking for loving homes for our babies who can provide lots of attention, space and care.

Th"	Masuma I.	Stockport(3.1 miles away)	Individual	sale	rabbits
6	Baby lionhead rabbits for sale	£65	Lionhead	9 weeks	Mixed	"Hi

I have a gorgeous litter of half mini lop baby bunnies who are ready to leave to new homes now 

I am looking for loving homes for our babies who can provide lots of attention, space and care.

Th"	Masuma I.	Stockport(3.1 miles away)	Individual	sale	rabbits
7	Baby mini lop rabbits for sale	£65	Mini Lop	9 weeks	Mixed	"Hi

I have a gorgeous litter of half mini lop baby bunnies who are ready to leave to new homes now 

I am looking for loving homes for our babies who can provide lots of attention, space and care.

Th"	Masuma I.	Stockport(3.1 miles away)	Individual	sale	rabbits
8	Mini lops	£40	Mini Lop	6 weeks	Female	"These beautiful mini lops will be ready to leave at 8 weeks old. The pictures don't do them justice they are super fluffy and soft and tiny.

They are all girls.

Been handled from birth by myself and as they've got older my children have handled them regularly. They are really friendly.

Any questions please ask. Deposit secures your bunny. Mum and dad can be seen.

Ready"	Lydia	Bolton(16.5 miles away)	Breeder	sale	rabbits
9	4x lionhead cross netherland dwarfs	£45	Mixed Breed	7 weeks	Mixed	4 lovely bunnies ready for their new homes. Well handled and socialised they are comfortable around other animals, and children	Emily P.	Wigan(22.5 miles away)	Individual	sale	rabbits
10	Pedigree Mini Lops Ready to leave	£50	Mini Lop	9 weeks	Mixed	Pure Mini lops ready to leave…handled since birth …4 males and 2 females…will come with change over food…can deliver locally at cost…chocolate point vm bucks and cinamon does	Royal Mini Lops	Liversedge(28.1 miles away)	Breeder	sale	rabbits
11	Beautiful Baby Mini Lops	£60	Mini Lop	2 weeks	Mixed	"*ready 16th July 2022*
 
We will be able to find out their sexes in a few weeks - too early to tell yet. 

- 4x Dark Siamese Sable (black)
- 2x Siamese Sable (grey) *1 reserved*
- 1x cream *reserved*
"	Megan B.	Cleckheaton(28.6 miles away)	Individual	sale	rabbits
12	Angora x Lionhead Rabbits - Come with care package	£70	Mixed Breed	8 weeks	Female	"Beautiful litter of Angora x Lionheads for sale.
Will be very fluffy as part angora. 
So must be groomed regularly. 

3 girls left.
They are all pictured.
More photos and videos available. 

I charge £70 a rabbit but they are super tame, good with children and will have experienced travelling.

They have regular handling everyday. They also come with food, toys, treats, a "	Kaitlen R.	Wigan(23.6 miles away)	Breeder	sale	rabbits
13	Flemish Giant Rabbits	£120	Flemish	10 weeks	Mixed	"Flemish giant rabbits ready for their loving 5 star forever homes. Ten weeks old and thriving well. Five babies available as follows:

Doe #1 White, blue eyes, sooty nose 
Doe #2 White, blue eyes, soo"	Bunnymum M.	Skelmersdale(26.7 miles away)	Individual	sale	rabbits
14	Beautiful pure bred mini lop bucks 	£40	Mini Lop	4 months	Male	"I have 5 pure bred Mini lop bucks for sale

Orange, blue tort and sooty fawn from Bambi and Rupert 

Grey fox and blue fox from Sweet Pea and Apollo 

5* homes
Parents can be seen - can go in pairs fr"	Bluebell Bunnies	Manchester(7 miles away)	Breeder	sale	rabbits
15	Beautiful Lionhead Buns 	£50	Lionhead	4 weeks	Mixed	We have four stunning bundles of fluff who will be ready to leave at the end of June. We are not 100% on the sex yet, possibly three boys and one girl. All buns are now fully weaned, handled daily, lo	Emma S.	Stockport(2 miles away)	Individual	sale	rabbits
16	french cross lops for adoption 	£20	French Lop	9 weeks	Mixed	"11 french lop cross for adoption
mum and 2 litters  youngest litter not quite ready yet
been  brought in as owner could no longer cope
all vaccinated 
£20 each 
no cages available "	samanthas piggies	Manchester(5.1 miles away)	Breeder	adoption	rabbits
17	Beautiful lonely bun needing forever home	£30	Mixed Breed	2 years	Male	We have one foster bunny available for adoption who is desperate for his new home. He’s currently being fostered by a vets and has been there quite a while so needs a family to call his own! He’s such	Chloe	Salford(9.2 miles away)	Breeder	adoption	rabbits
18	Neutered golden lionhead dwarf	£70	Mini Lion Lop	3 years	unknown	"Heartbreaking to get rid of him as he's a sociable and docle buck.

He is neutered but his vaccinations aren't up to date.

Been fed on heygates pellets, fruit, veg and grass."	Zoe H	Warrington(18.2 miles away)	Breeder	adoption	rabbits
19	Theo Mini Lop looking for new home. 	£0	Mini Lop	1 year	Male	"Our beautiful Theo has just lost his sole mate and mother. He is lonely and will need to bond with another female. Or be with a human who has lots of time for him. We have tried to bond him with a male and it did not work. 

Theo is neutered, litter trained, fully Vaccinated to date and has flea treatment every month. He lives outdoors in a hutch in a shed, he has attached"	Paula K.	Alderley Edge(8.5 miles away)	Individual	adoption	rabbits
20	RESCUE RSPCA 2 FEMALE BONDED SISTERS 19 MONTHS OLD	£35	Mixed Breed	1 year	Female	"2 bonded sisters
Rspca rescue 
These were sadly unwanted 
They were surrended by previous owner
Lovely girls.
Desperate for a new family 
Loads of space 
Pictures of set up required
"	clare j.	Stoke-on-Trent(20.6 miles away)	Individual	adoption	rabbits
21	2 female bunnies 	£0	English Lop	9 months	Female	I’m looking for a forever home for these 2 beautiful bunnies. White one is Albanian red eye and female. Around 6months old. The black one is a English lop around 9 months old. I rescued these so I don	Steph M.	Liversedge(27.3 miles away)	Individual	adoption	rabbits
22	Good home wanted	£10	English	2 days	Male	"We found this rabbit on the road, we don't know what breed he is or anything about him. He seems quite young. 
He is very sweet but we don't have room for a rabbit"	Selina B.	Bury(17 miles away)	Individual	adoption	rabbits
23	RESCUE RSPCA 2 FEMALE BONDED SISTERS 19 MONTHS OLD	£30	Mixed Breed	1 year	Female	"As part of our time rescuing and fostering bunnies we then love to find them new homes 
These girls were surrendered by owner for the rspca 
Flora and clover come to us end of march very thin and desp"	clare j.	Stoke-on-Trent(20.6 miles away)	Individual	adoption	rabbits
24	Grey/White Lion Head Rabbit	£0	Lionhead	3 years	Female	This is Poppy, age 3 years and looking for her forever home! She is a beautiful Grey and White colour mix and loves all the attention in the world, She loves to run around and get cuddles wherever pos	Ben P.	Manchester(6.4 miles away)	Individual	adoption	rabbits
25	Rabbit to loving home 	£0	Dutch	6 months	Male	"Hello I have a 5/6 month old male Dutch rabbit that I am looking to re-home asap due to my cat having an allergy to him 

He's got no cage due to me using my dogs pen he will come with his food/hay an"	Chantelle J.	Rochdale(13.5 miles away)	Individual	adoption	rabbits
26	Mini Lop & Lionhead Bonded Rabbit pair	£50	Mixed Breed	7 months	Female	"Lilly and Tallulah are both female rabbits at 6-months of age. We have had them since they were 10-weeks old. They are both vaccinated and have loved both indoors and more recently outdoors. 
Please f"	Rachel P.	Huddersfield(22.5 miles away)	Individual	adoption	rabbits
27	Mini lops looking for forever homes 🏡 	£0	Mini Lop	7 weeks	Female	"Not free
*remaining bunnies £50 
Absolutely gorgeous pure bred mini lops. Handled from birth by adults and children. Experienced loving homes only please.

We have a beautiful litter of gorgeous pure "	Emma W.	Manchester(5.6 miles away)	Breeder	adoption	rabbits
28	For Adoption Bonded Neutered boy & girl	£0	Mixed Breed	3 years	Mixed	Unfortunately I have 2 rabbits bonded & neutered that need new homes. They are not cuddly & have lived free roam 24/7 ( with plenty of places to sleep hutches, sheds, rabbit house so they can come and	Sandra McMahon	Manchester(5.9 miles away)	Breeder	adoption	rabbits
29	1yo female bunny needs home	£0	English	1 year	Female	This is Astara she is a 1yo bunny whome I rescued during lockdown as she was neglected which already saw her sister pass away. I really struggled knowing I couldn't offer her the life she deserves but	JohnPaul  A.	Runcorn(24 miles away)	Individual	adoption	rabbits
30	2 rabbits available£20 for both	£20	Mini Lop	12 weeks	Female	"Hi I have two female rabbits I think one is a Holland lop and the other a rex bothe indoor rabbits.
I'm allergic to them unfortunately and put up with the reaction but it's to much for me .😒
£20 for "	Brian H.	Manchester(4.6 miles away)	Individual	adoption	rabbits
