	Title	Description	photo_link	category	price	url	seller_type	seller_name	listing_type	pet_type
0	      Jack dempseys	      5 jack dempseys ranging in age from 1 to 2 yrs old all bred by me. complete with tank and heater and filter and light in hood.	      https://assets.pets4homes.co.uk/image/5de4d288-3968-40af-bd1f-966b9ff0059e/image_wm/image.webp	      Pets > Fish > Cichlids	70	        /classifieds/1az1ahbll-jack-dempseys-helston/	          Person	          Stephen L.	sale	fish
1	      Giant lop ear bunnies	      Extremely friendly, used to living with children in a noisy household. Mum and dad can be seen if you’d like to view babies. They’re White and grey giant lops with blue eyes \nfor sale in Redruth. 	      https://assets.pets4homes.co.uk/image/db0c8b6c-8e37-4cd7-ae88-134998d9ad57/image_wm/image.webp	      Pets > Rabbits > British Giant	50	        /classifieds/l6cafwrkk-giant-lop-ear-bunnies-redruth/	          Person	          Zoe W.	sale	rabbits
2	      Tri Mini Rex Buck	      Tri Mini Rex Buck- Ready June 29th\n\nA sweet,loving little boy, well handled.\n\nUnvaccinated hence pricing\n\nNo time wasters please only genuine interest deposit required	      https://assets.pets4homes.co.uk/image/110d525e-3a9e-43ae-92e0-06076ea31c2a/image_wm/image.webp	      Pets > Rabbits > Rex	40	        /classifieds/wfeadrdlf-tri-mini-rex-buck-truro/	          Person	          Clare S.	sale	rabbits
3	      Mini Rex	      Lilac Mini Rex Doe- Ready June 29th\n\nA sweet,loving little girlie, well handled.\n\nUnvaccinated hence pricing\n\nNo time wasters please only genuine interest-deposit required	      https://assets.pets4homes.co.uk/image/f6a5cabe-3b02-4c08-8d5f-f550b96245ff/image_wm/image.webp	      Pets > Rabbits > Rex	50	        /classifieds/xxnp-qyhx-mini-rex-truro/	          Person	          Clare S.	sale	rabbits
4	      Male rabbit for sale 	      Male rabbit for sale very friendly loves cuddles and loves being handled and loves his food and treats only selling as have to down size in animals collection only Cornwall 	      https://assets.pets4homes.co.uk/image/a5709c26-da64-4948-b73a-b89e93dd4500/image_wm/image.webp	      Pets > Rabbits > Mixed Breed	40	        /classifieds/ubtuomccg-male-rabbit-for-sale-truro/	          Person	          lucy n.	sale	rabbits
5	      male mini lop looking for his new home	      he is vaccinated and ready to leave. not neutered. he will be picked up and handled. he will come with changeover food.	      https://assets.pets4homes.co.uk/image/58a1cfbf-e382-4899-a2a7-27a91ca99fc4/image_wm/image.webp	      Pets > Rabbits > Mini Lop	30	        /classifieds/nwszzf1mk-male-mini-lop-looking-for-his-new-home-redruth/	          Person	          Charlie B.	sale	rabbits
6	      little male mini lop ready now	      this sweet boy is looking for his forever home. he is quiet and chilled out. he will need vaccinating and is obviously not neutered being so young. he will come with changeover food	      https://assets.pets4homes.co.uk/image/e864063a-d63e-4425-98dd-701988b5ecd1/image_wm/image.webp	      Pets > Rabbits > Mini Lop	30	        /classifieds/8ntzowabn-little-male-mini-lop-ready-now-redruth/	          Person	          Charlie B.	sale	rabbits
7	      Mini lops available to reserve!!!	      \nStunning litter of purebred mini lops available to reserve, used to being handled. \nChocolate harlequin buck \nChocolate harlequin vm buck \nChocolate harlequin doe \nChocolate magpie extreme doe \n£20 n	      https://assets.pets4homes.co.uk/image/3b0aeaf9-2562-4ea8-9cca-f47dbb9f0c13/image_wm/image.webp	      Pets > Rabbits > Mini Lop	60	        /classifieds/hzjccwumd-mini-lops-available-to-reserve-camborne/	          Organization	          Shanae18	sale	rabbits
8	      Beautiful baby rabbits	      Very friendly, have been handled daily from birth, by my young children. \nLove exploring the outdoor environment and also coming indoors for a cuddle.\nReady for their loving homes on the 19th June whe	      https://assets.pets4homes.co.uk/image/36201348-5927-497c-8720-a3329d3109c7/image_wm/image.webp	      Pets > Rabbits > Mixed Breed	35	        /classifieds/gxtlip7nr-beautiful-baby-rabbits-truro/	          Person	          Freya W.	sale	rabbits
9	      Mini Rex babies ready to reserve 	      This lovely litter have been born indoors but will be ok to live outdoors once fully weaned.\nThey are available to reserve now with a non refundable deposit and leave in around 5 weeks time once fully	      https://assets.pets4homes.co.uk/image/598d8298-409a-4f73-9765-dd8d82ca1683/image_wm/image.webp	      Pets > Rabbits > Rex	45	        /classifieds/vt7tc35xk-mini-rex-babies-ready-to-reserve-penzance/	          Organization	          AliRex	sale	rabbits
10	      Beautiful young female Sooty Fawn Butterfly	      Mini Lop x Mini Lionlop 8 months old. Handled daily and lovely natured. I’m giving up breeding Mini LopsXs , and this girl I  had kept back for breeding	      https://assets.pets4homes.co.uk/image/b4fa61c2-a10d-4b56-b921-4baab567dfe7/image_wm/image.webp	      Pets > Rabbits > Mini Lop	45	        /classifieds/ozij-afee-beautiful-young-female-sooty-fawn-butterfly-falmouth/	          Organization	          Daena R.	sale	rabbits
11	      Netherland dwarf doe available to reserve 	      Purebred Netherland harlequin vm doe available to reserve, £20 non refundable deposit to secure her. \nHandled daily, bred from parents with great temperaments. \nDob 24/04/22 \nPlease message me for mor	      https://assets.pets4homes.co.uk/image/6e43404f-2b4b-46b1-be76-1b3b22fe7772/image_wm/image.webp	      Pets > Rabbits > Netherland Dwarf	60	        /classifieds/puqu1kowp-netherland-dwarf-doe-available-to-reserve-camborne/	          Organization	          Shanae18	sale	rabbits
12	      Giant lop ear bunnies	      Mixture or grey and white giant lops, blue eyes. can be easily litter trained if you wanted to keep them as house pets. Used to a house full, noise and being handled, very friendly. Get in touch if yo	      https://assets.pets4homes.co.uk/image/393a3e25-81e7-4d87-8bac-138ef3177fec/image_wm/image.webp	      Pets > Rabbits > British Giant	50	        /classifieds/9qw8zxnwi-giant-lop-ear-bunnies-redruth/	          Person	          Zoe W.	sale	rabbits
13	      Mini Rex buck 	       For sale Young mini Rex buck around 4 mths old very friendly been handled by children   Collection only st dennis 	      https://assets.pets4homes.co.uk/image/7a49f1b2-2dcc-4d2f-9e65-3251983b348b/image_wm/image.webp	      Pets > Rabbits > Rex	20	        /classifieds/prwxq5wk9-mini-rex-buck-saint-austell/	          Person	          chris b.	sale	rabbits
14	      Baby rabbits 	      We have 4 does and 2 bucks ready for their new homes. They are a Siberian/ french lop (dad) cross lop mix (mom). I will request pictures of the homes as these rabbits are use to a large space and will	      https://assets.pets4homes.co.uk/image/1bfb6298-f839-4aac-bb7a-cb0384206348/image_wm/image.webp	      Pets > Rabbits > French Lop	40	        /classifieds/tohglexog-baby-rabbits-camborne/	          Organization	          Balenowe Bunnies 	sale	rabbits
15	      mini lop brothers	      two male baby bunnies looking for their forever home / homes. both very friendly and handled daily by children. £20 each Connor Downs, Cornwall.	      https://assets.pets4homes.co.uk/image/477ab6a1-b4e7-4b5d-9b3f-46b7e7e5b5a0/image_wm/image.webp	      Pets > Rabbits > Mini Lop	20	        /classifieds/v50bq43if-mini-lop-brothers-hayle/	          Organization	          Peter K.	sale	rabbits
16	      mini lop boys handled by children daily	      two male baby bunnies looking for their forever home / homes. both very friendly and handled daily by children. £20 each. Connor Downs, Cornwall.	      https://assets.pets4homes.co.uk/image/c691ea09-f0cf-488c-bb2b-16fb982fa195/image_wm/image.webp	      Pets > Rabbits > Mini Lop	20	        /classifieds/iwceeadwf-mini-lop-boys-handled-by-children-daily-hayle/	          Organization	          Peter K.	sale	rabbits
17	      Baby rabbits	      Mini lop x giant lop and lionhead baby rabbits for sale, 3 available! Handled daily by myself and children so use to children and dogs etc. \nready to leave on the 12th June	      https://assets.pets4homes.co.uk/image/faa9325e-45de-42c7-8c38-e7cf2e9d8c1e/image_wm/image.webp	      Pets > Rabbits > Mini Lop	50	        /classifieds/xbygj8qsu-baby-rabbits-camborne/	          Person	          Sophie P.	sale	rabbits
