	Title	Description	photo_link	category	price	url	seller_type	seller_name	listing_type	pet_type
0	      Hermanns Tortoise for stud	      I’ve had Buster about 4 years, think he’s about 22. Seems to have a show fetish as Humps shoes all day. No problems health wise since I’ve had him. 	      https://assets.pets4homes.co.uk/image/d52f5903-9ab4-479c-bdf6-6cb765257af0/image_wm/image.webp	      Pets > Reptiles > Tortoise	45.0	        /classifieds/hd3s4wiif-hermanns-tortoise-for-stud-southampton/	          Person	          Stephanie  B.	stud	reptiles
1	      Male bosc monitor	      7 month old male bosc monitor. Handled daily. \nComes with full set up and vivarium. \nFrom head to tail about 1.5ft in length\n£40 o.n.o \n\n\n\n	      https://assets.pets4homes.co.uk/image/66817c9a-a878-40bd-b25c-a577776914e7/image_wm/image.webp	      Pets > Reptiles > Monitor	40.0	        /classifieds/iwkizd10y-male-bosc-monitor-wallingford/	          Organization	          Klc	sale	reptiles
2	      Full list baby ball python CB21	      Passione breeder based in Southampton, here to sell some of my hatching that are ready to go, everyone feeding properly, shedding and pooping.\n\nCB 21\n0.1 GHI £160\n1.0 GHI £120\n0.1 wild £40\n1.0 wild £2	      https://assets.pets4homes.co.uk/image/14ca6be4-ef65-4514-8fab-1b1433774481/image_wm/image.webp	      Pets > Reptiles > Python Snake	0.0	        /classifieds/gldu6oxtn-full-list-baby-ball-python-cb21-southampton/	          Organization	          Eden Garden Reptiles	sale	reptiles
3	      Snakes for sale 	      Need gone asap message me on here or text me please don’t phone as I work a lot \n\nRoyal pythons :\nmale normal 11months £40\nmale Proven het albino pied £100\nbumblebee £90\nMale ghost het clown £130\nFema	      https://assets.pets4homes.co.uk/image/6ea38d01-2c05-4dfa-89f5-d576f8322240/image_wm/image.webp	      Pets > Reptiles > Mixed Breed	0.0	        /classifieds/kyv3cfbiu-snakes-for-sale-fleet/	          Person	          Amelia L.	sale	reptiles
4	      Bearded dragon and full set up 	      With regret im looking to sell my bearded dragon as i dont have the time to look after her or the money so she needs to find a 5* home i think shes about 10 months old and she will come with all her s	      https://assets.pets4homes.co.uk/image/d8232d6c-cbaa-4dcf-a541-cd33768cbaca/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	300.0	        /classifieds/digq3j9-o-bearded-dragon-and-full-set-up-abingdon/	          Person	          Yevette F.	sale	reptiles
5	      CB21 African fire skinks for sale	      I have 4 captive bred African fire skink babies left looking for homes. They are friendly and happy to sit on you. Being fed a mixture of crickets, locusts, mealworms, calci worms, snails, earthworms 	      https://assets.pets4homes.co.uk/image/e1a29f2e-f208-4df1-8c1a-f26ddaa6187d/image_wm/image.webp	      Pets > Reptiles > Skink	100.0	        /classifieds/bndw8vtyh-cb21-african-fire-skinks-for-sale-slough/	          Organization	          StayRoyalBallPythons	sale	reptiles
6	      golden albino african clawed frogs tadpoles	      so I have a beautiful mix of African Clawed frogs I do apologise for the blurry video as this was after feeding but they are in a huge tank feeding on daphinia and chopped blood worms they are doing v	      https://assets.pets4homes.co.uk/image/9a66ba3d-f4d3-4a5c-920f-d83546bc3df0/image_wm/image.webp	      Pets > Reptiles > Frog	35.0	        /classifieds/jfx17ibgv-golden-albino-african-clawed-frogs-tadpoles-high-wycombe/	          Person	          Simone F.	sale	reptiles
7	      axolotl eggs only golden available now	      so I have another healthy batch of axolotl eggs I have got 2 females so male black Mel may have mated with either golden or lucy both have bred before and have proven to be successful I am unsure of e	      https://assets.pets4homes.co.uk/image/1570c19a-42bd-408d-97d9-2a39e0e05b06/image_wm/image.webp	      Pets > Reptiles > Axolotl	40.0	        /classifieds/ytrs8xgyk-axolotl-eggs-mixed-black-mel-and-lucy-or-golden-high-wycombe/	          Person	          Simone F.	sale	reptiles
8	      Ambanja male panther chameleon 	      6 month old male ambanja\nVery reluctant sale, only selling as we already have his bloodline so very a shame to waste him, no time wasters please	      https://assets.pets4homes.co.uk/image/1868fa4b-3e80-45d0-9260-6fbc0410c2c9/image_wm/image.webp	      Pets > Reptiles > Chameleon	350.0	        /classifieds/ayfoya0fo-ambanja-male-panther-chameleon-southampton/	          Organization	          Hampshire chameleons	sale	reptiles
9	      breeding males ball python	      Males proven and ready to breed, beautiful animals awesome attitude, do everything as should. Pastel, Pinstripe CB14 £ 90 Orange Dream, Enchi CB18 £150 Dark Mojave CB19 £75	      https://assets.pets4homes.co.uk/image/5cf3bab1-fb75-4524-80ad-13ac50b832df/image_wm/image.webp	      Pets > Reptiles > Python Snake	75.0	        /classifieds/6bemame5e-breeding-males-ball-python-southampton/	          Organization	          Eden Garden Reptiles	sale	reptiles
10	      Musk Terrapins 	      We are looking to re-home our 2 Terrapins we have had for 9 years. They are easy to look after being feed every other day and require their pump to be cleaned every 2 months. We are reluctantly sellin	      https://assets.pets4homes.co.uk/image/e6b302f4-bf4d-4292-96d1-d1db90dec7d3/image_wm/image.webp	      Pets > Reptiles > Terrapin	50.0	        /classifieds/krnjc74cr-musk-terrapins-basingstoke/	          Person	          Luke A.	sale	reptiles
