	Title	Description	photo_link	category	price	url	seller_type	seller_name	listing_type	pet_type
0	      Blue tongued skink	      This is Stan. He is a Indonesian blue tongued skink. He used to be an educational animal but I took him on once the school he was in didn’t want him anymore. \nStan loves to eat mealworms and loves bei	      https://assets.pets4homes.co.uk/image/79a5ecad-9f2d-4c3f-8996-63e263451a70/image_wm/image.webp	      Pets > Reptiles > Lizard	150	        /classifieds/jv-hcmxqb-blue-tongued-skink-torquay/	          Person	          Faye B.	sale	reptiles
1	      Panther chameleon plus full setup 	      Unfortunately I’m having to rehome my male panther chameleon he’s a beautiful boy stunning Colours he is roughly 6 years old. Collection only callington comes with complete setup 	      https://assets.pets4homes.co.uk/image/490b7e62-59bd-4c88-9f54-5b29f78062fc/image_wm/image.webp	      Pets > Reptiles > Chameleon	180	        /classifieds/y8j8lfrcp-panther-chameleon-callington/	          Person	          Gemma A.	sale	reptiles
2	      horsefield tortoise	      Koopa is almost 2 years old , he's a horsefield tort purchased from the tortoise shop.com . he will come with table and heat lamp and any bedding we have .he.s healthy ...we call him HE but actually h	      https://assets.pets4homes.co.uk/image/41170f76-bd5a-4e79-b22e-e311337b2947/image_wm/image.webp	      Pets > Reptiles > Tortoise	150	        /classifieds/rbzsfmih-horsefield-tortoise-brixham/	          Person	          Emma L.	sale	reptiles
3	      Snow Corn Snake for sale	      My lovely corn Luci (Lucifer) is for sale due to no fault of her own. moving house and I just can’t take her with me. She is extremely good tempered and very used to being held. In the two years of me	      https://assets.pets4homes.co.uk/image/d392e518-50eb-44f1-bc3b-5772e46da503/image_wm/image.webp	      Pets > Reptiles > Corn Snake	150	        /classifieds/sdsepyq81-snow-corn-snake-for-sale-plymouth/	          Person	          Skye H.	sale	reptiles
4	      Indian Star Tortoise	      Bought by a English breeder in mid to late 2016.  Initially we first thought he Maisy was a female but as the tortoise has grown we believe she is a he, he is micro-chipped and and can give number on 	      https://assets.pets4homes.co.uk/image/4339523d-9aa3-4133-9e68-da19ed96a155/image_wm/image.webp	      Pets > Reptiles > Tortoise	320	        /classifieds/56qrlousy-indian-star-tortoise-ivybridge/	          Person	          Andrew T.	sale	reptiles
5	      baby axolotls	      this beautiful babies are looking for their forever homes. this are the last of my Leucistics clatch. I can ship all over UK	      https://assets.pets4homes.co.uk/image/5db62ce4-bb39-460b-9d22-8548c3ecddf4/image_wm/image.webp	      Pets > Reptiles > Axolotl	25	        /classifieds/bh0ghbicx-baby-axolotls-callington/	          Organization	          Zaira	sale	reptiles
6	      Copper and wild type male axolotls 18 months old	      I have 2 male axolotls looking for new homes, they are almost 18 months old. The wild type one came from some eggs I'd got so I've raised him myself. The copper came from a breeder at a few months old	      https://assets.pets4homes.co.uk/image/eed9156c-3811-4d2a-a034-d560b16175bb/image_wm/image.webp	      Pets > Reptiles > Axolotl	40	        /classifieds/8gb0uzq48-copper-and-wild-type-male-axolotls-18-months-old-plymouth/	          Person	          Vicki B.	sale	reptiles
7	      4 year old bearded dragon	      due to no fault of its own but me being a stupid teenager and not having enough knowledge to own him and not enough time, he comes with a 4ft viv with all bowls, new lights etc, he enjoys a bath and b	      https://assets.pets4homes.co.uk/image/d5deb525-f418-47e8-82dd-1143f112b07e/image_wm/image.webp	      Pets > Reptiles > Dragon	0	        /classifieds/pgyg2rvlu-3-year-old-bearded-dragon-plymouth/	          Person	          Kieran M.	sale	reptiles
8	      Leatherback bearded dragon hatchling!! 1 LEFT !!	      1 beautiful leather back bearded dragon left. \nEating and pooping just fine! \nUnsure on sex at the moment. \n	      https://assets.pets4homes.co.uk/image/89d73087-c49c-4609-bf6d-043c1ce0381d/image_wm/image.webp	      Pets > Reptiles > Dragon	60	        /classifieds/fqzkjt80q-leatherback-bearded-dragon-hatchling-1-left-liskeard/	          Person	          Chloe W.	sale	reptiles
9	      Bearded Dragon and setup. 	      We have a bearded dragon and setup for sale. We got him as a rescue and we just want him to go to a household that isn't as busy. We don't know the sex but he is very tame. 	      https://assets.pets4homes.co.uk/image/38f713e9-8396-4a7f-85ec-f16b7ad26ef6/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	100	        /classifieds/lhthympnz-bearded-dragon-and-setup-okehampton/	          Person	          Graham C.	sale	reptiles
10	      albino horned frogs	      I have available 2 horned frogs eating and pooping as they should. easy to keep. Great starting reptile.	      https://assets.pets4homes.co.uk/image/f75439eb-bd21-4e15-90d1-eb35a9cf9093/image_wm/image.webp	      Pets > Reptiles > Frog	40	        /classifieds/vkkwfi9nk-albino-horned-frogs-plymouth/	          Organization	          jack n.	sale	reptiles
11	      leopard geckos available June	      lovely leopard geckos available from mid June . reserve now as going fast. they are listed on other sites with rang of male and female	      https://assets.pets4homes.co.uk/image/e4b8a494-dc8d-432d-a456-c444be97d95b/image_wm/image.webp	      Pets > Reptiles > Leopard Gecko	50	        /classifieds/fqdpuhqqg-leopard-geckos-available-june-plymouth/	          Organization	          jack n.	sale	reptiles
12	      Male and female Herman’s tortoise and setup	      It comes with a heavy heart I have to rehome my Male and female Herman’s tortoise ( 15 years old) and full table setup, the tortoises are micro chipped and have papers\n	      https://assets.pets4homes.co.uk/image/9bb196cf-f8cc-41fa-9bd4-761da7cc6e0d/image_wm/image.webp	      Pets > Reptiles > Tortoise	300	        /classifieds/t9knqh3nb-male-and-female-hermans-tortoise-and-setup-okehampton/	          Organization	          Lee N.	sale	reptiles
13	      Female Bearded Dragon	      will not sell her without the viavrium \nFemale Bearded Dragon with complete set up, she has a heat lamp, uv light and timer for her bulbs It's a complete set up ready to go. Also has extra substrate a	      https://assets.pets4homes.co.uk/image/f7b59e6a-6743-495d-a423-2e7f2821d467/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	200	        /classifieds/vh3222ivc-female-bearded-dragon-plymouth/	          Person	          Sophie L.	sale	reptiles
14	      Leopard Gecko Hatchlings	      Leopard geckos available, price will vary depending on morph. 4th year successful breeder. Some are ready to leave and some will be ready in a few weeks. More pictures available upon request. Viewings	      https://assets.pets4homes.co.uk/image/9542f419-37b0-45a4-9e35-5329febbb357/image_wm/image.webp	      Pets > Reptiles > Leopard Gecko	40	        /classifieds/cajgxoukj-leopard-gecko-hatchlings-plymouth/	          Organization	          Lauren Hancock	sale	reptiles
15	      Tortoises	      2 Spur Thighed Tortoises for sale due to change in circumstances. Almost 2 years old. Come with viv and accessories (bowls, plants, light, etc). 	      https://assets.pets4homes.co.uk/image/aa612ed0-fc49-4441-95a1-d9b50aaa54c3/image_wm/image.webp	      Pets > Reptiles > Tortoise	275	        /classifieds/rnzf5n6ci-tortoises-saltash/	          Person	          Lucy B.	sale	reptiles
16	      King x corn snake 	      King x corn snake had for 4 months but change of job so can’t look after it anymore .\nLovely snake ,friendly,eats well ,healthy.\nMale\nBought for £75 but only want £60 \nTank +heat mat -water bowl £40\nO	      https://assets.pets4homes.co.uk/image/b29e38ed-ae8c-443b-9f22-33a2a1c03682/image_wm/image.webp	      Pets > Reptiles > Corn Snake	60	        /classifieds/jf8fhbuo5-king-x-corn-snake-torquay/	          Person	          Shannon W.	sale	reptiles
17	      Bearded dragon hatchlings !! 6 LEFT !!	      Beautiful baby bearded dragons.\nEating like champs, growing really well and very healthy.\nUnsure on sexes just yet.\nHatched on 2nd of may.\n	      https://assets.pets4homes.co.uk/image/eec196f3-c0aa-4759-b221-a4a57b04046f/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	40	        /classifieds/elskljk2l-bearded-dragon-hatchlings-liskeard/	          Person	          Chloe W.	sale	reptiles
18	      Het frosted Hognose snake for sale	      She doesn't fit with my current breeding plans. Eats, sheds and poops normally. Nice temperament for a hognose as well. 	      https://assets.pets4homes.co.uk/image/348c2b04-8e41-4418-a1f0-c04ae4f62b6e/image_wm/image.webp	      Pets > Reptiles > Snake	100	        /classifieds/aigbpnge-het-frosted-hognose-snake-for-sale-plymouth/	          Person	          caleb t.	sale	reptiles
19	      Bosc/savannah monitor	      I’m looking to re-home my male Bosc monitor as I’m downsizing my collection.\nHe is roughly 18/24 month old.\nHe has a typical baby bosc monitor temperament, so you need to have experience to know what 	      https://assets.pets4homes.co.uk/image/0a9d6583-5dc4-4c29-a369-17101f73daf4/image_wm/image.webp	      Pets > Reptiles > Monitor	123	        /classifieds/tzq5brijd-bosc-savannah-monitor-plymouth/	          Person	          Kate J.	adoption	reptiles
20	      Silly tame Caique parrot	      Writing this with a very heavy heart but due to unfortunate circumstances I'm needing to sell Cosmo my Caique. \n\nHe is 2 years old and very tame and loves people, having snuggles and falling asleep in	      https://assets.pets4homes.co.uk/image/81761991-f998-49a0-bb4f-6e425894c9c8/image_wm/image.webp	      Pets > Birds > Parrots	400	        /classifieds/jgkfl8flt-silly-tame-caique-parrot-paignton/	          Person	          Anna D.	sale	birds
21	      hand tame ringneck	      Hand tame ringneck currently being reared. 5 in total with a variety of colours. 1 x lutino, 1 x Albino, 1 x Green & 2 x Blues. message for prices	      https://assets.pets4homes.co.uk/image/10ca946e-9406-444e-9e94-aab937e8f946/image_wm/image.webp	      Pets > Birds > Ringnecks	300	        /classifieds/ompi-kia8-hand-tame-ringneck-plymouth/	          Person	          James F.	sale	birds
22	      Military macaw 	      This beautiful boy is 2 years old, for sale for no fault of his own we just don’t have the time that he needs or deserves, hand tame took a little while to gain trust but he's very loving, tells you h	      https://assets.pets4homes.co.uk/image/3b7a4ab3-8383-432c-810d-3628df087a7b/image_wm/image.webp	      Pets > Birds > Macaws	1800	        /classifieds/buve6at6r-military-macaw-plymouth/	          Person	          James B.	sale	birds
23	      Eclectus 18 years much loved 	      Selling our very much loved eclectus , he’s amazing and friendly chats away, he has plucked himself 6 years ago when I had my last child soon as she was born he just plucked away and has done since. H	      https://assets.pets4homes.co.uk/image/def9b9db-4cf2-478e-9e25-7efc987c3730/image_wm/image.webp	      Pets > Birds > Parrots	525	        /classifieds/fkrnv35h7-eclectus-18-years-much-loved-newton-abbot/	          Person	          JOANNA C.	sale	birds
24	      Pakistani pigeons pair	      Pakistani pair Fantastic flyers very healthy fully vaccinated any information let me know own courier accepted 	      https://assets.pets4homes.co.uk/image/46a046c3-85d7-4fe2-91b0-864a34419339/image_wm/image.webp	      Pets > Birds > Pigeons	40	        /classifieds/cnzndwx4u-pakistani-pigeons-pair-plymouth/	          Person	          Z O.	sale	birds
25	      baby cockatiels for sale	      parent reared young baby cockatiels for sale. I have a pied clutch that are weaning now and will be ready in about 2-3 weeks time. \n\nThese young parent reared babies are the perfect age to tame, diffe	      https://assets.pets4homes.co.uk/image/abcdc705-3d98-40e3-845e-8fdb7435ef49/image_wm/image.webp	      Pets > Birds > Cockatiels	100	        /classifieds/c4iezwtl9-baby-cockatiels-for-sale-ivybridge/	          Person	          R P.	sale	birds
26	      baby hand reared cockatiels different colours	      pied and normal cockatiel available now! \n\nbaby hand reared cockatiels for sale £200 each. they are tame babies and are used to handling and all household noises and other pets. these babies will not 	      https://assets.pets4homes.co.uk/image/b2e3cd7d-b523-4db3-b48b-5d838b4bdbb7/image_wm/image.webp	      Pets > Birds > Cockatiels	200	        /classifieds/1ujngu-dh-baby-hand-reared-cockatiels-ivybridge/	          Person	          R P.	sale	birds
27	      Pakistani chopra pigeons 	      Great flyers very healthy I have many more birds available house move forces sale prices vary from £30 to £50 any questions let me know delivery also accepted with own courier service e.g highflyers c	      https://assets.pets4homes.co.uk/image/fa8f2fd6-9250-4290-9748-dd681fb09c81/image_wm/image.webp	      Pets > Birds > Pigeons	0	        /classifieds/zit15885v-pakistani-chopra-pigeons-plymouth/	          Person	          Z O.	sale	birds
28	      Proven pairs 	      Proven pair of pineapple conures go down 2-3 times a year £300\n\nProven Orange bellied Senegals £750\n\nProven pair of jardines just come off 4 eggs £1500\n	      https://assets.pets4homes.co.uk/image/bba9316d-9b59-4bf1-b684-fbf9cb157214/image_wm/image.webp	      Pets > Birds > Mixed Breed	0	        /classifieds/gfzj9wim2-proven-pairs-plymouth/	          Organization	          Gary t.	sale	birds
29	      3x bird cages	      24x18x18 breeding cages x3 perches but no feeders £15 each .........................................	      https://assets.pets4homes.co.uk/image/af363a5e-c523-4921-a05b-4a1383a5fb8e/image_wm/image.webp	      Pets > Birds > Cockatiels	15	        /classifieds/hus2uisnl-3x-bird-cages-plymouth/	          Person	          derick h.	sale	birds
30	      hand tame cocktails	      Hand tame cocktails really loving can say load of words but won't talk to he get to know you then he won't stop talking loves being out all the time will go back in cages by his self he loves people I	      https://assets.pets4homes.co.uk/image/ab55f16f-40e9-4e81-844b-dae0a4353292/image_wm/image.webp	      Pets > Birds > Cockatiels	200	        /classifieds/xkgu85d-9-hand-tame-cocktails-plymouth/	          Person	          derick h.	sale	birds
31	      Niki Nanday Conure	      Hi, im selling my Nanday Conure. Due to moving new house. She is DNA tested with certificate. I bought her from pet shop and have for over year. They told me she is 3 month's old, but they was laying 	      https://assets.pets4homes.co.uk/image/f39d30a0-c3ed-48d0-b703-4edebe8087a4/image_wm/image.webp	      Pets > Birds > Conures	250	        /classifieds/ijzzgla0q-niki-nanday-conure-plymouth/	          Person	          Lukas B.	sale	birds
32	      young adult sun conure	      4-5 years old young male sun conure, semi tame, will take food from you but won't come near. eats extremely well 	      https://assets.pets4homes.co.uk/image/e79bdbd2-8fb5-4ff2-933c-8d7fd4e998d3/image_wm/image.webp	      Pets > Birds > Parakeets	395	        /classifieds/ijhwwcftd-young-adult-sun-conure-plymouth/	          Person	          Louise E.	sale	birds
33	      Blue fronted amazon female	      she is an amazing talker not a screamer at all. this bird isn't good to get out of the cage around men but will talk to them through the bars fine. she lives a cuddle and will tuck herself into your n	      https://assets.pets4homes.co.uk/image/e966c823-6ced-4668-bce2-74504b7831b6/image_wm/image.webp	      Pets > Birds > Parrots	995	        /classifieds/d0v1lafjb-blue-fronted-amazon-female-plymouth/	          Person	          Louise E.	sale	birds
34	      orange winged amazon tame and talking well	      perfect feather condition orange winged amazon, male. talks well and will go to both males and females. not a screamer but does talk loud on occasions. easy parrot for a first time parrot only	      https://assets.pets4homes.co.uk/image/4fd8f511-20f9-4477-898f-30cf2511a896/image_wm/image.webp	      Pets > Birds > Parrots	850	        /classifieds/mdg76eio-orange-winged-amazon-tame-and-talking-well-plymouth/	          Person	          Louise E.	sale	birds
35	      tame and gold macaw	      Charlie is a 17 year old male blue and gold macaw. he does like men. but once knows you he's fine with women. he likes to step up onto a branch when being taken out of cage or going back as he knows w	      https://assets.pets4homes.co.uk/image/bf2621e4-6a3d-46fe-b1d8-0c88cf3ff3b9/image_wm/image.webp	      Pets > Birds > Macaws	1600	        /classifieds/9etxdgc9p-tame-ue-and-gold-macaw-plymouth/	          Person	          Louise E.	sale	birds
36	      Pair of green cheek conures	      Pineapple cock and turquoise cinnamon hen these are breeding birds not tame I also have a big cage you can also have for no extra money 	      https://assets.pets4homes.co.uk/image/55692e00-8e1c-45a1-b557-db8deb658227/image_wm/image.webp	      Pets > Birds > Conures	300	        /classifieds/pgtu0mhsr-pair-of-green-cheek-conures-brixham/	          Organization	          Ian W.	sale	birds
37	      large bird cage	      large bird /rat cages only hade birds in it no feeders come with it ....................................	      https://assets.pets4homes.co.uk/image/322dc255-a560-4578-a213-49b8bfd55d80/image_wm/image.webp	      Pets > Birds > Cockatoo	25	        /classifieds/vvdi9wax5-large-bird-cage-plymouth/	          Person	          derick h.	sale	birds
38	      2 pairs of lovebirds	      2 pair of lovebirds £75 a pair and got nest box's available to..........................................	      https://assets.pets4homes.co.uk/image/e2d5a9a5-f33b-4458-991d-17a41572a4c1/image_wm/image.webp	      Pets > Birds > Lovebirds	75	        /classifieds/bhv-wkjqg-2-pairs-of-lovebirds-plymouth/	          Person	          derick h.	sale	birds
39	      stunning Siberian for stud	      beautiful Siberian cat for stud duties. black tuxedo colourings but carries an array of colours including lynx, tabby, and more. photos of kittens available! very docile and loving character. queens a	      https://assets.pets4homes.co.uk/image/4779db42-baac-4f99-9140-aad78070a9d4/image_wm/image.webp	      Pets > Cats > Siberian	200	        /classifieds/ezktvjeqk-stunning-siberian-for-stud-plymouth/	          Person	          Kelly J.	stud	cats
40	      GCCF/TICA lilac bicolour British Shorthair	      Dontae ‘The Don’ is now proven and available for public stud to select queens. Don is dual registered with both GCCF and TICA, he is a beautiful chunky true to type boy with a stunning head and face a	      https://assets.pets4homes.co.uk/image/6e1694e5-7542-441a-a73b-699e4a4b01c0/image_wm/image.webp	      Pets > Cats > British Shorthair	300	        /classifieds/3455410-gccf-tica-lilac-bicolour-british-shorthair-newton-abbot/	          Person	          DiLussos B.	stud	cats
41	      Beautiful Nude Chunky Sphynx Stud blue eye domi	      valentines Kings& Queens Spynx delight in offering our gorgeous chunky boy Levi, for Stus he’s dominant white/ white Spotting / cream point / spotted Tortie / Bicolor he is Romanian amazing Eastern Eu	      https://assets.pets4homes.co.uk/image/cf76477d-f6a1-4c8c-80fb-2f72c6b0bc94/image_wm/image.webp	      Pets > Cats > Sphynx	150	        /classifieds/utkovt0q1-beautiful-nude-chunky-sphynx-stud-newton-abbot/	          Person	          sphynx c.	stud	cats
42	      Maine Coon stud	      Filip welcomes to a 3-day meeting for females cats that are healthy, checked by a vet. He is big, his weight is 9 kg. It would be good if your kitten was not very small. \nI will provide more informati	      https://assets.pets4homes.co.uk/image/5c38d862-58f6-4311-9a04-5500950333d3/image_wm/image.webp	      Pets > Cats > Maine Coon	250	        /classifieds/6fvnz7u8z-maine-coon-stud-paignton/	          Person	          Karolina K.	stud	cats
43	      Gorgeous lynx ragdoll stud	      Simba is our gorgeous mitted lynx boy. Very affectionate, loving and gentle with the ladies! \n\nYour queen will be very well looked after in the family home. In the unlikely event that the first mating	      https://assets.pets4homes.co.uk/image/649e24dd-3e08-43f2-9e86-7bed6615efb4/image_wm/image.webp	      Pets > Cats > Ragdoll	200	        /classifieds/3208899-gorgeous-lynx-ragdoll-stud-plymouth/	          Person	          Kelly J.	stud	cats
44	      OUTSTANDING REGISTERED, PROVEN STUD. S/W BASED	      ELTON CATANETA is our TICA registered boy.\nHe is an absolutely stunning solid blue & weighs in at a whopping 4.5kg of pure muscle!!\n\nHe has sired 3 litters (7, 5 & 7) and has another on the way. His o	      https://assets.pets4homes.co.uk/image/614e950c-a314-4bea-9430-3e1e8718757a/image_wm/image.webp	      Pets > Cats > Sphynx	350	        /classifieds/jvmos5jx5-outstanding-registered-proven-stud-s-w-based-plymouth/	          Organization	          Naked Attraction Sphynx	stud	cats
45	      Scottish Fold Stud 	      I have a gorgeous boy available for stud duties. He is a very friendly boy , super gentle, has fathered stunning kittens. \nHe is fully vaccinated. \nLadies will stay for up to a week in my purpose buil	      https://assets.pets4homes.co.uk/image/178d3674-d1d6-4b0c-a26b-fd4ef877e1fe/image_wm/image.webp	      Pets > Cats > Scottish Fold	175	        /classifieds/ywgbjcm9w-scottish-fold-stud-newton-abbot/	          Person	          Victoria G.	stud	cats
46	      LAST 2 LEFT!!! GCCF BSH Black Tipped Kittens	      We are registered GCCF breeders and have our own prefix.\n\n\nThese gorgeous kittens are registered Pet only. they will make amazing pets and live indoors with us. \n\nBoth parents are from champion lines 	      https://assets.pets4homes.co.uk/image/82719d48-ec61-489f-b0d5-d106f93a997f/image_wm/image.webp	      Pets > Cats > British Shorthair	900	        /classifieds/yzhknosjp-gccf-silver-shaded-black-tipped-kittens-plymouth/	          Organization	          James P.	sale	cats
47	      Beautiful kittens	      Our lovely kittens are ready to leave us shortly. The mother has a wonderful temperament and the kittens are also very loving. Well handled. Wormed & flead. 	      https://assets.pets4homes.co.uk/image/3efc6ebc-ff6b-4a86-8a23-7a5eef06750e/image_wm/image.webp	      Pets > Cats > Mixed Breed	150	        /classifieds/gpto4lxvz-beautiful-kittens-plymouth/	          Person	          Laura H.	sale	cats
48	      Bengal kittens	      Beautiful litter of 7 bengal kittens. \nWe have a mix of marble and rosetted bengal kittens: \nReserved:\n1 marble boy (Yellow) \n1 rosetted/spotted girl (Green) \n1 Rosetted/Spotted boy. (Purple) \n\nAvaila	      https://assets.pets4homes.co.uk/image/463f7dbd-a9db-49ba-a767-332fbd4aad02/image_wm/image.webp	      Pets > Cats > Bengal	635	        /classifieds/lyqbijuws-bengal-kitens-gunnislake/	          Person	          Ashleigh R.	sale	cats
49	      Pure British Shorthair Kittens	      Our family pets Matilda & Freddie, both GCCF/TICA registered pedigree British shorthair cats have had a one off litter. \n\nWe are lucky to have four gorgeous chunky kittens. Three boys, one girl. \n\nBla	      https://assets.pets4homes.co.uk/image/f172f5fd-0edc-48c0-b58b-06d8e71c943e/image_wm/image.webp	      Pets > Cats > British Shorthair	800	        /classifieds/avvseidj2-pure-british-shorthair-kittens-plymouth/	          Person	          Hannah Y.	sale	cats
