	Title	Description	photo_link	category	price	url	seller_type	seller_name	listing_type	pet_type
0	      Ranitomeya variabilis southern dart frog tadpoles 	      Here i havd dart frog tadpoles for sale from exellent stock i would hurry as these go fast and hslf the price of froglets will be sent via next day delivery 	      https://assets.pets4homes.co.uk/image/99799eed-4833-4e99-ac56-f3ba0ea0333c/image_wm/image.webp	      Pets > Reptiles > Frog	25.0	        /classifieds/bsnlitawv-ranitomeya-variabilis-southern-dart-frog-tadpoles-carlisle/	          Person	          Stephen H.	sale	reptiles
1	      Painted Wood Turtles (Rhinoclemmys pulcherrima)	"      CB21/22 Painted Wood Turtles available.\n\nBeautiful species of turtle which requires a humid forest floor style enclosure with a large water area.\n\nYoungsters £60 each\nSub adults (4\"" shell) £100 each\n\n"	      https://assets.pets4homes.co.uk/image/a3b1d86c-4a99-4b3c-961c-b6cd86aba4c2/image_wm/image.webp	      Pets > Reptiles > Turtle	60.0	        /classifieds/afffjtemo-painted-wood-turtles-rhinoclemmys-pulcherrima-carlisle/	          Organization	          Paul112	sale	reptiles
2	      Red Cheeked Mud Turtles (Kinosternon cruentatum)	      3x CB22 Red Cheeked Mud Turtles (Kinosternon scorpioides cruentatum) available. Care requirements very similar to Musk turtles but a rarer species here in the UK. Will require well filtered, heated aq	      https://assets.pets4homes.co.uk/image/a09a63a0-ec29-4a50-8275-6449e394e322/image_wm/image.webp	      Pets > Reptiles > Turtle	60.0	        /classifieds/y0plily9s-red-cheeked-mud-turtles-kinosternon-cruentatum-carlisle/	          Organization	          Paul112	sale	reptiles
3	      bearded dragon	      TESTING THE WATERS...with a very heavy heart im thinking about selling my bearded dragon. burt is just over a year old and iv had him since he was 6 weeks old...only thinking of selling him due to not	      https://assets.pets4homes.co.uk/image/9b6c159a-66d1-4ec3-b688-70e129a61385/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	250.0	        /classifieds/ouv1wyyum-bearded-dragon-carlisle/	          Person	          loraine f.	sale	reptiles
4	      Lovely leopard gecko 	      Tame gecko. Unsure of exact age and hasn't been sexed. Comes with full tank, heat lamp heat mat. Also comes with sand and wet moss.	      https://assets.pets4homes.co.uk/image/8ec5c605-a623-43ad-8c02-de1d173501e6/image_wm/image.webp	      Pets > Reptiles > Leopard Gecko	20.0	        /classifieds/t4ksacuwu-lovely-leopard-gecko-carlisle/	          Person	          sabrina s.	sale	reptiles
5	      Marginated Tortoise Hacthling CB 2021	      Very active and healthy captive bread Marginated tortoise hatchlings. Pooing and weeing well and eating incredibly well! fed on weeds and currently supplements we with lambs lettuce and dried flowers.	      https://assets.pets4homes.co.uk/image/dbaa31e3-f904-4672-81b4-1324b64cf2fe/image_wm/image.webp	      Pets > Reptiles > Tortoise	100.0	        /classifieds/wte1ywslq-marginated-tortoise-hacthling-cb-2021-carlisle/	          Organization	          Baby Marginated Tortoises	sale	reptiles
6	      Mixed sex budgies 4 last month’s babys	      11 mixed sex budgies 4 of them are just baby’s only selling as lack of time with them good healthy birds all must go together 	      https://assets.pets4homes.co.uk/image/36b03f5a-2c56-4f78-aca1-1f96a86d6650/image_wm/image.webp	      Pets > Birds > Budgerigars	100.0	        /classifieds/d7wswiyji-mixed-sex-budgies-4-last-months-babys-carlisle/	          Organization	          John mcgurty	sale	birds
7	      Pineapple cheek conure female 	      Preya is 5 years old very tame and loves attention... Great with kids of all ages loves to dance loves to just come out and sit with you and chat away in your ear. She is blind in one eye due to a acc	      https://assets.pets4homes.co.uk/image/a83aacfc-c652-442d-8a87-8b8ac09cf538/image_wm/image.webp	      Pets > Birds > Conures	200.0	        /classifieds/i-eqvvuhz-pineapple-cheek-conure-female-workington/	          Organization	          Miss l dixon	sale	birds
8	      Breeding Pair of Cockatiels (CAGE AND NEST)	      The female is named Willow, the male is named Winston. This lovely couple has produced two clutches of eggs in the past, I am willing to give these away to experienced breeders or parrot owners. The p	      https://assets.pets4homes.co.uk/image/48ca9c47-5add-489e-b38c-9028ef2c8f46/image_wm/image.webp	      Pets > Birds > Cockatiels	350.0	        /classifieds/bcvum-yzh-breeding-pair-of-cockatiels-cage-and-nest-lockerbie/	          Organization	          Rebecca h.	sale	birds
9	      Two male budgies 	      Two male budgies, cage and toys.  Will happily fly around the room with you in, love talking to each other. Have had space to fly so would need that in new home. 	      https://assets.pets4homes.co.uk/image/3001d911-9741-4eac-8b44-22ece714cad3/image_wm/image.webp	      Pets > Birds > Budgerigars	20.0	        /classifieds/u4dtzpqvi-two-male-budgies-workington/	          Person	          Gemma R.	sale	birds
10	      Outstanding Blue boy (blood group B)	      This is Remy. He’s a proven boy with a fabulous temperament.\n\nRemy is an excellent representative of his breed: lovley round head, small ears - fitting well  into the contours of his head. Super, rich	      https://assets.pets4homes.co.uk/image/d48687bb-a115-467e-9e87-0c5294686d92/image_wm/image.webp	      Pets > Cats > British Shorthair	300.0	        /classifieds/fkz-3u5la-outstanding-blue-boy-blood-group-b-lockerbie/	          Organization	          SAORSA CATS	stud	cats
