	Title	Description	photo_link	category	price	url	seller_type	seller_name	listing_type	pet_type
0	      Horsefield Tortoise for stud	      Ziggy is a 12 year old healthy horsefield tortoise who has just reached sexual maturity. We think that this offers him an opportunity to ‘blow off some steam’ and due to the lack of tortoises currentl	      https://assets.pets4homes.co.uk/image/66e3ba28-9787-4019-b875-15d88936655c/image_wm/image.webp	      Pets > Reptiles > Tortoise	40.0	        /classifieds/vqw1wnxcm-horsefield-tortoise-for-stud-billericay/	          Organization	          Daisy  S.	stud	reptiles
1	      Rare/Unusual Axolotl juveniles 	      Mum is a beautiful copper with red wine coloured girls and Dad is a golden albino. Babies are a mixture of copper with golden Hughes, Wild type with golden shimmer from different angles some of them A	      https://assets.pets4homes.co.uk/image/65d95406-c09b-4aa2-aeda-765cfa5c6c85/image_wm/image.webp	      Pets > Reptiles > Axolotl	25.0	        /classifieds/lxppxmhml-axolotl-juveniles-colchester/	          Person	          Katy W.	sale	reptiles
2	      leopard gecko	      she’s so friendly and loving to hold she comes with tank and heat mat her name is Stevie wonder (just a random name )	      https://assets.pets4homes.co.uk/image/f69dd38c-0de4-48e8-b8a2-954545f76edf/image_wm/image.webp	      Pets > Reptiles > Leopard Gecko	100.0	        /classifieds/etqhy88y2-leopard-gecko-chelmsford/	          Person	          Tegan R.	sale	reptiles
3	      Beautiful patterned dragons babies 	      Friendly babies on sale they eating pooing well shedding nicely.Growing fast . Cute little 🦎 they available now .\n	      https://assets.pets4homes.co.uk/image/c754a6ea-2c49-44e8-b80e-96286dd713ee/image_wm/image.webp	      Pets > Reptiles > Dragon	50.0	        /classifieds/7y5h5bp4t-beautiful-patterned-dragons-babies-colchester/	          Person	          Krisztina A.	sale	reptiles
4	      Female crutchfield albino iguana very tame 	      Dora has the best temperament, very tame, loves a bath. Feeding well on fresh greens and small amounts of fruit. Imported from America. Owned her for almost 2 years. Looking for a new home due to pers	      https://assets.pets4homes.co.uk/image/7a26b895-06f0-4023-961d-b3f1ca85621d/image_wm/image.webp	      Pets > Reptiles > Iguana	650.0	        /classifieds/0ngeftdfn-female-crutchfield-albino-iguana-very-tame-bury-saint-edmunds/	          Organization	          Countrytales	sale	reptiles
5	      Crested gecko yellow tiger pin with portholes	      Lovely bold, patterned hatchling. Going to be super pretty when it grows up.\n\n4g ready to leave now.\n\nNo pores seen.\n\nParents pictures are an orange tiger lilly white and olive tiger phantom pinstripe	      https://assets.pets4homes.co.uk/image/01ac0e86-b206-441c-8894-37ae6417f41d/image_wm/image.webp	      Pets > Reptiles > Gecko	75.0	        /classifieds/2gb-vnz5m-baby-crested-gecko-various-morphs-and-prices-stowmarket/	          Organization	          Oddball Exotics	sale	reptiles
6	      horsefield tortoise 	      Tortoise 6 years old includes full set up lights and 7ft table leigh on sea essex SS9 4BQ everything provided 	      https://assets.pets4homes.co.uk/image/d02edf71-4ef3-42be-9172-320c12b11e97/image_wm/image.webp	      Pets > Reptiles > Tortoise	200.0	        /classifieds/kbikmyme1-horsefield-tortoise-leigh-on-sea/	          Person	          Rosetta K.	sale	reptiles
7	      Bearded dragons	      Unfortunately my boys are up for sale I've recently moved an had to down size an im now having to down size on vivariums I have a male citus Zak age unknown due to use rescuing him 2 years ago an I ha	      https://assets.pets4homes.co.uk/image/b3586845-c73f-45e0-8c07-043b95f04862/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	150.0	        /classifieds/kvq-ruhgt-bearded-dragons-braintree/	          Person	          Rachel M.	sale	reptiles
8	      Hypo Bearded dragon	      Gerald was sold to us as a male but it is hard to sex a baby bearded dragon so still not 100% if it's a male or female. To us it didn't matter as anyway as he's an absolutely brilliant pet he's very f	      https://assets.pets4homes.co.uk/image/28fde611-25b9-4c39-80fc-e004da59683a/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	250.0	        /classifieds/xh52l99xz-hypo-bearded-dragon-manningtree/	          Person	          Siobhion S.	sale	reptiles
9	      Male tortoises 	      I have for sale 2 male horsefields tortoises comes with white tortoise table complete set up. They come as a pair so will have to be sold as a pair.	      https://assets.pets4homes.co.uk/image/a32bcbde-7d37-47a1-b689-4e7fdb8c9d52/image_wm/image.webp	      Pets > Reptiles > Tortoise	250.0	        /classifieds/jjf3digru-male-tortoises-southend-on-sea/	          Person	          Emily B.	sale	reptiles
10	      2021 leopard gecko for sale	      Healthy Leopard geckos for sale a mix of colours. Captive bred 2021 borns. FROM £40 to £100+. Feeding and shedding well - would not advertise otherwise. Delivery and collection welcome. Located in Ess	      https://assets.pets4homes.co.uk/image/a7363c60-9f73-4332-89e1-85c80c0db426/image_wm/image.webp	      Pets > Reptiles > Leopard Gecko	40.0	        /classifieds/a0dgj-n2i-2021-leopard-gecko-for-sale-walton-on-the-naze/	          Organization	          Chloe	sale	reptiles
