	Title	Description	photo_link	category	price	url	seller_type	seller_name	listing_type	pet_type
0	      Breeding paer hognose 	      CB20 pear of \nAlbino 66% het Toxic jag \nMale and female £300 for the pear \nBased in Gloucester UK \nPick up \nPM info 	      https://assets.pets4homes.co.uk/image/45ce344d-9bc9-4d3b-8099-951a2e2253be/image_wm/image.webp	      Pets > Reptiles > Snake	300.0	        /classifieds/8k7twlfrn-breeding-paer-hognose-gloucester/	          Organization	          Gary V.	sale	reptiles
1	      Breeding paer hognose 	      CB20 breeding paer off hognose snakes \nHigh red 100%het Frost \nMale and female in good condition eating small to medium mice once a week \n£300 the paer \nBased in Gloucester UK \nPick up \nPM info 	      https://assets.pets4homes.co.uk/image/7d555692-a2ca-496b-bbbb-9fa4b085b7bf/image_wm/image.webp	      Pets > Reptiles > Snake	300.0	        /classifieds/6woho-dk-breeding-paer-hognose-gloucester/	          Organization	          Gary V.	sale	reptiles
2	      Male bosc monitor	      7 month old male bosc monitor. Handled daily. \nComes with full set up and vivarium. \nFrom head to tail about 1.5ft in length\n£40 o.n.o \n\n\n\n	      https://assets.pets4homes.co.uk/image/66817c9a-a878-40bd-b25c-a577776914e7/image_wm/image.webp	      Pets > Reptiles > Monitor	40.0	        /classifieds/iwkizd10y-male-bosc-monitor-wallingford/	          Organization	          Klc	sale	reptiles
3	      CB22 baby hognoses 	      CB22 baby hognoses ready to go we have\nSnow £350\nAxanthic 100% het Albino £200\nAlbino £120\nAll eating df pinky's 1 every 4to5 days Based in Gloucester UK Pick up PM for info 	      https://assets.pets4homes.co.uk/image/3d41fd35-26f5-43da-9191-b9a84913b2b3/image_wm/image.webp	      Pets > Reptiles > Snake	0.0	        /classifieds/msykywtfo-cb22-baby-hognoses-gloucester/	          Organization	          Gary V.	sale	reptiles
4	      Bearded dragon and viv	      Having to rehome my bearded dragon and viv  as my 2 year old will not leave him alone and keeps smashing the heat bulb! Viv needs new heat bulb and thermostat \n\nMk18 	      https://assets.pets4homes.co.uk/image/d8074f3b-133a-4a42-8b22-dc3bf67fec47/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	60.0	        /classifieds/vtufkh4t3-bearded-dragon-and-viv-buckingham/	          Person	          Lisa E.	sale	reptiles
5	      High red 50% het Frost 	      Western hognose for sale \nHigh red 50% het Frost \nAll eating df pinky's and now ready to go to there new homes 🏡 £150.\n\nBased in Gloucester UK \nPick up or courier can be arranged at Byers expense \n	      https://assets.pets4homes.co.uk/image/a14b50be-0c83-4445-b2de-bac3fd5355bf/image_wm/image.webp	      Pets > Reptiles > Snake	150.0	        /classifieds/ffe-vbudx-high-red-50-het-frost-gloucester/	          Organization	          Gary V.	sale	reptiles
6	      Bea Het Ghost Boa	      Absolutely beautiful male ghost boa, relaxed temperament, and an excellent feeder! He'll come with a fully set-up 5x2ft viv with all the necessary equipment inside, all running smoothly. There is a ce	      https://assets.pets4homes.co.uk/image/81156b2b-8215-47d6-96e4-74aa51d86a63/image_wm/image.webp	      Pets > Reptiles > Boa Snake	550.0	        /classifieds/xadrkgias-bea-het-ghost-boa-bicester/	          Person	          Sherry R.	sale	reptiles
7	      Bearded dragon and full set up 	      With regret im looking to sell my bearded dragon as i dont have the time to look after her or the money so she needs to find a 5* home i think shes about 10 months old and she will come with all her s	      https://assets.pets4homes.co.uk/image/d8232d6c-cbaa-4dcf-a541-cd33768cbaca/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	300.0	        /classifieds/digq3j9-o-bearded-dragon-and-full-set-up-abingdon/	          Person	          Yevette F.	sale	reptiles
8	      Wonderful Royal Python For Adoption & Set Up!	      Meet Marge, the 5 year old female royal python who is looking for her forever home. Marge came into our rescue because her old owner no longer could care for her or his other royal python whom we also	      https://assets.pets4homes.co.uk/image/5fa46eb2-7675-4ad3-9c40-5e971a63a946/image_wm/image.webp	      Pets > Reptiles > Python Snake	50.0	        /classifieds/8hob-gp3g-wonderful-royal-python-for-adoption-set-up-faringdon/	          Person	          hope l.	sale	reptiles
9	      Beautiful Zero bearded dragon & set up!	      This is Jinx, the 4 year old female zero bearded dragon, and she is looking for her forever home. Jinx came to our rescue after her old owner had a relationship breakdown and had to downsize their hom	      https://assets.pets4homes.co.uk/image/720a5112-c3f0-4464-b081-fc123703b247/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	150.0	        /classifieds/g96w-78fa-beautiful-zero-bearded-dragon-set-up-faringdon/	          Person	          hope l.	sale	reptiles
10	      Crested Gecko 	      Amazing little gecko for sale.  Possible female about 4 months old any questions just ask\n\nEating rapashy doesn't come with enclosure.  Last 2 pics are parents. £75	      https://assets.pets4homes.co.uk/image/4dae500e-d440-426d-9688-1518561468b4/image_wm/image.webp	      Pets > Reptiles > Gecko	75.0	        /classifieds/m-4q1emjo-crested-gecko-shipston-on-stour/	          Organization	          Holly's cresties 	sale	reptiles
11	      Hypo dunner leatherback 100% het trans proven	      Proven breeder from moor reptiles. He sired 3 perfect clutches for us last year. Quite lazy but will hunt for locusts and mario worms but needs to be tong fed dubia roaches 😂 his attitude changes the	      https://assets.pets4homes.co.uk/image/6f5f6220-af46-4a33-8a2c-0da61d81a0c4/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	200.0	        /classifieds/puu3rk6tf-hypo-dunner-leatherback-100-het-trans-proven-banbury/	          Organization	          DeamDragonsUK	sale	reptiles
