	Title	Description	photo_link	category	price	url	seller_type	seller_name	listing_type	pet_type
0	      Carrot-tail morph Leopard Gecko for Stud	      Rango is my Super Hypo Tangerine Carrot-Tail Leopard Gecko who is currently up for stud. The Carrot Tail morph is highly sought after and would love for him to be able to sire some offspring of his ow	      https://assets.pets4homes.co.uk/image/3f6a3020-cd03-475e-a5bb-f3ebeb9c4075/image_wm/image.webp	      Pets > Reptiles > Leopard Gecko	20.0	        /classifieds/3163098-carrot-tail-morph-leopard-gecko-for-stud-taunton/	          Organization	          Morgan	stud	reptiles
1	      Royal python	      Royal python need to rehome urgently as from a previous relationship he's a good feeder takes a small weaner rat however the reptile said he could go up in size however I never got round to it 	      https://assets.pets4homes.co.uk/image/71be59ef-4838-46e5-bcac-d28094556635/image_wm/image.webp	      Pets > Reptiles > Python Snake	50.0	        /classifieds/vq-tuby8m-royal-python-exeter/	          Person	          Rebecca H.	sale	reptiles
2	      hypo, trans, leatherback, zeros, witblits	      http://www.coastaldragons.co.uk/ ALL PRICES ON HERE. Free courier countrywide weekly.\n\nhttps://www.facebook.com/CoastalDragon/\n\n\n\n\n*24/05/2022* We currently have witblits, zeros, hypos, translucents a	      https://assets.pets4homes.co.uk/image/91ba80a3-dda9-4c50-9602-2607bae5b594/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	100.0	        /classifieds/evns2jrmp-hypo-trans-leatherback-zeros-witblits-yeovil/	          Organization	          Coastal Dragons	sale	reptiles
3	      Large Sulcatta tortoise	      We have our boy Tony for sale. He is a sweet natured boy that weighs about 20-25kg. I have size referenced him next to my feet and 17 month old daughter. \nWe are selling him due to having to moving ho	      https://assets.pets4homes.co.uk/image/9eed3791-0254-49cb-a69e-29bb3a2a1e0d/image_wm/image.webp	      Pets > Reptiles > Tortoise	1000.0	        /classifieds/5ebuvtxoy-large-sulcatta-tortoise-exeter/	          Organization	          Westie	sale	reptiles
4	      Musk Turtles	      Two Musk turtles.\nI have been told they are both male and unsure how to sex them myself. \nCurrently in a large tank, but the tank now has to go back to original owner therefore the turtles now need to	      https://assets.pets4homes.co.uk/image/c0a02b76-8a39-47d4-a61a-31b2f1018b72/image_wm/image.webp	      Pets > Reptiles > Turtle	50.0	        /classifieds/rpuwzn5kf-musk-turtles-bridgwater/	          Person	          Hayley G.	sale	reptiles
5	      salmon boa female	      proven salmon boa female. 5 year old around 6,5kg. eating shedding and pooing as should. she is on extra large rat every two weeks. any questions just send me a message	      https://assets.pets4homes.co.uk/image/9a055519-78dc-486a-88a3-03acf4b9c1f3/image_wm/image.webp	      Pets > Reptiles > Boa Snake	60.0	        /classifieds/drnzzkwwj-salmon-boa-female-bridgwater/	          Organization	          Michal	sale	reptiles
6	      Male Bearded Dragon and setup	      Unfortunately due to unforeseen circumstances I am having to rehome several of my pets, including my beloved Beardie, Ozzy.\nI’ve had Ozzy for over a year, and he’s about 1 and a half now, he’s got suc	      https://assets.pets4homes.co.uk/image/57ac4c15-4397-4a9b-af2b-8898abaecda6/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	200.0	        /classifieds/qylupbadm-male-bearded-dragon-and-setup-street/	          Person	          Jasper V.	sale	reptiles
7	      looking for new waters hets known	      3 inch plus axolotls looking fir new waters. I will post or you can collect. ask any questions you need to ask. shipping starts at £12. different types cost different amounts	      https://assets.pets4homes.co.uk/image/c0b9c652-0f48-4d69-9909-767975bb343f/image_wm/image.webp	      Pets > Reptiles > Axolotl	20.0	        /classifieds/upuu49dt-looking-for-new-waters-hets-known-colyton/	          Organization	          Peter R.	sale	reptiles
8	      High Red Hypo Trans Genetic Stripe Bearded Dragons	      A choice of 3 stunning baby bearded dragons all eating well on bugs and salad. The prices are as follows/\n\n5. High red Hypotrans leather two small toe nips - £200\n6. Citrus blue bar leather hypo het t	      https://assets.pets4homes.co.uk/image/12e6de97-c421-4469-9d96-38a593a06120/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	150.0	        /classifieds/dgojoyvsw-high-red-hypo-trans-genetic-stripe-bearded-dragons-yeovil/	          Organization	          Fizzifish	sale	reptiles
9	      High Red Hypo Trans Tangerine Baby Bearded Dragons	      I have a choice of 4 lovely baby bearded dragons in this listing. I have many other adverts for baby dragons on here too so just ask if you are after something else..\n\n1. Blue bar tangerine Hypotrans 	      https://assets.pets4homes.co.uk/image/cbbde016-fefa-4b51-81ba-9d690ebfee59/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	125.0	        /classifieds/tau7v9xsm-high-red-hypo-trans-tangerine-baby-bearded-dragons-yeovil/	          Organization	          Fizzifish	sale	reptiles
