	Title	Description	photo_link	category	price	url	seller_type	seller_name	listing_type	pet_type
0	      Male Hognose Snake for stud	"      \""Normal\"" colourings, very tame and handleable. He is such a character aswell. Has produced 2 perfect sheds in his year with me, in perfect health. Strong eater has good feeding instincts but strong aw"	      https://assets.pets4homes.co.uk/image/daf739c0-b0dd-4d3e-a7e7-9584e33685bd/image_wm/image.webp	      Pets > Reptiles > Snake	0.0	        /classifieds/awqqeieep-male-hognose-snake-for-stud-doncaster/	          Person	          Chloe H.	stud	reptiles
1	      Hypo zero Bearded dragon and set up for sale 	      With great regret, we have to sell our hypo zero bearded dragon named Rex, rex is a year old and loves being out of his vivarium. Only selling due to house move and we don’t have the space for his 4ft	      https://assets.pets4homes.co.uk/image/905f0a44-773f-44a7-9371-cc57e5ccd5a6/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	400.0	        /classifieds/d9xr6kxi1-hypo-zero-bearded-dragon-and-set-up-for-sale-selby/	          Person	          Jess L.	sale	reptiles
2	      Bearded dragon 	      Male bearded dragon for sale, complete with full 3ft tank, all decoration, food and all lighting, water bowls etc	      https://assets.pets4homes.co.uk/image/a2d7a4ba-d5ae-48ad-a52e-43305065d9fd/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	150.0	        /classifieds/ynpea3muj-bearded-dragon-pudsey/	          Person	          Jenny  F.	sale	reptiles
3	      Pac man frog 	      Very cute little green pac man frog. Will sell separately for £45 or with set up for £100. Collection only 	      https://assets.pets4homes.co.uk/image/74c92952-b34c-436a-9ded-ad7eb3366189/image_wm/image.webp	      Pets > Reptiles > Frog	45.0	        /classifieds/okywfs6bo-pac-man-frog-huddersfield/	          Person	          Courtney D.	sale	reptiles
4	      Crested gecko	      Looking for a living home. Need proof of set up or can sell with viv for extra £50. She’s friendly and eats insects and Pangea well 	      https://assets.pets4homes.co.uk/image/41d05a7f-31ef-46c3-b5c2-af84676d204e/image_wm/image.webp	      Pets > Reptiles > Gecko	100.0	        /classifieds/h5vzuyffm-crested-gecko-huddersfield/	          Person	          Courtney D.	sale	reptiles
5	      2022 hatchling leopard geckos available 	      We have a small release of 2022 hatchlings from our super hypo carrot tails and our copper trempers (from DC geckos) only. \n\nAll geckos are doing well. Fed on a range of live foods except crickets. \n\n	      https://assets.pets4homes.co.uk/image/4aebab63-39c9-4f0f-bd3e-460b68fdf11b/image_wm/image.webp	      Pets > Reptiles > Gecko	60.0	        /classifieds/a1x00vflw-2022-hatchling-leopard-geckos-available-castleford/	          Organization	          Daniel B.	sale	reptiles
6	      2018 tiger retic female doing everything she shoul	      2018 tiger retic female doing everything she should be looking for £150 also have some others available check my other adds 	      https://assets.pets4homes.co.uk/image/de5767cc-2863-4f09-a6b8-d2e495798c2b/image_wm/image.webp	      Pets > Reptiles > Python Snake	150.0	        /classifieds/bgpz6t2lv-2018-tiger-retic-female-doing-everything-she-shoul-scunthorpe/	          Person	          Macca W.	sale	reptiles
7	      2021 albino super tiger retic doing everything sho	      2021 albino super tiger retic female doing everything she should be no issues with her looking for £150 lovely snake also have a few others available check my adds 	      https://assets.pets4homes.co.uk/image/7a862cb8-a804-4e02-88a4-472db4559199/image_wm/image.webp	      Pets > Reptiles > Python Snake	150.0	        /classifieds/e9gixaaz-2021-albino-super-tiger-retic-doing-everything-sho-scunthorpe/	          Person	          Macca W.	sale	reptiles
8	      2018 albino burm male doing everything he should b	      2018 male albino burm doing everything he should be looking for his forever home no faults with him £150ono	      https://assets.pets4homes.co.uk/image/fc66a065-8cee-407c-8be8-cdcbbbff80ce/image_wm/image.webp	      Pets > Reptiles > Python Snake	150.0	        /classifieds/tbppuoo9f-2018-albino-burm-male-doing-everything-he-should-b-scunthorpe/	          Person	          Macca W.	sale	reptiles
9	      9ft female boa doing everything she should be 	      Good size female boa lovely temperament \nDoing everything she should be Looking for her forever home £80ono	      https://assets.pets4homes.co.uk/image/5909af9f-ef8c-4bba-88a1-f11d08d171d6/image_wm/image.webp	      Pets > Reptiles > Boa Snake	80.0	        /classifieds/bnk0uoimg-9ft-female-boa-doing-everything-she-should-be-scunthorpe/	          Person	          Macca W.	sale	reptiles
10	      hognose snake	      Here we have a beautiful girl hognose snake looking for her new home she eats extra small mice and is very tame and loving we are open to offers and can come with a Viv	      https://assets.pets4homes.co.uk/image/3b08df2f-d2ab-4963-bab3-6f310ce645a2/image_wm/image.webp	      Pets > Reptiles > Snake	0.0	        /classifieds/dhmdnjztd-hognose-snake-goole/	          Person	          Tata C.	sale	reptiles
11	      Skink 	      Skink, vivarium, lights, accessories and some food. Ill health forces sale. Not sure of age as he/she was an adult when I got him/her.	      https://assets.pets4homes.co.uk/image/0a5f2e16-21c2-4dad-9120-123096cf0c2d/image_wm/image.webp	      Pets > Reptiles > Skink	50.0	        /classifieds/nbkcylnqe-skink-sheffield/	          Person	          Sharon F.	sale	reptiles
12	      Yellow-bellied slider	      Yellow-bellied slider turtle with 6ft tank, all accessories, lights and food. Ill health forces sale, as I can no longer clean him out properly.  Needs to go to experienced loving home.	      https://assets.pets4homes.co.uk/image/1e4de8db-4856-42ab-bfd7-94189e12bf82/image_wm/image.webp	      Pets > Reptiles > Turtle	150.0	        /classifieds/i1gezp-qa-yellow-bellied-slider-sheffield/	          Person	          Sharon F.	sale	reptiles
13	      Leopard tortoise 	      Unsure of sex, lovely healthy tortoise very friendly lovely character  just under 2 years old comes with her vivarium,bedding,bowl,food,hides ect wanting a good home only please selling due to moving 	      https://assets.pets4homes.co.uk/image/de044cf6-d02b-4fa3-9088-ba488540e1e4/image_wm/image.webp	      Pets > Reptiles > Tortoise	250.0	        /classifieds/s0iw-zaya-leopard-tortoise-liversedge/	          Person	          Hayley B.	sale	reptiles
14	      breaded dragon	      24 Month old Bearded Dragon looking for a new home , can’t take him to new move because home to small , \n\nVery healthy and eating well , come with all accessories in pictures \n\nLooking £100open to sen	      https://assets.pets4homes.co.uk/image/9dd53f94-5f95-436e-83c6-8cae4850f175/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	100.0	        /classifieds/easuutnyd-breaded-dragon-scunthorpe/	          Person	          Shelley l.	sale	reptiles
15	      Baby Mourning Geckos	      Grown on baby Mourning Geckos for sale.\n\nFeeding well on Reptile Supplies gecko diet, fruit flies, small crickets, buffalo worms and repashy. \n\nPlease note mourning geckos reproduce by parthenogenesis	      https://assets.pets4homes.co.uk/image/efa1360f-c23b-42a2-a7a2-47217be46b12/image_wm/image.webp	      Pets > Reptiles > Gecko	18.0	        /classifieds/01q5eccia-baby-mourning-geckos-chesterfield/	          Organization	          MMA Reptiles 	sale	reptiles
16	      hermann tortoises for sale at urban exotics	      Currently at urban exotics we have baby hermann tortoises for sale. \n\nThese tortoises are individually microchipped with appropriate a10 paperwork. \n\nAll our tortoises are kept under T5 uv lighting, a	      https://assets.pets4homes.co.uk/image/a57ffb33-2c72-49f5-b3aa-d873abc3069d/image_wm/image.webp	      Pets > Reptiles > Hermann Tortoise	150.0	        /classifieds/pkn-vecra-hermann-tortoises-for-sale-at-urban-exotics-nottingham/	          Organization	          Urban exotics	sale	reptiles
17	      baby bearded dragons!!!	      baby dragons ready very soon. lovely colours and already taming down nicely. all raised on high grade equipment. mum is German giant x and dad is a dunner x German giant. Great little characters alrea	      https://assets.pets4homes.co.uk/image/dd38f491-3321-49c8-85fa-66b4c002dd68/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	50.0	        /classifieds/kamhmmvzg-baby-bearded-dragons-scunthorpe/	          Person	          Mathew H.	sale	reptiles
18	      Royal python.	      Heart breaking to see it going. \nSmooky,my lovely python. \nHe loves veaner rats\nLoves to be handling\nI've been have it for more then year. \nSeeling cause of Brexit need to live a country. Comes with l	      https://assets.pets4homes.co.uk/image/bd778018-bfad-40ab-ac6d-fa13c12685b6/image_wm/image.webp	      Pets > Reptiles > Python Snake	200.0	        /classifieds/ep2a8hlln-royal-python-scunthorpe/	          Person	          Arminas Z.	sale	reptiles
19	      musk turtle	      female adult musk turtle for adoption must have own set up. comes when you go up to tank likes company. 	      https://assets.pets4homes.co.uk/image/03fabc0d-7df6-47b7-8ea5-ffe2e6e22f68/image_wm/image.webp	      Pets > Reptiles > Turtle	0.0	        /classifieds/vyklptcgy-musk-turtle-nottingham/	          Person	          Rachel L.	adoption	reptiles
20	      Female Herman tortoise for rehoming	      Hi, I am looking for a new home for my tortoise due to moving house. \nI'm afraid I have no paperwork for her as I was given her.  \nShe lived in a vivarium before I got her,  hence the pyramiding on he	      https://assets.pets4homes.co.uk/image/12d6f849-dea8-4e4f-9529-be7008d4b356/image_wm/image.webp	      Pets > Reptiles > Hermann Tortoise	0.0	        /classifieds/ymejvuprr-female-herman-tortoise-for-rehoming-selby/	          Organization	          Debbie C.	adoption	reptiles
21	      Patagonian conure	      Patrica is a lovely Patagonian conure, she loves being out of her cage and loves nothing more than to share a meal with you, very lovely girl but is aggressive in her cage but once out is absolutely f	      https://assets.pets4homes.co.uk/image/94aa25e0-f490-42af-93d9-88d0e1bf3aba/image_wm/image.webp	      Pets > Birds > Conures	500.0	        /classifieds/ucoy5dxpb-patagonian-conure-mansfield/	          Person	          blake h.	sale	birds
22	      HAND REARED BABY BLUE FRONTED AMAZON TAME  PARROT 	      HAND REARED BABY BLUE FRONTED AMAZON PARROT \n\n12 weeks old very very cuddley tame and talking\n\nreared in family environment\n\nloves to play with kids\n\n\ndoesn't bite at all\n\nI have male and female avail	      https://assets.pets4homes.co.uk/image/0b3347d3-9480-48ed-b409-63e308a77f87/image_wm/image.webp	      Pets > Birds > Parrots	1100.0	        /classifieds/hnbsd3zgo-hand-reared-baby-blue-fronted-amazon-tame-parrot-batley/	          Organization	          Gulamnabi m.	sale	birds
23	      6 parent reared budgies	      5 females, 1 male, aviary bred, living inside now. Eating veg, egg food, seed and millet. Very steady babies. Ready from next week.	      https://assets.pets4homes.co.uk/image/f5988816-425b-4b91-b08c-add5ba7577cb/image_wm/image.webp	      Pets > Birds > Budgerigars	20.0	        /classifieds/ibhjkr7b6-6-parent-reared-budgies-barnsley/	          Organization	          MilosMates Birds	sale	birds
24	      5 Handreared Budgies	      3 males, 2 females. All handreared from 1 week old. The oldest 3 are available now youngest 2 (males)are still being weaned.  Should be good to go from next week. £50 each x	      https://assets.pets4homes.co.uk/image/ba702a6b-147e-48d6-92e0-40980631e58d/image_wm/image.webp	      Pets > Birds > Budgerigars	50.0	        /classifieds/ae8wy5-uh-5-handreared-budgies-barnsley/	          Organization	          MilosMates Birds	sale	birds
25	      beautiful pigeons	      advartising for my dad.  many male and female pigeons for sale most are young ones. rollers and high flys. Pigeons are located in Bradford. Collection only. No time wasters please.	      https://assets.pets4homes.co.uk/image/632bba75-9060-41a0-a741-2590dabf72ef/image_wm/image.webp	      Pets > Birds > Pigeons	10.0	        /classifieds/qhizw-xgs-beautiful-pigeons-bradford/	          Organization	          monika t.	sale	birds
26	      Super tame African grey set 	      Charlie 5 years old boy\nSilly tame step up to anyone\nIn 5 star condition very. Healthy\nSuper talker non stop it's long list of words he says\nFully shinny feathers\nGreat rounds kids and other pets\nCan'	      https://assets.pets4homes.co.uk/image/ce8372e1-9448-46f9-8862-3e09b58e4a6a/image_wm/image.webp	      Pets > Birds > Parrots	1575.0	        /classifieds/vvumuykv-gorgeous-african-grey-boy-leeds/	          Organization	          Nussy	sale	birds
