	Title	Description	photo_link	category	price	url	seller_type	seller_name	listing_type	pet_type
0	      Female bearded dragon and set up	      Lovely and tame female beardie. We were told she was a het zero morph.\n\nSelling her due to lack of time and experience with bearded dragons. We would love her to go to a Good home with someone who can	      https://assets.pets4homes.co.uk/image/5289d031-2b3d-4b3a-bed4-0f3522930929/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	250.0	        /classifieds/ef8dhodhv-female-bearded-dragon-and-set-up-jarrow/	          Person	          Mark W.	sale	reptiles
1	      Blue tongue skink for sale	      Beautiful 11 month old Blue Tongue Skink.\nThis is a lovely Halmahera; eating, shedding and pooping like he should be. \nHe loves to spend time out and about with you, happily investigating the world! \n	      https://assets.pets4homes.co.uk/image/07fe3468-4aac-4772-91c2-87ebe6bb69e4/image_wm/image.webp	      Pets > Reptiles > Lizard	180.0	        /classifieds/pos71iutt-blue-tongue-skink-for-sale-stockton-on-tees/	          Person	          Mark M.	sale	reptiles
2	      Male African Brown House Snake & Enclosure	      This is Worm! He's an African Brown House Snake looking for a new home due to no fault of his own. He's super curious and likes to watch whenever I'm in front of his tank, he can be a little flighty w	      https://assets.pets4homes.co.uk/image/fb598784-8ade-4747-8ce8-62e5d8b4044b/image_wm/image.webp	      Pets > Reptiles > Snake	50.0	        /classifieds/4ql5km5qp-male-african-brown-house-snake-enclosure-houghton-le-spring/	          Person	          Jason M.	sale	reptiles
3	      Panther Chameleon + full setup for sale	      Hi Guys, got a 8 month old panther chameleon for sale + his full tank \n\nHe is very friendly and loves being handled once used to the person, his colours are remarkable when he is happy and in the righ	      https://assets.pets4homes.co.uk/image/45faabb3-45db-4bf4-92ac-e87799f8fd7a/image_wm/image.webp	      Pets > Reptiles > Chameleon	700.0	        /classifieds/ol67iuafw-panther-chameleon-full-setup-for-sale-gateshead/	          Person	          Lewis H.	sale	reptiles
4	      Hypo Lavender Cornsnake and Set Up	      Almost 4ft 2 year old Male, Hypo Lavender Cornsnake. Never struck/coiled, taken every feed and lovely to handle. Currently on one large mouse every 12-14 days. Always shed perfectly and excretes norma	      https://assets.pets4homes.co.uk/image/7a9adb9e-338f-45f5-80f1-33e4eabe2dba/image_wm/image.webp	      Pets > Reptiles > Corn Snake	300.0	        /classifieds/mjhf2yaix-hypo-lavender-cornsnake-and-set-up-newcastle-upon-tyne/	          Person	          Jess J.	sale	reptiles
5	      Hermann Tortoise and enclosure	      Hermanns tortoise and enclosure for sale.  Only selling due to the passing of her owner.  Believed to be around 10 years of age,  has had yearly trips to the vets for her nails and beak trimmed.  	      https://assets.pets4homes.co.uk/image/a927dbf4-a2cc-43fb-94bf-07653800e26c/image_wm/image.webp	      Pets > Reptiles > Hermann Tortoise	250.0	        /classifieds/dpbwqw1fv-hermann-tortoise-and-enclosure-prudhoe/	          Person	          Gemma P.	sale	reptiles
6	      Male Horsfield Tortoise With Setup For Sale	      Unfortunately selling my one year old tortoise due to a change in tenancy and not being allowed pets. \n\nLeonardo is extremely friendly and we are gutted to have to let him go. He loves coming out of h	      https://assets.pets4homes.co.uk/image/e2ee985b-8503-4c62-b274-6a02800a3691/image_wm/image.webp	      Pets > Reptiles > Tortoise	250.0	        /classifieds/2pd0b7szl-male-horsfield-tortoise-with-setup-for-sale-newcastle-upon-tyne/	          Person	          Izzy P.	sale	reptiles
7	      Horse field tortoise 	      Approx 2 years old will come with all the set up  male tortoise I've also got paper work for him payed £580 for him loves his food 	      https://assets.pets4homes.co.uk/image/1b00e789-ec78-4ee7-8d88-aa1e5cd6549b/image_wm/image.webp	      Pets > Reptiles > Tortoise	300.0	        /classifieds/qipe6fu7m-horse-field-tortoise-consett/	          Person	          Kayleigh D.	sale	reptiles
8	      Corn Snake	      We have our 6 year old corn snake who we are looking to re-home. He is about 6ft, slightly less in length. Eats, sleeps, drinks, sheds and poops normally. Very friendly and can be handled. Reason for 	      https://assets.pets4homes.co.uk/image/97b4ba92-130c-41ba-aa15-9ad77e0c887f/image_wm/image.webp	      Pets > Reptiles > Corn Snake	50.0	        /classifieds/3490659-corn-snake-blyth/	          Person	          Michelle R.	sale	reptiles
9	      Female crested gecko	      Female crested gecko, just over a year old, eats well on repashy and locus. Comes with viv and everything inside.	      https://assets.pets4homes.co.uk/image/c4177118-ba47-42c3-ad5a-1f99cbc62c5b/image_wm/image.webp	      Pets > Reptiles > Gecko	220.0	        /classifieds/ki7f67tq-female-crested-gecko-gateshead/	          Organization	          Michelle	sale	reptiles
10	      Male Corn snake with full setup	      hello, this is speedy, my 4 year old male corn snake who loves to be handled and has the nicest temperament ever. he’s good with kids and other pets. never bit me once. if interested my number is 0796	      https://assets.pets4homes.co.uk/image/dca665cb-04f5-4752-b64c-eed701a7cd99/image_wm/image.webp	      Pets > Reptiles > Corn Snake	50.0	        /classifieds/56w-fayea-male-corn-snake-with-full-setup-blyth/	          Person	          Leon P.	sale	reptiles
11	      RED FOOTED TORTOISE FOR SALE 	      Red footed tortoise for sale 14 months old had him since 8 weeks old come as a full set including 4ft viv bowls food pellet heat bulb thermostat uv light bulb for daytime lighting everything you need 	      https://assets.pets4homes.co.uk/image/6dad6c74-df76-4c0a-a5bd-9a1619aa5f80/image_wm/image.webp	      Pets > Reptiles > Tortoise	350.0	        /classifieds/ghl-rfcj-red-footed-tortoise-for-sale-consett/	          Person	          K P.	sale	reptiles
12	      Female tortoise for sale 	      6 year old Female Russia tortoise for sale no setup £65 to good loving home pick up only only selling with work and no time for her 	      https://assets.pets4homes.co.uk/image/69fe0d73-a1da-4433-a874-3f62769ac4e8/image_wm/image.webp	      Pets > Reptiles > Tortoise	65.0	        /classifieds/fkd8egezt-female-tortoise-for-sale-sunderland/	          Person	          Kieran A.	sale	reptiles
13	      corn snake hatchlings	      corn snake hatchlings.\nHatched on 13/5/22 will update ad when they are ready. this will ve after 4 feeds.\na deposit if £10 will secure your hatchling if choice. \nAmel Stripe £50\nAmel £40\n\nA starter se	      https://assets.pets4homes.co.uk/image/18b245a5-f7f7-4e9c-9b83-106a18354c10/image_wm/image.webp	      Pets > Reptiles > Corn Snake	40.0	        /classifieds/z2dbngjsk-corn-snake-hatchlings-whitley-bay/	          Organization	          Sherylworthy	sale	reptiles
