	Title	Description	photo_link	category	price	url	seller_type	seller_name	listing_type	pet_type
0	      Poison Dart Frog - Dendrobates tinctorius azureus.	      Dendrobates tinctorius 'azureus'.\nA great beginner frog with bright blue colouration, bold, a quiet call and can be kept in groups when young. They require a temperature in the range of 19 -  26°C, Te	      https://assets.pets4homes.co.uk/image/e3fc0024-c00d-4f58-80cf-82df779c59ec/image_wm/image.webp	      Pets > Reptiles > Frog	40	        /classifieds/ltnn9ofix-poison-dart-frog-dendrobates-tinctorius-azureus-perth/	          Person	          Kev T.	sale	reptiles
1	      Leopard Gecko	      Supersnow Tremper Albino Leopard gecko and set up. \n\nShe is approximately 4 years old now.\n\nComes with glass tank (was fish tank and is water tight if you ever decide to use the tank for something els	      https://assets.pets4homes.co.uk/image/ee02813d-418f-4063-9764-70127ac132a9/image_wm/image.webp	      Pets > Reptiles > Gecko	140	        /classifieds/hviaiyszm-leopard-gecko-glenrothes/	          Person	          Ellie S.	sale	reptiles
2	      Royal ball pythons with everything 	      Looking to sell our ball pythons with everything that they need.\n4.5 year old female with 4ft viv and accessories-£200\n1.5 year old male with 3ft and accessories-£130\nBoth eat and shed as they should	      https://assets.pets4homes.co.uk/image/44eea829-e4eb-464b-bc1f-ff5fe7828c68/image_wm/image.webp	      Pets > Reptiles > Python Snake	130	        /classifieds/xpuoar0tg-royal-ball-pythons-with-everything-glenrothes/	          Person	          John and linzi S.	sale	reptiles
3	      young axolotl	      I have quite a few young ￼leucistic axolotl for sale! all raised and cared for since eggs. They are now 12 weeks old and around 8cm in length. They are eating chopped dendrobeana worms along with froz	      https://assets.pets4homes.co.uk/image/a92b4a0b-82bc-4b2b-9f23-beb9abf210be/image_wm/image.webp	      Pets > Reptiles > Axolotl	30	        /classifieds/uekuj2v-g-young-axolotl-dundee/	          Person	          Lauren G.	sale	reptiles
4	      Bonded pair	      2 macaws\n\n1 x 5yr old male, 1 X 6 Yr old female.\n\nBoth speak some words like hello and goodbye. \n\nVery well behaved,  female more confident and happy to sit on arm, male will play and be stroked but l	      https://assets.pets4homes.co.uk/image/013c3a52-70e9-4c35-b1a2-6c331aa87dab/image_wm/image.webp	      Pets > Birds > Macaws	2800	        /classifieds/ovwiz5zzp-bonded-pair-blairgowrie/	          Person	          Alicks R.	sale	birds
5	      Male Alexandrine Parrot £350 ono	      Alexandrine male parrot and 2 cages for sale. The one in the pictures, opens at the top, and a larger one, Around 15 months just getting his colours.. Untame so probably someone experienced.. Selling 	      https://assets.pets4homes.co.uk/image/09335781-efde-4a6f-85b7-1469e49de325/image_wm/image.webp	      Pets > Birds > Parrots	350	        /classifieds/bgxgbloan-male-alexandrine-parrot-350-ono-glenrothes/	          Person	          Mo P.	sale	birds
6	      Rare- Lilac Point Mitted Ragdoll - GCCF registered	      Not for sale - only for stud\nChampionship\nLilac Point Mitted Ragdoll Boy\nGCCF registered - 5 generation of pedigree\n\nThe queen will stay with me for four/five days, if the mating is unsuccessful then 	      https://assets.pets4homes.co.uk/image/b927d03b-69ef-4d6e-b195-c07ddfe0ba88/image_wm/image.webp	      Pets > Cats > Ragdoll	500	        /classifieds/3fc36mea9-lilac-point-mitted-ragdoll-perth/	          Person	          Brygida M.	stud	cats
7	      GCCF show winning Ragdoll Studs	      Seal & white bi colour stud boy very handsome lad !  Also a seal point stud boy available ( see video ) so choice of 2 stud cats with us. \nBoth GCCF registered Active \nShow winning family with the Sea	      https://assets.pets4homes.co.uk/image/36a3aa89-2836-44d2-bb5e-dda0a2903983/image_wm/image.webp	      Pets > Cats > Ragdoll	295	        /classifieds/2629251-gccf-show-winning-ragdoll-studs-cowdenbeath/	          Organization	          David A.	stud	cats
8	      Blue point ragdoll for stud duties GCCF 🐈💙	      Tedi is a beautiful blue point, with a lovely caring personality towards his queens & kittens🐈 He grooms his young, cuddles and plays with them :)😻\n\nHe is a chocolate carrier, he can produce lilacs 	      https://assets.pets4homes.co.uk/image/1d83e4cf-0204-4521-a25b-d8ab567c6ce5/image_wm/image.webp	      Pets > Cats > Ragdoll	170	        /classifieds/ryd-l-lqw-gccf-blue-ragdoll-for-stud-forfar/	          Organization	          ClawsomeDollz	stud	cats
9	      Blue point ragdoll for stud 	      Tedi is a beauitful blue point, with an extremely gentle and caring personality🤩😍\n\nHe is a chocolate carrier, he can produce lilacs if your queen has the gene too :) his parents are blue point & mit	      https://assets.pets4homes.co.uk/image/fa252100-38f8-4421-b459-39effc0bda78/image_wm/image.webp	      Pets > Cats > Ragdoll	170	        /classifieds/mxgspjqtw-blue-point-ragdoll-for-stud-forfar/	          Organization	          ClawsomeDollz	stud	cats
10	      Ragdoll kittens	      We are looking for forever home for this 3 beautiful ragdoll kittens.Two boys(darker) and one girl. Mum is a blue point Ragdoll and father is a red point European Ragdoll. \nThe Ragdoll is described as	      https://assets.pets4homes.co.uk/image/cc2403b7-d7e4-4310-bbf4-4f4a47424707/image_wm/image.webp	      Pets > Cats > Ragdoll	700	        /classifieds/9kgxmxkpx-ragdoll-kittens-dundee/	          Person	          Klaudia O.	sale	cats
11	      F4 SAVANNAH TICA REGISTERED	      We are proud to announce for sale one female savannah kittens. Our kittens are from Kingdom kats Ava. They are raised in our home with love. All of our kittens leave us fully vaccinated, microchipped,	      https://assets.pets4homes.co.uk/image/8eab2596-ff50-4662-beeb-359ea08ce97b/image_wm/image.webp	      Pets > Cats > Savannah	1200	        /classifieds/an8u6da3q-f4-savannah-tica-registered-kirkcaldy/	          Organization	          Kingdom Kats	sale	cats
12	      Blue point choc carriers	      Hello,\n\n3 beautiful Blue point kittens are looking for their forever home.\n2 boys: \nGray collar\nGreen collar\n\n1girl - white collar\n\nAll three kittens carries chocolate gene.\nBoth parents can be seen -	      https://assets.pets4homes.co.uk/image/a14312f8-24b9-4d1c-a2b5-d163636a9c10/image_wm/image.webp	      Pets > Cats > Ragdoll	985	        /classifieds/31spzgorn-blue-point-choc-carriers-dundee/	          Organization	          Brigita A.	sale	cats
13	      Kittens 	      2 beautiful and healthy kittens\nthey eat themselves and use the litter box the white female is the male 	      https://assets.pets4homes.co.uk/image/f7dc65b5-8a3d-48d7-b1d9-d9631792a700/image_wm/image.webp	      Pets > Cats > Asian	200	        /classifieds/1mdhor-g-kittens-kirkcaldy/	          Organization	          Kamil	sale	cats
14	      Ragdoll kittens 	      Stunning Ragdoll kittens, mum is a tortie lynx, dad is a lilac point both are our family pets.\n\nLilac lynx girl \nTortie girl\nFlame red boy ( may be lynx difficult to see at the moment)\nLilac point boy	      https://assets.pets4homes.co.uk/image/304b1400-2834-4264-9e6f-bbc4edbf6a60/image_wm/image.webp	      Pets > Cats > Ragdoll	500	        /classifieds/j0jdowr0n-ragdoll-kittens-blairgowrie/	          Person	          Johanna  F.	sale	cats
15	      5 Gorgeous Kittens	      5 lovely mixed kittens for sale. All girls accept the wee black one which is male. All very friendly and lively! They're eating wet and dry foods and are litter trained, they have also had thier worm 	      https://assets.pets4homes.co.uk/image/d1350b91-4187-4c02-aa37-da8284e952ed/image_wm/image.webp	      Pets > Cats > Mixed Breed	350	        /classifieds/knby1v3dc-5-gorgeous-kittens-glenrothes/	          Organization	          Kirri D	sale	cats
16	      Long hair kittens ready for forever homes.	      I have 5 (3 Girls, 2 Boys) long haired kittens from a very small mum. The kittens are cute and playful. They have been raised in a house with young children and a puppy, so perfect family pet. \n\nThey 	      https://assets.pets4homes.co.uk/image/c1cd6aa6-d3f8-4ca7-b12b-fd447f3381c9/image_wm/image.webp	      Pets > Cats > Mixed Breed	150	        /classifieds/mkccvebtu-lovely-long-haired-kittens-kirkcaldy/	          Person	          Ryan M.	sale	cats
17	      3 Ragdoll Kittens *READY TO GO NOW*	      We have 3 beautiful and healthy pure Ragdoll kittens left for sale. There are 1 boy 2 girls that are looking for caring and loving families and forever homes. Our boy and girls are playful, cute and c	      https://assets.pets4homes.co.uk/image/7d8f601b-3cd5-49d5-8af9-ed3ba036c054/image_wm/image.webp	      Pets > Cats > Ragdoll	550	        /classifieds/fbeqyae1w-3-ragdoll-kittens-ready-to-go-now-kirkcaldy/	          Organization	          Rainbow Ragdolls	sale	cats
18	      Loving kittens for new homes 	      We have a litter of 3 kittens available, 2 black fluffy(male and female) 1 black and white (female) \n\nAll kittens are eating both wet and dry food and drinking well. All litter trained and doing amazi	      https://assets.pets4homes.co.uk/image/ec6b1ec5-f899-4e02-80a0-5c1e8f34bef4/image_wm/image.webp	      Pets > Cats > Mixed Breed	100	        /classifieds/gu4cyeakk-stunning-little-kittens-lochgelly/	          Person	          julie ann b.	sale	cats
19	      Ragdoll kittens 	      Im proud to announce my beautiful chocolate minx ragdoll has had a litter of 4 beautiful boys. They're mother is a chocolate minx and the father is my chocolate point boy. \nThese kittens are very well	      https://assets.pets4homes.co.uk/image/cae7088f-a13f-470a-872c-3aea0709af6a/image_wm/image.webp	      Pets > Cats > Ragdoll	650	        /classifieds/807mzwxey-ragdoll-kittens-dundee/	          Organization	          Charli B.	sale	cats
20	      our Sweetheart Bellamie CinnamonDragons	      Pedigree kitten breed Mekong Bobtail, experimental TICA registered. The Mekong Bobtail’s fur in 88% of cases does not cause allergy problems, their skin is particularly thick and this feature makes th	      https://assets.pets4homes.co.uk/image/3e950b97-a48a-4de5-8b55-6ce815e0a029/image_wm/image.webp	      Pets > Cats > Siamese	900	        /classifieds/gj1dfdigl-our-sweetheart-bellamie-cinnamondragons-dundee/	          Organization	          Lalage F.	sale	cats
21	      Ciprian CinnamonDragons the last one of his litter	      Pedigree kittens, breed Mekong Bobtail, experimental TICA registered. The Mekong Bobtail’s fur in 88% of cases does not cause allergy problems, their skin is particularly thick and this feature makes 	      https://assets.pets4homes.co.uk/image/23a891d5-7715-4ddc-ba4c-0c72ed734d4e/image_wm/image.webp	      Pets > Cats > Siamese	900	        /classifieds/qcjvsjh1i-ciprian-cinnamondragons-the-last-one-of-his-litter-dundee/	          Organization	          Lalage F.	sale	cats
22	      Kittens 	      2 beautiful and healthy kittens\nthey eat themselves and use the litter box the white female is the male 	      https://assets.pets4homes.co.uk/image/b99bb04a-681b-49e0-9dd1-ddf689fcc07f/image_wm/image.webp	      Pets > Cats > British Shorthair	250	        /classifieds/ppgxyklgc-kittens-kirkcaldy/	          Organization	          Kamil	sale	cats
23	      Female kitten 	      For sale 9 week old female kitten selling due to my other cat not getting on with her she is so lovely and deserves 5 🌟 home up to date with flea and worm treatment comes with food and litter tray to	      https://assets.pets4homes.co.uk/image/e7b68e1f-91da-4d44-aec3-efea87cb7bd7/image_wm/image.webp	      Pets > Cats > Mixed Breed	350	        /classifieds/da1hnwb27-female-kitten-dundee/	          Person	          Belle J.	sale	cats
24	      cross with bengal	      7 kittens 2 male 5 female used to other cats and dogs 2 tabby and white 3 black 1 tuxedo and one grey	      https://assets.pets4homes.co.uk/image/6dbd456d-38fb-49fc-a6e5-06985c132501/image_wm/image.webp	      Pets > Cats > Burmese	225	        /classifieds/vd-exwy6c-cross-with-bengal-kirkcaldy/	          Person	          Lynda L.	sale	cats
