	Title	Description	photo_link	category	price	url	seller_type	seller_name	listing_type	pet_type
0	      Leopard Gecko	      Supersnow Tremper Albino Leopard gecko and set up. \n\nShe is approximately 4 years old now.\n\nComes with glass tank (was fish tank and is water tight if you ever decide to use the tank for something els	      https://assets.pets4homes.co.uk/image/ee02813d-418f-4063-9764-70127ac132a9/image_wm/image.webp	      Pets > Reptiles > Gecko	140	        /classifieds/hviaiyszm-leopard-gecko-glenrothes/	          Person	          Ellie S.	sale	reptiles
1	      Male bearded dragon 	      Male bearded dragon for sale, almost 2 years old, very well handled, comes with full set up and 6tt vivarium 	      https://assets.pets4homes.co.uk/image/401ab805-64a4-4729-a536-0d94eb7515ea/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	150	        /classifieds/knc8-xryc-male-bearded-dragon-falkirk/	          Person	          Nicole J.	sale	reptiles
2	      Corn snake and Kenyan sand boa	      I’m looking to give my snakes a new home. I don’t have time for them anymore and sadly I’ve grown to scared to hold them as they’ve went a while without being handled \n\nKenyan sand boa- we think he’s 	      https://assets.pets4homes.co.uk/image/0bc67286-028b-464c-9d47-1124fcef1be0/image_wm/image.webp	      Pets > Reptiles > Corn Snake	200	        /classifieds/en1l54iwc-corn-snake-and-kenyan-sand-boa-tillicoultry/	          Person	          Abbie F.	sale	reptiles
3	      Burmese Python 	      2 year old Burm Python for sale.\n\nGreat natured wee guy. Never bitten or striked or even hissed.\n\nSmashing large weaner rats \n\nSold to me as male.\n\nAnyone interested should send me a picture of their 	      https://assets.pets4homes.co.uk/image/547883c9-5d46-4f28-b85e-052078828e2d/image_wm/image.webp	      Pets > Reptiles > Python Snake	70	        /classifieds/2tmo-wwli-burmese-python-carluke/	          Person	          Craig S.	sale	reptiles
4	      Axolotl	      Mosaic axolotl \n\nEats worms fine able to be on sand. \n\nVery rare animal serious enquirers only. Couriers welcome. 	      https://assets.pets4homes.co.uk/image/5372f3bd-c37c-4a3d-b59f-b195da913ec4/image_wm/image.webp	      Pets > Reptiles > Axolotl	700	        /classifieds/95l1xu96t-axolotl-edinburgh/	          Person	          L R.	sale	reptiles
5	      Cinammon Mystic Ball Python and Set Up	      3 year old Female Cinammon Mystic Ball Python for sale through no fault of her own. Beautiful Female with a sweet personality and full set up included. Vivarium Heat May 2 Hides Water Bowl Tongs Therm	      https://assets.pets4homes.co.uk/image/52fa467d-3a1f-47f3-8396-49674e988a0d/image_wm/image.webp	      Pets > Reptiles > Python Snake	300	        /classifieds/knu0oiqu4-cinammon-mystic-ball-python-and-set-up-bonnybridge/	          Person	          Ciara M.	sale	reptiles
6	      Royal pythons for sale	      Selling the last of my royals, they're all eating and shedding etc fine. All on large weaners, desert spider on small weaners. \n\nMales:\nRed axanthic £80\nDesert spider £100\nVanilla cream £130\n\nFemales:	      https://assets.pets4homes.co.uk/image/a8acafbf-ad71-425f-8692-68ffb99dcdd4/image_wm/image.webp	      Pets > Reptiles > Python Snake	50	        /classifieds/dxyre1-ld-royal-pythons-for-sale-falkirk/	          Person	          Lisa P.	sale	reptiles
7	      Adult axolotls male and female. 	      Albino Mel Male \nDirty Lucy Male\n\nFemales. \n\n\nDirty Lucy \n\n\n\nPlease message for photos etc! \n\nThey can go on an over night adventure at additional cost. \n\n£65 each.  	      https://assets.pets4homes.co.uk/image/80328db0-ea30-4fad-97d7-d6fbb7731612/image_wm/image.webp	      Pets > Reptiles > Axolotl	65	        /classifieds/ah-2wre2r-adult-axolotls-male-and-female-grangemouth/	          Person	          L R.	sale	reptiles
8	      Burmese Python 	      1 year old Burmese Python for sale.\n\nGreat natured wee guy. Never bitten or striked or even hissed.\n\nSmashing large weaner rats \n\nSold to me as male.\n\nAnyone interested should send me a picture of the	      https://assets.pets4homes.co.uk/image/22852428-b16f-4a9c-9714-b0126eca5d95/image_wm/image.webp	      Pets > Reptiles > Snake	70	        /classifieds/njtbpzjwv-burmese-python-carluke/	          Person	          Craig S.	sale	reptiles
9	      Male wild type axolotl	      14 month old male axolotl for sale. \n\nBuyer must show set up of cycled tank or be willing to tub axolotl until tank is ready and understand this process. \n\nPlease research before considering these ani	      https://assets.pets4homes.co.uk/image/02f20579-66ab-4af6-8d9c-bce24a556e50/image_wm/image.webp	      Pets > Reptiles > Axolotl	20	        /classifieds/okbf-edjt-male-wild-type-axolotl-carluke/	          Person	          Lynn C.	sale	reptiles
10	      Female normal western hognose snake	      Female normal 100% het axanthic 66% caramel 50% albino born august 2020. She currently weighs 104g. Feeding on small mice she is a very active and aggressive feeder. Not the best for handling as she m	      https://assets.pets4homes.co.uk/image/1eada640-86b3-4757-b16c-0fe12510a0f0/image_wm/image.webp	      Pets > Reptiles > Snake	50	        /classifieds/qp-viwihb-female-normal-western-hognose-snake-edinburgh/	          Person	          Andrew S.	sale	reptiles
11	      Royal ball pythons with everything 	      Looking to sell our ball pythons with everything that they need.\n4.5 year old female with 4ft viv and accessories-£200\n1.5 year old male with 3ft and accessories-£130\nBoth eat and shed as they should	      https://assets.pets4homes.co.uk/image/44eea829-e4eb-464b-bc1f-ff5fe7828c68/image_wm/image.webp	      Pets > Reptiles > Python Snake	130	        /classifieds/xpuoar0tg-royal-ball-pythons-with-everything-glenrothes/	          Person	          John and linzi S.	sale	reptiles
12	      Yellow belly turtles 	      3 yellow belly turtles looking for a new home. I have had 2 big ones for 6years and small one for 8. Can no longer look after them due to health reasons. But will need a new tank as one got a crack in	      https://assets.pets4homes.co.uk/image/40b29393-80cc-4e0b-bf8b-00eadc2558ea/image_wm/image.webp	      Pets > Reptiles > Turtle	0	        /classifieds/vcnzhifkj-yellow-belly-turtles-alloa/	          Person	          Gayle R.	adoption	reptiles
13	      Male Alexandrine Parrot £350 ono	      Alexandrine male parrot and 2 cages for sale. The one in the pictures, opens at the top, and a larger one, Around 15 months just getting his colours.. Untame so probably someone experienced.. Selling 	      https://assets.pets4homes.co.uk/image/09335781-efde-4a6f-85b7-1469e49de325/image_wm/image.webp	      Pets > Birds > Parrots	350	        /classifieds/bgxgbloan-male-alexandrine-parrot-350-ono-glenrothes/	          Person	          Mo P.	sale	birds
14	      Indian ringnecks (white mutated)	      Proven pair of Indian ring neck parrots (white mutated) are a rare pair of birds.\n\nBirds around 4 years of age I believe, very healthy active pair. \n\nI have had for a roughly two years as you can see 	      https://assets.pets4homes.co.uk/image/81032955-1fbe-41e3-a0b3-9639a2bbd1de/image_wm/image.webp	      Pets > Birds > Ringnecks	500	        /classifieds/8dagwk79w-indian-ringnecks-white-mutated-dalkeith/	          Person	          Drew B.	sale	birds
15	      Blue fronted amazon 	      Beautiful blue fronted amazon for sale. We don't know the sex but we refer to the parrot as a he.  He's just under a year old and hand tame. He's very inquisitive and loves to interact.  He's used to 	      https://assets.pets4homes.co.uk/image/b6ee2a33-c133-4fc7-88f6-10b141cb11aa/image_wm/image.webp	      Pets > Birds > Parrots	900	        /classifieds/rlpkio0fe-blue-fronted-amazon-broxburn/	          Organization	          Alana T.	sale	birds
16	      Blue fronted amazon 	      Beautiful blue fronted amazon for sale. We don't know the sex but we refer to the parrot as a he.  He's just under a year old and hand tame. He's very inquisitive and loves to interact.  He's used to 	      https://assets.pets4homes.co.uk/image/d00b81b4-5bcb-4722-bfac-9a524155893e/image_wm/image.webp	      Pets > Birds > Parrots	900	        /classifieds/xxkm-rguk-blur-fronted-amazon-broxburn/	          Organization	          Alana T.	sale	birds
