	Title	Description	photo_link	category	price	url	seller_type	seller_name	listing_type	pet_type
0	      Carrot-tail morph Leopard Gecko for Stud	      Rango is my Super Hypo Tangerine Carrot-Tail Leopard Gecko who is currently up for stud. The Carrot Tail morph is highly sought after and would love for him to be able to sire some offspring of his ow	      https://assets.pets4homes.co.uk/image/3f6a3020-cd03-475e-a5bb-f3ebeb9c4075/image_wm/image.webp	      Pets > Reptiles > Leopard Gecko	20.0	        /classifieds/3163098-carrot-tail-morph-leopard-gecko-for-stud-taunton/	          Organization	          Morgan	stud	reptiles
1	      Royal python	      Royal python need to rehome urgently as from a previous relationship he's a good feeder takes a small weaner rat however the reptile said he could go up in size however I never got round to it 	      https://assets.pets4homes.co.uk/image/71be59ef-4838-46e5-bcac-d28094556635/image_wm/image.webp	      Pets > Reptiles > Python Snake	50.0	        /classifieds/vq-tuby8m-royal-python-exeter/	          Person	          Rebecca H.	sale	reptiles
2	      Blue tongued skink	      This is Stan. He is a Indonesian blue tongued skink. He used to be an educational animal but I took him on once the school he was in didn’t want him anymore. \nStan loves to eat mealworms and loves bei	      https://assets.pets4homes.co.uk/image/79a5ecad-9f2d-4c3f-8996-63e263451a70/image_wm/image.webp	      Pets > Reptiles > Lizard	150.0	        /classifieds/jv-hcmxqb-blue-tongued-skink-torquay/	          Person	          Faye B.	sale	reptiles
3	      Large Sulcatta tortoise	      We have our boy Tony for sale. He is a sweet natured boy that weighs about 20-25kg. I have size referenced him next to my feet and 17 month old daughter. \nWe are selling him due to having to moving ho	      https://assets.pets4homes.co.uk/image/9eed3791-0254-49cb-a69e-29bb3a2a1e0d/image_wm/image.webp	      Pets > Reptiles > Tortoise	1000.0	        /classifieds/5ebuvtxoy-large-sulcatta-tortoise-exeter/	          Organization	          Westie	sale	reptiles
4	      royal pythons	      various royal pythons for sale \nbutter cinnamon female £160\norange dream spinner male £200\nspinner female £200\nbanana female £130\nbanana male £100\npied female £300\npinstripe enchi female £130\nlesser p	      https://assets.pets4homes.co.uk/image/dd249614-c78e-462a-93f6-740b6dda5aad/image_wm/image.webp	      Pets > Reptiles > Python Snake	200.0	        /classifieds/yohxwt5lg-royal-pythons-south-molton/	          Organization	          Jakes royals	sale	reptiles
5	      horsefield tortoise	      Koopa is almost 2 years old , he's a horsefield tort purchased from the tortoise shop.com . he will come with table and heat lamp and any bedding we have .he.s healthy ...we call him HE but actually h	      https://assets.pets4homes.co.uk/image/41170f76-bd5a-4e79-b22e-e311337b2947/image_wm/image.webp	      Pets > Reptiles > Tortoise	150.0	        /classifieds/rbzsfmih-horsefield-tortoise-brixham/	          Person	          Emma L.	sale	reptiles
6	      looking for new waters hets known	      3 inch plus axolotls looking fir new waters. I will post or you can collect. ask any questions you need to ask. shipping starts at £12. different types cost different amounts	      https://assets.pets4homes.co.uk/image/c0b9c652-0f48-4d69-9909-767975bb343f/image_wm/image.webp	      Pets > Reptiles > Axolotl	20.0	        /classifieds/upuu49dt-looking-for-new-waters-hets-known-colyton/	          Organization	          Peter R.	sale	reptiles
7	      Indian Star Tortoise	      Bought by a English breeder in mid to late 2016.  Initially we first thought he Maisy was a female but as the tortoise has grown we believe she is a he, he is micro-chipped and and can give number on 	      https://assets.pets4homes.co.uk/image/4339523d-9aa3-4133-9e68-da19ed96a155/image_wm/image.webp	      Pets > Reptiles > Tortoise	320.0	        /classifieds/56qrlousy-indian-star-tortoise-ivybridge/	          Person	          Andrew T.	sale	reptiles
8	      x6 Herman tortoise and full set up	      we have our pet tortoises x6 mixed sex she range from 3yrs-12yrs old full set up would like to sell all together ideally happy to provide more pictures snd videos also happy for viewings to serious bu	      https://assets.pets4homes.co.uk/image/34c5baf4-cd5d-416e-939b-b0774a729984/image_wm/image.webp	      Pets > Reptiles > Tortoise	1000.0	        /classifieds/aorlcj-ma-x5-herman-tortoise-and-full-set-up-taunton/	          Person	          Della J.	sale	reptiles
9	      leopard geko	      we have a leopard geko for sale, we are unsure of the sex comes with viv and all the accessories to go with it. reason for sale we are moving.￼ open to offers 	      https://assets.pets4homes.co.uk/image/2eb30fc0-a127-4e6b-849b-d9ca86773943/image_wm/image.webp	      Pets > Reptiles > Leopard Gecko	200.0	        /classifieds/4ewh40yev-leopard-geko-tiverton/	          Person	          Chantelle P.	sale	reptiles
