	Title	Description	photo_link	category	price	url	seller_type	seller_name	listing_type	pet_type
0	      Exo Terra full planted bioactive vivarium 	      4 green anole \n2 barking anole \nPlanted vivarium \nOver £30 if cork bark\nExo terra Canopy \nLight bulbs \nExo terra monsoon sprayer\nHeat mat \n\nExo terra is 45x45x60cm\n\nCan deliver if local at additional 	      https://assets.pets4homes.co.uk/image/4b4650fb-82c6-4dd6-af27-5e0a4baeed4f/image_wm/image.webp	      Pets > Reptiles > Anole	150	        /classifieds/ufcxlzqnl-exo-terra-full-planted-bioactive-vivarium-hamilton/	          Organization	          Brian C.	sale	reptiles
1	      Male bearded dragon 	      Male bearded dragon for sale, almost 2 years old, very well handled, comes with full set up and 6tt vivarium 	      https://assets.pets4homes.co.uk/image/401ab805-64a4-4729-a536-0d94eb7515ea/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	150	        /classifieds/knc8-xryc-male-bearded-dragon-falkirk/	          Person	          Nicole J.	sale	reptiles
2	      Corn snake and Kenyan sand boa	      I’m looking to give my snakes a new home. I don’t have time for them anymore and sadly I’ve grown to scared to hold them as they’ve went a while without being handled \n\nKenyan sand boa- we think he’s 	      https://assets.pets4homes.co.uk/image/0bc67286-028b-464c-9d47-1124fcef1be0/image_wm/image.webp	      Pets > Reptiles > Corn Snake	200	        /classifieds/en1l54iwc-corn-snake-and-kenyan-sand-boa-tillicoultry/	          Person	          Abbie F.	sale	reptiles
3	      Burmese Python 	      2 year old Burm Python for sale.\n\nGreat natured wee guy. Never bitten or striked or even hissed.\n\nSmashing large weaner rats \n\nSold to me as male.\n\nAnyone interested should send me a picture of their 	      https://assets.pets4homes.co.uk/image/547883c9-5d46-4f28-b85e-052078828e2d/image_wm/image.webp	      Pets > Reptiles > Python Snake	70	        /classifieds/2tmo-wwli-burmese-python-carluke/	          Person	          Craig S.	sale	reptiles
4	      Cinammon Mystic Ball Python and Set Up	      3 year old Female Cinammon Mystic Ball Python for sale through no fault of her own. Beautiful Female with a sweet personality and full set up included. Vivarium Heat May 2 Hides Water Bowl Tongs Therm	      https://assets.pets4homes.co.uk/image/52fa467d-3a1f-47f3-8396-49674e988a0d/image_wm/image.webp	      Pets > Reptiles > Python Snake	300	        /classifieds/knu0oiqu4-cinammon-mystic-ball-python-and-set-up-bonnybridge/	          Person	          Ciara M.	sale	reptiles
5	      Lucy axolotl 	      Juvenile Lucy axolotl looking for new home! 5 inches fully weaned on to dendros and sand ready! \n\nHet for golden \n\nCan be posted. 	      https://assets.pets4homes.co.uk/image/f256a70a-c92d-42df-9a87-9fd58683b32d/image_wm/image.webp	      Pets > Reptiles > Axolotl	25	        /classifieds/n5cswreeo-lucy-axolotl-stirling/	          Person	          Megan Q.	sale	reptiles
6	      2 leopard geckos and 3ft viv for sale	      it's with a heavy heart that I must put up my leopard geckos for sale. one is male the other is female absolutely great wee things having to sell due to just not having the time to see to them. they l	      https://assets.pets4homes.co.uk/image/0d822e65-8a29-4d22-9e29-f00fef2126de/image_wm/image.webp	      Pets > Reptiles > Leopard Gecko	150	        /classifieds/uusaxncha-2-leopard-geckos-and-3ft-viv-for-sale-largs/	          Organization	          Gemma	sale	reptiles
7	      Royal pythons for sale	      Selling the last of my royals, they're all eating and shedding etc fine. All on large weaners, desert spider on small weaners. \n\nMales:\nRed axanthic £80\nDesert spider £100\nVanilla cream £130\n\nFemales:	      https://assets.pets4homes.co.uk/image/a8acafbf-ad71-425f-8692-68ffb99dcdd4/image_wm/image.webp	      Pets > Reptiles > Python Snake	50	        /classifieds/dxyre1-ld-royal-pythons-for-sale-falkirk/	          Person	          Lisa P.	sale	reptiles
8	      Adult axolotls male and female. 	      Albino Mel Male \nDirty Lucy Male\n\nFemales. \n\n\nDirty Lucy \n\n\n\nPlease message for photos etc! \n\nThey can go on an over night adventure at additional cost. \n\n£65 each.  	      https://assets.pets4homes.co.uk/image/80328db0-ea30-4fad-97d7-d6fbb7731612/image_wm/image.webp	      Pets > Reptiles > Axolotl	65	        /classifieds/ah-2wre2r-adult-axolotls-male-and-female-grangemouth/	          Person	          L R.	sale	reptiles
9	      crested gecko	      baby crested gecko about 10 months old eating repashy, comes with set up for an extra £60 glass exo terra with decor. pick up or can arrange a courier with a deposit.	      https://assets.pets4homes.co.uk/image/82fca60e-41bd-4645-bfb3-66b1fade8e63/image_wm/image.webp	      Pets > Reptiles > Gecko	60	        /classifieds/7mv0vj1f2-crested-gecko-alexandria/	          Organization	          nicole h.	sale	reptiles
10	      Burmese Python 	      1 year old Burmese Python for sale.\n\nGreat natured wee guy. Never bitten or striked or even hissed.\n\nSmashing large weaner rats \n\nSold to me as male.\n\nAnyone interested should send me a picture of the	      https://assets.pets4homes.co.uk/image/22852428-b16f-4a9c-9714-b0126eca5d95/image_wm/image.webp	      Pets > Reptiles > Snake	70	        /classifieds/njtbpzjwv-burmese-python-carluke/	          Person	          Craig S.	sale	reptiles
