	Title	Description	photo_link	category	price	url	seller_type	seller_name	listing_type	pet_type
0	      Geo	      Our family has made the difficult decision to rehome our bearded dragon, Geo. We just don’t have the time to commit to him & would love for him to go to home where someone has the time to interact wit	      https://assets.pets4homes.co.uk/image/008d4304-d31f-4a57-9721-5f14d33ca9f1/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	120.0	        /classifieds/7qmbfb7yj-geo-littlehampton/	          Person	          Sarah W.	sale	reptiles
1	      Snakes for sale 	      Need gone asap message me on here or text me please don’t phone as I work a lot \n\nRoyal pythons :\nmale normal 11months £40\nmale Proven het albino pied £100\nbumblebee £90\nMale ghost het clown £130\nFema	      https://assets.pets4homes.co.uk/image/6ea38d01-2c05-4dfa-89f5-d576f8322240/image_wm/image.webp	      Pets > Reptiles > Mixed Breed	0.0	        /classifieds/kyv3cfbiu-snakes-for-sale-fleet/	          Person	          Amelia L.	sale	reptiles
2	      Hypo & Hypotrans 100% Het Zero Baby Bearded Dragon	      Hypo 100% het zero het trans £100\n\nHypotrans 100% het zero £150\n\nReady to go in 3 weeks!\n\nTaking reservations now to leave in 3 weeks.\n\nFeel free to message with any queries.	      https://assets.pets4homes.co.uk/image/c35ff6d3-c021-4ac8-8242-48d45ababf68/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	100.0	        /classifieds/q-tk4kir7-hypo-hypotrans-100-het-zero-baby-bearded-dragon-ruislip/	          Person	          reptile l.	sale	reptiles
3	      Mediterranean spur thighed tortoises 	      Hatched summer 2021. \n\nFed on natural diet of vegetables & weeds (plus calcium). \n\nExperienced breeder, I have been keeping tortoises for over 20 years. Care sheets supplied and advice always availabl	      https://assets.pets4homes.co.uk/image/d323190c-627e-473c-b68a-25b54c677a71/image_wm/image.webp	      Pets > Reptiles > Tortoise	100.0	        /classifieds/hw5dwueqt-mediterranean-spur-thighed-tortoises-worthing/	          Person	          Kate T.	sale	reptiles
4	      male common boa	      A really friendly 6-7ft Common Boa for sale eats and sheds really well not viv defensive. Feeds on large rat every two weeks. Proof of set up and dimensions required and knowledge of snakes etc as qui	      https://assets.pets4homes.co.uk/image/7b94d766-3833-43d4-a064-f4a84d9e090a/image_wm/image.webp	      Pets > Reptiles > Boa Snake	50.0	        /classifieds/j7ww-iwou-male-common-boa-crawley/	          Organization	          A.I.R Exotics	sale	reptiles
5	      Musk Terrapins 	      We are looking to re-home our 2 Terrapins we have had for 9 years. They are easy to look after being feed every other day and require their pump to be cleaned every 2 months. We are reluctantly sellin	      https://assets.pets4homes.co.uk/image/e6b302f4-bf4d-4292-96d1-d1db90dec7d3/image_wm/image.webp	      Pets > Reptiles > Terrapin	50.0	        /classifieds/krnjc74cr-musk-terrapins-basingstoke/	          Person	          Luke A.	sale	reptiles
6	      Female bearded dragon	      This is my 7 month old female bearded dragon. She's super friendly and social. Shes very easy to handle and never bitten. Her name is Lexi and she comes with her full set up. Lexis tank is 4ft long an	      https://assets.pets4homes.co.uk/image/d566b278-eff2-4721-a169-d4ba0c3dc291/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	180.0	        /classifieds/grt6tctuj-female-bearded-dragon-leatherhead/	          Person	          Charlotte C.	sale	reptiles
7	      3 leopard geckos for sale 	      Hi there, I have 3 leopard geckos for sale\n\n1) High yellow - male - 12 months old. Eating and shedding well. Friendly once gets to know you. Loves to explore. - £80 Ono  \n\n2) Mack snow- 10 months old-	      https://assets.pets4homes.co.uk/image/bf20ece0-d583-4a40-b938-8f3705942568/image_wm/image.webp	      Pets > Reptiles > Leopard Gecko	0.0	        /classifieds/ab8jwkje-3-leopard-geckos-for-sale-southall/	          Person	          Az M.	sale	reptiles
8	      Mack Snow leopard gecko	      hiya I have my Mack snow leopard gecko for sale due to circumstances I cannot keep her I also have a male normal who could go with her for 80 the pair no setup included with her	      https://assets.pets4homes.co.uk/image/7cc5138d-b55c-4d97-88c3-1e0aa392efd8/image_wm/image.webp	      Pets > Reptiles > Leopard Gecko	40.0	        /classifieds/ougzjm667-mack-snow-leopard-gecko-london/	          Organization	          CJ	sale	reptiles
9	      Horsefield Tortoise & Full Setup with thermostat	      my tortoise is named tito and i bought him from an established reptile shop in october 2021, he is from uzbekistan. unfortunately due to exams and work i haven’t been giving him as much as attention a	      https://assets.pets4homes.co.uk/image/3f5c57a1-e503-47da-bb35-315041875dd5/image_wm/image.webp	      Pets > Reptiles > Tortoise	250.0	        /classifieds/ttlov9giy-horsefield-tortoise-setup-less-than-a-year-old-greenford/	          Person	          Aila A.	sale	reptiles
