	Title	Description	photo_link	category	price	url	seller_type	seller_name	listing_type	pet_type
0	      Hermanns Tortoise for stud	      I’ve had Buster about 4 years, think he’s about 22. Seems to have a show fetish as Humps shoes all day. No problems health wise since I’ve had him. 	      https://assets.pets4homes.co.uk/image/d52f5903-9ab4-479c-bdf6-6cb765257af0/image_wm/image.webp	      Pets > Reptiles > Tortoise	45.0	        /classifieds/hd3s4wiif-hermanns-tortoise-for-stud-southampton/	          Person	          Stephanie  B.	stud	reptiles
1	      Full list baby ball python CB21	      Passione breeder based in Southampton, here to sell some of my hatching that are ready to go, everyone feeding properly, shedding and pooping.\n\nCB 21\n0.1 GHI £160\n1.0 GHI £120\n0.1 wild £40\n1.0 wild £2	      https://assets.pets4homes.co.uk/image/14ca6be4-ef65-4514-8fab-1b1433774481/image_wm/image.webp	      Pets > Reptiles > Python Snake	0.0	        /classifieds/gldu6oxtn-full-list-baby-ball-python-cb21-southampton/	          Organization	          Eden Garden Reptiles	sale	reptiles
2	      Snakes for sale 	      Need gone asap message me on here or text me please don’t phone as I work a lot \n\nRoyal pythons :\nmale normal 11months £40\nmale Proven het albino pied £100\nbumblebee £90\nMale ghost het clown £130\nFema	      https://assets.pets4homes.co.uk/image/6ea38d01-2c05-4dfa-89f5-d576f8322240/image_wm/image.webp	      Pets > Reptiles > Mixed Breed	0.0	        /classifieds/kyv3cfbiu-snakes-for-sale-fleet/	          Person	          Amelia L.	sale	reptiles
3	      royal python	      rehoming my two year old royal python ‘Boris’. brought him when he was 6 months old from ridgeway exotics. feeds, sheds perfectly. he is currently on large white mice. he comes with complete full set 	      https://assets.pets4homes.co.uk/image/aac587b3-96c6-4fd5-9ad9-418298bb788f/image_wm/image.webp	      Pets > Reptiles > Python Snake	150.0	        /classifieds/ivtzzom0i-royal-python-lee-on-the-solent/	          Person	          vicky c.	sale	reptiles
4	      Ambanja male panther chameleon 	      6 month old male ambanja\nVery reluctant sale, only selling as we already have his bloodline so very a shame to waste him, no time wasters please	      https://assets.pets4homes.co.uk/image/1868fa4b-3e80-45d0-9260-6fbc0410c2c9/image_wm/image.webp	      Pets > Reptiles > Chameleon	350.0	        /classifieds/ayfoya0fo-ambanja-male-panther-chameleon-southampton/	          Organization	          Hampshire chameleons	sale	reptiles
5	      breeding males ball python	      Males proven and ready to breed, beautiful animals awesome attitude, do everything as should. Pastel, Pinstripe CB14 £ 90 Orange Dream, Enchi CB18 £150 Dark Mojave CB19 £75	      https://assets.pets4homes.co.uk/image/5cf3bab1-fb75-4524-80ad-13ac50b832df/image_wm/image.webp	      Pets > Reptiles > Python Snake	75.0	        /classifieds/6bemame5e-breeding-males-ball-python-southampton/	          Organization	          Eden Garden Reptiles	sale	reptiles
6	      Musk Terrapins 	      We are looking to re-home our 2 Terrapins we have had for 9 years. They are easy to look after being feed every other day and require their pump to be cleaned every 2 months. We are reluctantly sellin	      https://assets.pets4homes.co.uk/image/e6b302f4-bf4d-4292-96d1-d1db90dec7d3/image_wm/image.webp	      Pets > Reptiles > Terrapin	50.0	        /classifieds/krnjc74cr-musk-terrapins-basingstoke/	          Person	          Luke A.	sale	reptiles
7	      Female Het Pied Ball Python	      Rehoming this girl as I am heading off to college which means less time I can be at home caring for her. Luckily, I’m posting this advert 3 months in advance. \n\nShe’s a brilliant snake. She’s a great 	      https://assets.pets4homes.co.uk/image/013b36f4-bf12-41fb-90fc-86bd83b62144/image_wm/image.webp	      Pets > Reptiles > Python Snake	50.0	        /classifieds/pfdyasji-female-het-pied-ball-python-chichester/	          Person	          Ellie W.	sale	reptiles
8	      Leopard tortoises Hatchlongs	      Adorable Leopard Tortoise Babies. Mixed sex. Aged 3-5 months. Happy, heathy & very sociable. Handled daily. \nNow ready for their forever homes. \nCollect East Wittering near Chichester or could possibl	      https://assets.pets4homes.co.uk/image/b3d588ad-72e2-4f62-b199-83f3db325340/image_wm/image.webp	      Pets > Reptiles > Tortoise	120.0	        /classifieds/e6q0o2zg-leopard-tortoises-hatchlongs-chichester/	          Organization	          TrinaP	sale	reptiles
9	      Axolotl Juveniles Various Morphs	      Axolotl Juveniles collection Southampton or next day tracked postage for additional £15 (£20 if bought a pair). Wilds £15 Albino pink/golden £20 Lucy £25. All 25 pretty babies from SL Axolotls growing	      https://assets.pets4homes.co.uk/image/3e0069a3-a96e-44d3-8153-4feb81698729/image_wm/image.webp	      Pets > Reptiles > Axolotl	15.0	        /classifieds/ckx2wj8c6-axolotl-juveniles-various-morphs-southampton/	          Organization	          TaliasAquaPuppies	sale	reptiles
10	      Western Hognose Normal Female	      Lovely hognose snake. Pooping, eating and shedding with no problem. Downsizing my collection. This a friendly hognose, hissing if you disturbed it or touch it's enclosure, but eventually quiet and fri	      https://assets.pets4homes.co.uk/image/d1e6783d-846d-4536-8302-d8275818a4eb/image_wm/image.webp	      Pets > Reptiles > Snake	100.0	        /classifieds/1e1eh-qxm-western-hognose-normal-male-southampton/	          Organization	          HerExoticz	sale	reptiles
11	      Breeding group of mourning gecko's and planted enc	      I have for sale a group of mourning gecko's and a load of eggs in a bioactive setup 30x30x45 exo terra planted comes with 6 adults 2 babies and a load of eggs absolutely brilliant price as gecko's alo	      https://assets.pets4homes.co.uk/image/38e836a1-45cc-4eb2-b728-c0b071caf939/image_wm/image.webp	      Pets > Reptiles > Gecko	80.0	        /classifieds/bsvoswizo-breeding-group-of-mourning-geckos-and-planted-enc-romsey/	          Person	          Paul C.	sale	reptiles
12	      Fire morph royal python 	      This lovely girl is around 3 years old, she’s got a very good temperament and is eager to be handled, would not recommend as a starter snake but would make a great addition to someone with experience.	      https://assets.pets4homes.co.uk/image/6ee6a0b8-0a04-484b-a5fc-23baa77bc855/image_wm/image.webp	      Pets > Reptiles > Python Snake	275.0	        /classifieds/aqvxv3n9t-fire-morph-royal-python-fordingbridge/	          Person	          Paige C.	sale	reptiles
13	      Male ball python phantom het desert ghost	      Male ball python phantom het desert ghost stunning boy lovely to handle very active brilliant feeder on xl mice never misses a feed born summer 2021. Downsizing my collection collect winnersh. 	      https://assets.pets4homes.co.uk/image/77c87944-5192-49ba-a0b4-13c98b9ca459/image_wm/image.webp	      Pets > Reptiles > Python Snake	100.0	        /classifieds/lizihuy28-male-ball-python-phantom-het-desert-ghost-wokingham/	          Person	          Kez H.	sale	reptiles
14	      Mojave pinstripe female ball python	      Mojave pinstripe female ball python born summer 2021. Is very friendly and active brilliant feeder even eats in shed... does everything she should. Rehousing as downsizing my collection. Winnersh	      https://assets.pets4homes.co.uk/image/03a0d049-b594-41a4-a07c-b139ff4496f0/image_wm/image.webp	      Pets > Reptiles > Python Snake	100.0	        /classifieds/bp79pknrw-mojave-pinstripe-female-ball-python-wokingham/	          Person	          Kez H.	sale	reptiles
15	      Male corn snake 	      Stunning corn with a big attitude but totally adorable he is super friendly  looking for a forever home 	      https://assets.pets4homes.co.uk/image/19e04559-1918-4951-84d7-2469ee11a0e6/image_wm/image.webp	      Pets > Reptiles > Snake	20.0	        /classifieds/zmpzforc5-male-corn-snake-winchester/	          Person	          ryan c.	sale	reptiles
16	      1.5 year old crested gecko for rehoming	      Happy and healthy crested gecko.\n\nThe gecko is\none and a half turning 2 in September, though seems quite small but the vets have ruled out any illnesses saying that it is a slow grower.\n\nWe aren’t sur	      https://assets.pets4homes.co.uk/image/162b95e2-8fe8-4d8a-92df-fd151d069ea8/image_wm/image.webp	      Pets > Reptiles > Gecko	40.0	        /classifieds/zxiw0sxdo-15-year-old-crested-gecko-for-rehoming-eastleigh/	          Person	          Leonna B.	sale	reptiles
