	Title	Description	photo_link	category	price	url	seller_type	seller_name	listing_type	pet_type
0	      Tortoise with full set up 	      Tortoise with full set up approx 1 year old , need to re home due to moving and not allowed pets everything you need included 	      https://assets.pets4homes.co.uk/image/24ab3e34-4410-400c-a7fa-5cf99eef77bd/image_wm/image.webp	      Pets > Reptiles > Tortoise	150.0	        /classifieds/3yctijd6m-tortoise-with-full-set-up-abertillery/	          Person	          Jonathan C.	sale	reptiles
1	      Breeding paer hognose 	      CB20 pear of \nAlbino 66% het Toxic jag \nMale and female £300 for the pear \nBased in Gloucester UK \nPick up \nPM info 	      https://assets.pets4homes.co.uk/image/45ce344d-9bc9-4d3b-8099-951a2e2253be/image_wm/image.webp	      Pets > Reptiles > Snake	300.0	        /classifieds/8k7twlfrn-breeding-paer-hognose-gloucester/	          Organization	          Gary V.	sale	reptiles
2	      Breeding paer hognose 	      CB20 breeding paer off hognose snakes \nHigh red 100%het Frost \nMale and female in good condition eating small to medium mice once a week \n£300 the paer \nBased in Gloucester UK \nPick up \nPM info 	      https://assets.pets4homes.co.uk/image/7d555692-a2ca-496b-bbbb-9fa4b085b7bf/image_wm/image.webp	      Pets > Reptiles > Snake	300.0	        /classifieds/6woho-dk-breeding-paer-hognose-gloucester/	          Organization	          Gary V.	sale	reptiles
3	      CB22 baby hognoses 	      CB22 baby hognoses ready to go we have\nSnow £350\nAxanthic 100% het Albino £200\nAlbino £120\nAll eating df pinky's 1 every 4to5 days Based in Gloucester UK Pick up PM for info 	      https://assets.pets4homes.co.uk/image/3d41fd35-26f5-43da-9191-b9a84913b2b3/image_wm/image.webp	      Pets > Reptiles > Snake	0.0	        /classifieds/msykywtfo-cb22-baby-hognoses-gloucester/	          Organization	          Gary V.	sale	reptiles
4	      High red 50% het Frost 	      Western hognose for sale \nHigh red 50% het Frost \nAll eating df pinky's and now ready to go to there new homes 🏡 £150.\n\nBased in Gloucester UK \nPick up or courier can be arranged at Byers expense \n	      https://assets.pets4homes.co.uk/image/a14b50be-0c83-4445-b2de-bac3fd5355bf/image_wm/image.webp	      Pets > Reptiles > Snake	150.0	        /classifieds/ffe-vbudx-high-red-50-het-frost-gloucester/	          Organization	          Gary V.	sale	reptiles
5	      Mojave (Proven Breeder male)	      This mojave male royal python is for sale due to no fault of his own, he is surplus to my breeding collection.\nSuch a docile boy, would make a great pet or breeder to any breeding collection for anyon	      https://assets.pets4homes.co.uk/image/ae102a38-9feb-4120-b5fb-1c3c32480192/image_wm/image.webp	      Pets > Reptiles > Python Snake	100.0	        /classifieds/xrm5q107r-mojave-proven-breeder-male-cheltenham/	          Person	          Damian P.	sale	reptiles
6	      Boa (Salmon Pink)	      I purchased this beautiful salmon pink boa as a rescue around 1.5years ago at 6months old, she was very neglected by previous owner but now is doing everything she should and thriving, absolute monste	      https://assets.pets4homes.co.uk/image/606b63b9-b872-4215-a3f6-fd6844bd7adf/image_wm/image.webp	      Pets > Reptiles > Boa Snake	100.0	        /classifieds/nouxzuyi-boa-salmon-pink-cheltenham/	          Person	          Damian P.	sale	reptiles
7	      Crested gecko and full set up 	      Unfortunately selling, due to moving to a new property which does not allow any kind of pets, healthy and eats very well, comes with equipment, heat mat  accessories etc \n\nLikes being handled 	      https://assets.pets4homes.co.uk/image/690b4924-5d0f-4f7d-a729-e9a9bcc766d7/image_wm/image.webp	      Pets > Reptiles > Gecko	120.0	        /classifieds/kvqro1m67-crested-gecko-and-full-set-up-worcester/	          Person	          Sophie A.	sale	reptiles
8	      Berber skink and set up 	      Unfortunately selling, due to moving to a new property which does not allow any kind of pets, healthy and eats very well, comes with UVB, heat bulb, accessories etc \n\n\nLoves being handled and out and 	      https://assets.pets4homes.co.uk/image/26fb0d1b-f221-40f3-b0b6-1face47d0a5b/image_wm/image.webp	      Pets > Reptiles > Skink	140.0	        /classifieds/dbiqxktj8-berber-skink-and-set-up-worcester/	          Person	          Sophie A.	sale	reptiles
9	      Female leopard gecko and set up 	      Unfortunately selling, due to moving to a new property which does not allow any kind of pets, healthy and eats very well, comes with UVB, heat bulb, accessories etc \n\nEnjoys being handled and out and 	      https://assets.pets4homes.co.uk/image/74db815c-da9a-49af-9743-c5a33a32df6d/image_wm/image.webp	      Pets > Reptiles > Leopard Gecko	120.0	        /classifieds/vsoojkil9-female-leopard-gecko-and-set-up-worcester/	          Person	          Sophie A.	sale	reptiles
