	Title	Description	photo_link	category	price	url	seller_type	seller_name	listing_type	pet_type
0	      2018 tiger retic female doing everything she shoul	      2018 tiger retic female doing everything she should be looking for £150 also have some others available check my other adds 	      https://assets.pets4homes.co.uk/image/de5767cc-2863-4f09-a6b8-d2e495798c2b/image_wm/image.webp	      Pets > Reptiles > Python Snake	150.0	        /classifieds/bgpz6t2lv-2018-tiger-retic-female-doing-everything-she-shoul-scunthorpe/	          Person	          Macca W.	sale	reptiles
1	      2021 albino super tiger retic doing everything sho	      2021 albino super tiger retic female doing everything she should be no issues with her looking for £150 lovely snake also have a few others available check my adds 	      https://assets.pets4homes.co.uk/image/7a862cb8-a804-4e02-88a4-472db4559199/image_wm/image.webp	      Pets > Reptiles > Python Snake	150.0	        /classifieds/e9gixaaz-2021-albino-super-tiger-retic-doing-everything-sho-scunthorpe/	          Person	          Macca W.	sale	reptiles
2	      2018 albino burm male doing everything he should b	      2018 male albino burm doing everything he should be looking for his forever home no faults with him £150ono	      https://assets.pets4homes.co.uk/image/fc66a065-8cee-407c-8be8-cdcbbbff80ce/image_wm/image.webp	      Pets > Reptiles > Python Snake	150.0	        /classifieds/tbppuoo9f-2018-albino-burm-male-doing-everything-he-should-b-scunthorpe/	          Person	          Macca W.	sale	reptiles
3	      9ft female boa doing everything she should be 	      Good size female boa lovely temperament \nDoing everything she should be Looking for her forever home £80ono	      https://assets.pets4homes.co.uk/image/5909af9f-ef8c-4bba-88a1-f11d08d171d6/image_wm/image.webp	      Pets > Reptiles > Boa Snake	80.0	        /classifieds/bnk0uoimg-9ft-female-boa-doing-everything-she-should-be-scunthorpe/	          Person	          Macca W.	sale	reptiles
4	      hognose snake	      Here we have a beautiful girl hognose snake looking for her new home she eats extra small mice and is very tame and loving we are open to offers and can come with a Viv	      https://assets.pets4homes.co.uk/image/3b08df2f-d2ab-4963-bab3-6f310ce645a2/image_wm/image.webp	      Pets > Reptiles > Snake	0.0	        /classifieds/dhmdnjztd-hognose-snake-goole/	          Person	          Tata C.	sale	reptiles
5	      breaded dragon	      24 Month old Bearded Dragon looking for a new home , can’t take him to new move because home to small , \n\nVery healthy and eating well , come with all accessories in pictures \n\nLooking £100open to sen	      https://assets.pets4homes.co.uk/image/9dd53f94-5f95-436e-83c6-8cae4850f175/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	100.0	        /classifieds/easuutnyd-breaded-dragon-scunthorpe/	          Person	          Shelley l.	sale	reptiles
6	      Rankin dragon 	      Very friendly,well tamed. \n10 months old. \nPaid £460 for her. \nShe comes with her whole setup. \nLooking for a good home. 	      https://assets.pets4homes.co.uk/image/7beb81bc-30a7-4aa2-8048-63f369676b3e/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	200.0	        /classifieds/emraushje-rankin-dragon-grimsby/	          Person	          Grace W.	sale	reptiles
7	      Lovely leopard tortoise & set up	      With huge regret and a genuine reason, we are looking to re-home our lovely leopard tortoise.\nHe (we're obviously guessing he's a male) is nearly 3 years old & we've had him since he was teeny tiny (w	      https://assets.pets4homes.co.uk/image/8502b614-7f9d-421b-aa14-6c41c694a279/image_wm/image.webp	      Pets > Reptiles > Tortoise	300.0	        /classifieds/zlggvyaiq-leopard-tortoise-needs-a-new-home-market-rasen/	          Person	          Jojo A.	sale	reptiles
8	      baby bearded dragons!!!	      baby dragons ready very soon. lovely colours and already taming down nicely. all raised on high grade equipment. mum is German giant x and dad is a dunner x German giant. Great little characters alrea	      https://assets.pets4homes.co.uk/image/dd38f491-3321-49c8-85fa-66b4c002dd68/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	50.0	        /classifieds/kamhmmvzg-baby-bearded-dragons-scunthorpe/	          Person	          Mathew H.	sale	reptiles
9	      Crested Gecko Babies	      3 Crested Gecko babies available. Unsexed. These 3 have no tails. Not entirely sure what happened, came home one day and 3 had dropped their tails (assuming there must have been a loud noise or someth	      https://assets.pets4homes.co.uk/image/fd8502eb-0724-4f84-b36e-8a773292150e/image_wm/image.webp	      Pets > Reptiles > Gecko	40.0	        /classifieds/hh1t7tw32-crested-gecko-babies-hessle/	          Organization	          Leah M	sale	reptiles
10	      Crested Gecko Babies	      3 Crested Gecko babies available. Unsexed. All perfectly healthy, shedding, eating well. Would prefer collection only, located HU13. Courier but to be organised by yourself. Thank you	      https://assets.pets4homes.co.uk/image/2eb07382-64f1-467c-891e-a39a134c0ffc/image_wm/image.webp	      Pets > Reptiles > Gecko	50.0	        /classifieds/r-f-jynlx-crested-gecko-babies-hessle/	          Organization	          Leah M	sale	reptiles
11	      Redfoot tortoise babies 	      Baby Redfoots. Captive bred by ourselves.\nWe are not a pet shop or professional breeding facility. \nAll over three months old now and doing everything as they should. Great little personalities!\nRedfo	      https://assets.pets4homes.co.uk/image/11c72ede-d18a-49bc-a9cc-0c676ae1735c/image_wm/image.webp	      Pets > Reptiles > Tortoise	100.0	        /classifieds/odkuw69v3-redfoot-tortoise-babies-market-rasen/	          Person	          Danielle B.	sale	reptiles
12	      Royal python.	      Heart breaking to see it going. \nSmooky,my lovely python. \nHe loves veaner rats\nLoves to be handling\nI've been have it for more then year. \nSeeling cause of Brexit need to live a country. Comes with l	      https://assets.pets4homes.co.uk/image/bd778018-bfad-40ab-ac6d-fa13c12685b6/image_wm/image.webp	      Pets > Reptiles > Python Snake	200.0	        /classifieds/ep2a8hlln-royal-python-scunthorpe/	          Person	          Arminas Z.	sale	reptiles
