	Title	Description	photo_link	category	price	url	seller_type	seller_name	listing_type	pet_type
0	      Rare/Unusual Axolotl juveniles 	      Mum is a beautiful copper with red wine coloured girls and Dad is a golden albino. Babies are a mixture of copper with golden Hughes, Wild type with golden shimmer from different angles some of them A	      https://assets.pets4homes.co.uk/image/65d95406-c09b-4aa2-aeda-765cfa5c6c85/image_wm/image.webp	      Pets > Reptiles > Axolotl	25.0	        /classifieds/lxppxmhml-axolotl-juveniles-colchester/	          Person	          Katy W.	sale	reptiles
1	      Beautiful patterned dragons babies 	      Friendly babies on sale they eating pooing well shedding nicely.Growing fast . Cute little 🦎 they available now .\n	      https://assets.pets4homes.co.uk/image/c754a6ea-2c49-44e8-b80e-96286dd713ee/image_wm/image.webp	      Pets > Reptiles > Dragon	50.0	        /classifieds/7y5h5bp4t-beautiful-patterned-dragons-babies-colchester/	          Person	          Krisztina A.	sale	reptiles
2	      Female crutchfield albino iguana very tame 	      Dora has the best temperament, very tame, loves a bath. Feeding well on fresh greens and small amounts of fruit. Imported from America. Owned her for almost 2 years. Looking for a new home due to pers	      https://assets.pets4homes.co.uk/image/7a26b895-06f0-4023-961d-b3f1ca85621d/image_wm/image.webp	      Pets > Reptiles > Iguana	650.0	        /classifieds/0ngeftdfn-female-crutchfield-albino-iguana-very-tame-bury-saint-edmunds/	          Organization	          Countrytales	sale	reptiles
3	      Crested gecko yellow tiger pin with portholes	      Lovely bold, patterned hatchling. Going to be super pretty when it grows up.\n\n4g ready to leave now.\n\nNo pores seen.\n\nParents pictures are an orange tiger lilly white and olive tiger phantom pinstripe	      https://assets.pets4homes.co.uk/image/01ac0e86-b206-441c-8894-37ae6417f41d/image_wm/image.webp	      Pets > Reptiles > Gecko	75.0	        /classifieds/2gb-vnz5m-baby-crested-gecko-various-morphs-and-prices-stowmarket/	          Organization	          Oddball Exotics	sale	reptiles
4	      Bearded dragons	      Unfortunately my boys are up for sale I've recently moved an had to down size an im now having to down size on vivariums I have a male citus Zak age unknown due to use rescuing him 2 years ago an I ha	      https://assets.pets4homes.co.uk/image/b3586845-c73f-45e0-8c07-043b95f04862/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	150.0	        /classifieds/kvq-ruhgt-bearded-dragons-braintree/	          Person	          Rachel M.	sale	reptiles
5	      Hypo Bearded dragon	      Gerald was sold to us as a male but it is hard to sex a baby bearded dragon so still not 100% if it's a male or female. To us it didn't matter as anyway as he's an absolutely brilliant pet he's very f	      https://assets.pets4homes.co.uk/image/28fde611-25b9-4c39-80fc-e004da59683a/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	250.0	        /classifieds/xh52l99xz-hypo-bearded-dragon-manningtree/	          Person	          Siobhion S.	sale	reptiles
6	      Male bearded dragon	      Hi! I'm unfortunately having to let my sweet bearded dragon go. He's such a lovely character. He doesn't like to be handled all of the time but once or twice a week is fine. For anymore information, p	      https://assets.pets4homes.co.uk/image/e8364460-bb67-4db6-9197-f8a8ed4e62a3/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	120.0	        /classifieds/4gp0gx-tx-male-bearded-dragon-halesworth/	          Person	          Polly B.	sale	reptiles
7	      2021 leopard gecko for sale	      Healthy Leopard geckos for sale a mix of colours. Captive bred 2021 borns. FROM £40 to £100+. Feeding and shedding well - would not advertise otherwise. Delivery and collection welcome. Located in Ess	      https://assets.pets4homes.co.uk/image/a7363c60-9f73-4332-89e1-85c80c0db426/image_wm/image.webp	      Pets > Reptiles > Leopard Gecko	40.0	        /classifieds/a0dgj-n2i-2021-leopard-gecko-for-sale-walton-on-the-naze/	          Organization	          Chloe	sale	reptiles
8	      Royal pythons Albino / het albino	      2021 Albino Female #RP24 £165\r\n2021 Albino Male #RP25 £125\r\n2021 Albino Female #RP28 £165\r\n2021 Het Albino Female #RP21 £65\r\n2018 Het Albino Het Pied Male #RP6 £150\r\n\r\nFeeding on mouse fluff / small m	      https://assets.pets4homes.co.uk/image/6ab322cc-de74-4266-84cc-939e4350bbfe/image_wm/image.webp	      Pets > Reptiles > Python Snake	65.0	        /classifieds/8il6rw-gy-royal-pythons-albino-het-albino-ipswich/	          Person	          Nathan H.	sale	reptiles
9	      Female collard lizard 	      Unfortunately I am putting my baby girl up sale she is roughly 10 months old, she's friendly an likes being held, she eats amazingly lively bouncy little girl I love her to bits but I am due to move a	      https://assets.pets4homes.co.uk/image/436da20e-1d29-4d75-b32d-f30569c6302b/image_wm/image.webp	      Pets > Reptiles > Lizard	100.0	        /classifieds/fahsz4pwf-female-collard-lizard-braintree/	          Person	          Rachel M.	sale	reptiles
10	      Baby Leopard Geckos CB22	      The leopard geckos from our 2022 breeding season are just getting to weight to be available for their new homes. We currently have LG3 (first picture), a tangerine, tremper albino morph who is now 12g	      https://assets.pets4homes.co.uk/image/c5a643e4-fa5a-47ac-8b0b-8d9b520b20d1/image_wm/image.webp	      Pets > Reptiles > Leopard Gecko	60.0	        /classifieds/silfc5udh-baby-leopard-geckos-cb22-frinton-on-sea/	          Organization	          Helen at DJLExotics	sale	reptiles
11	      Female ball python for sale	      Female ball python for sale through no fault of her own. Lovely temperament, eats, sheds, and poops perfectly, has never bitten anyone and likes being handled. £50 for just the snake, can come with th	      https://assets.pets4homes.co.uk/image/c050f958-1287-4b21-aff5-ffc8fe72b2a7/image_wm/image.webp	      Pets > Reptiles > Python Snake	50.0	        /classifieds/6lvfsfuno-female-ball-python-for-sale-stowmarket/	          Person	          Laura B.	sale	reptiles
12	      Ivory ball python for sale	      Male Ivory ball python for sale, about 2 years old, eats, sheds, and poops beautifully, lovely snake with lovely temperament. Snake is £100, extra £100 for his viv with everything included.	      https://assets.pets4homes.co.uk/image/f5e497ed-aed8-48cc-93e3-165bc5a68bc4/image_wm/image.webp	      Pets > Reptiles > Python Snake	100.0	        /classifieds/yzrnwdvjn-ivory-ball-python-for-sale-stowmarket/	          Person	          Laura B.	sale	reptiles
13	      Female corn snake for sale	      Female corn snake for sale through no fault of her own. Eats, poops, and sheds beautifully, lovely temperament. £50 for just the snake, an extra £100 for her enclosure with everything included. 	      https://assets.pets4homes.co.uk/image/269f86bd-1073-4c6b-b748-b330e51efdba/image_wm/image.webp	      Pets > Reptiles > Corn Snake	50.0	        /classifieds/x1pbmtx3v-female-corn-snake-for-sale-stowmarket/	          Person	          Laura B.	sale	reptiles
14	      6 x Indonesian blue tongue skinks	      6 Indonesian blue tongue skinks \r\nSome show minor signs of mbd but nothing major. \r\n\r\nI purchased them in 2018 and originally planned to breed but kept missing the season, have seen visual locks from 	      https://assets.pets4homes.co.uk/image/007046be-438b-49de-865e-b4138b6fe44d/image_wm/image.webp	      Pets > Reptiles > Skink	200.0	        /classifieds/a-nneckbt-6-x-indonesian-blue-tongue-skinks-ipswich/	          Person	          Nathan H.	sale	reptiles
