	Title	Description	photo_link	category	price	url	seller_type	seller_name	listing_type	pet_type
0	      Corn snakes for sale males and females 3 genes	      Baby corn snakes all Amel het Motley and Caramel or Motley Amel het Caramel. Good eaters, shedding and pooping as they should. All hatched between the 4th and the 8th of April. Great little pets with 	      https://assets.pets4homes.co.uk/image/44808766-bc6e-4f3c-9e84-61f2e477816d/image_wm/image.webp	      Pets > Reptiles > Corn Snake	60.0	        /classifieds/6dzwug7dc-corn-snakes-for-sale-males-and-females-3-genes-bolton/	          Person	          Chrissie O.	sale	reptiles
1	      Horsefield Tortoise	      Daisy is my 18 month old horsefield tortoise. We are unsure of gender as you cant tell until they are five. Daisy is a very loving and sweet tortoise but she needs someone who has more time to give he	      https://assets.pets4homes.co.uk/image/db1a8aad-3d5a-42b3-aad4-972aa501caa7/image_wm/image.webp	      Pets > Reptiles > Tortoise	200.0	        /classifieds/fasdakiwf-horsefield-tortoise-skelmersdale/	          Person	          Emily M.	sale	reptiles
2	      Long legged staff cross	      Long legged staff cross puppy will be vet checked before collection welcome to view before paying deposit will be used to kids and cats 	      https://assets.pets4homes.co.uk/image/b3864fef-ac3b-4b96-bbee-6e9872c3db37/image_wm/image.webp	      Pets > Reptiles > Mixed Breed	600.0	        /classifieds/nhbx9etdy-long-legged-staff-cross-preston/	          Person	          Danielle T.	sale	reptiles
3	      Female bearded dragon	      Female dragon she's very friendly like locus and mealworm she's 18 month old comes with vivirium full set up must hobuo goof home	      https://assets.pets4homes.co.uk/image/9ef2dd45-72ec-4fa2-8ac8-24ce5d869f23/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	140.0	        /classifieds/gkywyrv-p-female-bearded-dragon-wigan/	          Person	          K K.	sale	reptiles
4	      Male bearded dragon	      He's 2 year old very friendly loves locus and greens comes with a 3ft vivarium and lights must go to a good home	      https://assets.pets4homes.co.uk/image/014fc5bc-35a9-4c8c-bfb0-264469ab3e32/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	140.0	        /classifieds/ctj8egmma-male-bearded-dragon-wigan/	          Person	          K K.	sale	reptiles
5	      4 year old male carpet python in Chorley	      4 year old male carpet python. he's about 6tf. most days he's lovely and loves being out and using my chair as a claiming frame but every now and again he can be grumpy and wants to stay in his viv. h	      https://assets.pets4homes.co.uk/image/bc5c366c-af41-491f-8de8-fa87bc52b086/image_wm/image.webp	      Pets > Reptiles > Python Snake	100.0	        /classifieds/2tec9cyri-4-year-old-male-carpet-python-in-chorley-chorley/	          Person	          Liam W.	sale	reptiles
6	      2 year old male sand boa in Chorley	      2 year old male sand boa. he is not a massive fan o being taken out off his tank but calms down very quickly. he is some sort of snow morph i just cant remember what now. only reason for sale is i nee	      https://assets.pets4homes.co.uk/image/a71e1f43-6d9c-4ae4-8a9b-7b81d2e0e262/image_wm/image.webp	      Pets > Reptiles > Boa Snake	80.0	        /classifieds/yalqlkppe-2-year-old-male-sand-boa-in-chorley-chorley/	          Person	          Liam W.	sale	reptiles
7	      Columbian rainbow boa	      3 year old Columbian rainbow boa, lovely to handle, great eater never misses a meal. only reason for sale is i need to down size my collection due to moving to smaller house\n\nfew other snakes up for s	      https://assets.pets4homes.co.uk/image/bfb3e03c-1eda-4477-b33b-6965a3543ced/image_wm/image.webp	      Pets > Reptiles > Boa Snake	80.0	        /classifieds/vyqjr-z0z-columbian-rainbow-boa-chorley/	          Person	          Liam W.	sale	reptiles
8	      Panther chameleon 	      Got 3 baby panther for sale definitely males \nEating well on fruit flys and super small crickets \n\nThinking about keeping them to see how the turn out like but also accepting offers 	      https://assets.pets4homes.co.uk/image/96f4c5d7-9a8f-4477-9569-3c014c3d6938/image_wm/image.webp	      Pets > Reptiles > Chameleon	0.0	        /classifieds/iin-pviam-panther-chameleon-wigan/	          Person	          Adam L.	sale	reptiles
9	      Bearded Dragon and African Fat tailed Gecko	      Comes with everything, both dearly beloved pets but I just don't have the times anymore with having children and new commitments in work. \n\nBoth have lived happily together for the last 2 years. I'd l	      https://assets.pets4homes.co.uk/image/15570452-8aed-4ec8-9e83-421dbab2d433/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	150.0	        /classifieds/ahc4abnwo-bearded-dragon-and-african-fat-tailed-gecko-bury/	          Person	          Yvonne H.	sale	reptiles
10	      Horsefield Tortoise	      Large male. healthy lives out side in summer. inside at night.\n\nComes with tortoise box and 6ft wire pen heat bulb UV bulb\n\nGood home required can deliver locally	      https://assets.pets4homes.co.uk/image/6ec17952-1085-44e1-8949-71f5595ba3dc/image_wm/image.webp	      Pets > Reptiles > Tortoise	150.0	        /classifieds/jq4zxf3el-horsefield-tortoise-clitheroe/	          Person	          J S.	sale	reptiles
