	Title	Description	photo_link	category	price	url	seller_type	seller_name	listing_type	pet_type
0	      CB19 Male Mainland Chahoua Mossy Gecko	      Large male mainland Chahoua Mossy Gecko\n\nCB19, 60g weight!\n\nCollection from NG15 8JQ or can courier at buyers expense.\n\nAny questions please ask.	      https://assets.pets4homes.co.uk/image/1cf0b604-823f-4510-b4f7-1493c7590ce8/image_wm/image.webp	      Pets > Reptiles > Gecko	160.0	        /classifieds/ankmvpqif-cb19-male-mainland-chahoua-mossy-gecko-nottingham/	          Organization	          Craig D	sale	reptiles
1	      1.1 Unrelated Pair Mainland Chahoua Mossy Geckos	      Male & female 1.1 unrelated pair of mainland Chahoua mossy geckos.\n\nBoth approx 40g weight, both CB20.\n\nAs you can see from the photos colours vary alot from fired to unfired, a really nice pair of ge	      https://assets.pets4homes.co.uk/image/50866377-493c-41c9-ba86-006c60a9e37f/image_wm/image.webp	      Pets > Reptiles > Gecko	400.0	        /classifieds/wfxh1so82-11-unrelated-pair-mainland-chahoua-mossy-geckos-nottingham/	          Organization	          Craig D	sale	reptiles
2	      2x MALE Horsefield Tortoise	      2x Male Horsefield Tortoise for sale, recently VET checked + claws & beaks trimmed.\n\nLooking to re-home to a suitable owner.\n\nOPEN TO REASONABLE OFFERS\nIf needed can come with a full Vivarium Set-Up (	      https://assets.pets4homes.co.uk/image/3d1331d1-dbb9-4cbb-a871-006a989186ae/image_wm/image.webp	      Pets > Reptiles > Tortoise	220.0	        /classifieds/dun2lokn8-2x-horsefield-tortoise-full-set-up-derby/	          Person	          Tim F.	sale	reptiles
3	      Proven trio of gargoyle geckos	      Proven trio of gargoyle geckos. 2 females, 1 male\nFeeding well on Pangea and bugs\nWell handled and good temperaments \nHave produced some gorgeous geckos over the years! \nOnly selling as downsizing my 	      https://assets.pets4homes.co.uk/image/89eeace1-2caa-402f-b5ca-a9c24445b224/image_wm/image.webp	      Pets > Reptiles > Gecko	400.0	        /classifieds/v0aytkh-o-proven-trio-of-gargoyle-geckos-northampton/	          Organization	          Chloe Tompkins	sale	reptiles
4	      Fire Morph Male Ball Python with full setup	      3 year old male Fire morph Ball Python with full setup. Everything you need for your first / additional snake.\n\nTarquin has been well handled and is an extremely docile snake. Never bitten, always fee	      https://assets.pets4homes.co.uk/image/0bb5e2ca-e059-4180-8045-68c3b00f7137/image_wm/image.webp	      Pets > Reptiles > Python Snake	160.0	        /classifieds/q3qy7l6qk-fire-morph-male-ball-python-with-full-setup-coventry/	          Person	          Matthew B.	sale	reptiles
5	      3 year old male bearded dragon and exellent set up	      3 year old very friendly bearded dragon with top of the range set up. \nMicro climate evo thermostat\nT5 uv lighting with new bulb\nCHE lamp\n4 foot vivarium\nI have cared for rocky since he was a baby he 	      https://assets.pets4homes.co.uk/image/01f077e9-673d-4658-8737-12184f2ffa7e/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	250.0	        /classifieds/fhki4gtj4-3-year-old-male-bearded-dragon-and-exellent-set-up-market-harborough/	          Person	          Connor H.	sale	reptiles
6	      corn snake with full vivarium setup	      Hi all, I have a black and grey animalistic corn snake for sale. she is the most docile snake I have ever owned. would be brilliant for a first time owner, child or even a person looking for a snake. 	      https://assets.pets4homes.co.uk/image/be4618f2-21fd-4d19-b250-ca937fbcdf0b/image_wm/image.webp	      Pets > Reptiles > Corn Snake	120.0	        /classifieds/4a02zzktg-corn-snake-with-full-vivarium-setup-leicester/	          Person	          toby v.	sale	reptiles
7	      1.5 year old Herman’s tortoise	      1.5 year old, comes with certificate and vivarium including water bowl, food bowl and log house. good temperament and very good eater.	      https://assets.pets4homes.co.uk/image/e31c445d-9e95-4a2b-a91e-2a4fd610e18a/image_wm/image.webp	      Pets > Reptiles > Hermann Tortoise	200.0	        /classifieds/evgsihnwd-15-year-old-hermans-tortoise-derby/	          Person	          Shane D.	sale	reptiles
8	      Leopard Gecko's for sale	      Various Leopard Geckos for sale.\n\nMale 2021 - White and yellow mack snow tremper eclipse (red eyes) -£150\n\nMale 2021 - Blazing Blizzard het eclipse £60\n\nFemale 2021 - Tremper albino £60	      https://assets.pets4homes.co.uk/image/9582a3f6-30c5-4898-930c-ecdebcbd84f6/image_wm/image.webp	      Pets > Reptiles > Gecko	60.0	        /classifieds/vtbwl3ghl-leopard-geckos-for-sale-swadlincote/	          Organization	          Joe S.	sale	reptiles
9	      Banana cinnamon Ball Pythons	      Various Ball pythons for sale.\n\nMALE PASTEL BANANA CINNAMON £180\nMALE CINNAMON £80\nMALE LESSER HET GHOST/PIED £80\n\n\n	      https://assets.pets4homes.co.uk/image/04572c81-922d-4d2c-aaf7-c824f3ecc071/image_wm/image.webp	      Pets > Reptiles > Python Snake	80.0	        /classifieds/kiq4kyt1h-banana-cinnamon-ball-pythons-swadlincote/	          Organization	          Joe S.	sale	reptiles
