	Title	Description	photo_link	category	price	url	seller_type	seller_name	listing_type	pet_type
0	      Horsefield Tortoise for stud	      Ziggy is a 12 year old healthy horsefield tortoise who has just reached sexual maturity. We think that this offers him an opportunity to ‘blow off some steam’ and due to the lack of tortoises currentl	      https://assets.pets4homes.co.uk/image/66e3ba28-9787-4019-b875-15d88936655c/image_wm/image.webp	      Pets > Reptiles > Tortoise	40.0	        /classifieds/vqw1wnxcm-horsefield-tortoise-for-stud-billericay/	          Organization	          Daisy  S.	stud	reptiles
1	      Breeding group of Herman's tortoise 	      Hello I have for sale a breeder group of cb18 Herman's tortoise one male two female sex guaranteed. All fresh blood lines not from this country as I imported them myself they are also heath checked. A	      https://assets.pets4homes.co.uk/image/a4e0edfa-4e45-4876-9412-e3eb2709d03a/image_wm/image.webp	      Pets > Reptiles > Hermann Tortoise	600.0	        /classifieds/cocpy-v3x-breeding-group-of-hermans-tortoise-waltham-cross/	          Organization	          Graham s.	sale	reptiles
2	      leopard gecko	      she’s so friendly and loving to hold she comes with tank and heat mat her name is Stevie wonder (just a random name )	      https://assets.pets4homes.co.uk/image/f69dd38c-0de4-48e8-b8a2-954545f76edf/image_wm/image.webp	      Pets > Reptiles > Leopard Gecko	100.0	        /classifieds/etqhy88y2-leopard-gecko-chelmsford/	          Person	          Tegan R.	sale	reptiles
3	      leopard gecko - lizards - ready to go at great pri	      Thanks for looking\n.\nL1 = White and yellow male leopard gecko about 10 weeks £40\nL2 = Tangerine white and yellow male leopard gecko about 10 weeks £40\nL3 = Eclipse poss stripe and poss tangerine about	      https://assets.pets4homes.co.uk/image/c6c459ef-5042-4573-a1d7-750f429162e2/image_wm/image.webp	      Pets > Reptiles > Gecko	40.0	        /classifieds/0f9h-rrgm-leopard-gecko-lizards-ready-to-go-at-great-pri-welwyn-garden-city/	          Organization	          dean-lee r.	sale	reptiles
4	      Stunning water dragon with viv 	      Stunning male water dragon and viv which is a year old. Fred our water dragon is 2 years old and really friendly. We’ve had him since a baby and he has a massive personality. He’s also been around you	      https://assets.pets4homes.co.uk/image/607d4f75-8558-4c9e-8053-27ee12cb419e/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	500.0	        /classifieds/fmsl6prfz-stunning-water-dragon-with-viv-hornchurch/	          Person	          samantha p.	sale	reptiles
5	      Trigger - Male 6.5 years old Horsefield Tortoise	      Hi, Trigger is six and a half, in excellent health. He has always been fed dandelions and flowers. \nHe comes when he hears my voice and sprint quite fast across the garden\nHe LOVES sunbathing. \n\nI am 	      https://assets.pets4homes.co.uk/image/815c0e39-5248-429c-8682-e37cfdf40dd3/image_wm/image.webp	      Pets > Reptiles > Tortoise	250.0	        /classifieds/flchfp4ww-trigger-male-65-years-old-horsefield-tortoise-woodford-green/	          Person	          Annie E.	sale	reptiles
6	      CB21 African fire skinks for sale	      I have 4 captive bred African fire skink babies left looking for homes. They are friendly and happy to sit on you. Being fed a mixture of crickets, locusts, mealworms, calci worms, snails, earthworms 	      https://assets.pets4homes.co.uk/image/e1a29f2e-f208-4df1-8c1a-f26ddaa6187d/image_wm/image.webp	      Pets > Reptiles > Skink	100.0	        /classifieds/bndw8vtyh-cb21-african-fire-skinks-for-sale-slough/	          Organization	          StayRoyalBallPythons	sale	reptiles
7	      Male coral bearded dragon WITH FULL SETUP	      Having to move and won’t be able to take him, comes with whole set up, he has a harness too which I’m happy to let him go with, loves dubias and roaming around	      https://assets.pets4homes.co.uk/image/b2da914f-6281-4796-b525-d9980b9a28ce/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	200.0	        /classifieds/3qkqa3plq-male-coral-bearded-dragon-gravesend/	          Person	          Katie R.	sale	reptiles
8	      golden albino african clawed frogs tadpoles	      so I have a beautiful mix of African Clawed frogs I do apologise for the blurry video as this was after feeding but they are in a huge tank feeding on daphinia and chopped blood worms they are doing v	      https://assets.pets4homes.co.uk/image/9a66ba3d-f4d3-4a5c-920f-d83546bc3df0/image_wm/image.webp	      Pets > Reptiles > Frog	35.0	        /classifieds/jfx17ibgv-golden-albino-african-clawed-frogs-tadpoles-high-wycombe/	          Person	          Simone F.	sale	reptiles
9	      axolotl eggs only golden available now	      so I have another healthy batch of axolotl eggs I have got 2 females so male black Mel may have mated with either golden or lucy both have bred before and have proven to be successful I am unsure of e	      https://assets.pets4homes.co.uk/image/1570c19a-42bd-408d-97d9-2a39e0e05b06/image_wm/image.webp	      Pets > Reptiles > Axolotl	40.0	        /classifieds/ytrs8xgyk-axolotl-eggs-mixed-black-mel-and-lucy-or-golden-high-wycombe/	          Person	          Simone F.	sale	reptiles
10	      African spurred tortoise	      If you looking for a pet for a lifetime who quiet and friendly a spurred tortoise could be a good idea. Young friendly tortoise looking for new home. He's in amazing health and obsessed with eating an	      https://assets.pets4homes.co.uk/image/31d93f39-c76d-4e42-8f4a-2934d002d05e/image_wm/image.webp	      Pets > Reptiles > Tortoise	200.0	        /classifieds/ccfvssyqq-african-spurred-tortoise-grays/	          Person	          David U.	sale	reptiles
11	      Enchi Ball Python	      Female Enchi Ball Python Poss Het Pied Poss Het Axanthic Vpi. Feeding Weekly on small rat weaners. Good tempriment.	      https://assets.pets4homes.co.uk/image/090aed3f-3830-42e1-88c4-b5e2ccdbb683/image_wm/image.webp	      Pets > Reptiles > Python Snake	60.0	        /classifieds/ctbonryek-enchi-ball-python-rochester/	          Person	          Richard B.	sale	reptiles
12	      Ghoast Motley Het Moonglow	      Beautiful female doing everything she should. feeding on small rat weaners weekly. can provide a 4ft vivarium with everything needed for £100. 	      https://assets.pets4homes.co.uk/image/c8468ee1-9202-48c3-b7cf-eaab01a034ab/image_wm/image.webp	      Pets > Reptiles > Boa Snake	250.0	        /classifieds/mxmcmk8q9-ghoast-motley-het-moonglow-rochester/	          Person	          Richard B.	sale	reptiles
13	      hypo het trans zero bearded dragon	      proven hypo het trans zero bearded dragon for sale. produced some great clutches for me. only selling as getting out the hobby due to work commitments	      https://assets.pets4homes.co.uk/image/29cbc717-8074-49d8-aebc-50d66a6bfcf4/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	300.0	        /classifieds/sbrnujie4-hypo-het-trans-zero-bearded-dragon-barnet/	          Organization	          Tony P.	sale	reptiles
14	      Male banana pinstripe pastel lesser royal python	      selling my male royal due to coming out the hobby due to work commitments. recently been paired to my female spider who is also for sale. any questions please message	      https://assets.pets4homes.co.uk/image/0f1dc5c3-9609-4e60-a2fd-ccd34a012ae2/image_wm/image.webp	      Pets > Reptiles > Python Snake	200.0	        /classifieds/qa8yaym6a-male-banana-pinstripe-pastel-lesser-royal-python-barnet/	          Organization	          Tony P.	sale	reptiles
15	      Phelsuma Lineata juveniles	      Phelsuma Lineata juveniles from 2021 breeding season.\nThese are the Bombetokensis sub-species.\n\nGrowing on nicely, feeding on insects and Pangea.\n\nx2 Available, Unsexed\n\nLast photo shows adult male pa	      https://assets.pets4homes.co.uk/image/9d785733-a402-4ea5-87e1-91588420f315/image_wm/image.webp	      Pets > Reptiles > Gecko	65.0	        /classifieds/if7j34rg5-phelsuma-lineata-juveniles-great-missenden/	          Person	          Daniel B.	sale	reptiles
16	      Leopard Gecko  Full set up	      2 years old Leopard gecko friendly, Girl for sale a full set of Terarium, Lights, Heating mat Thermometer with timer. dimensions of the terrarium 45cm X 45cm H 47cm	      https://assets.pets4homes.co.uk/image/7f3b2e7d-a20b-4a9a-bc3e-4321237372a7/image_wm/image.webp	      Pets > Reptiles > Leopard Gecko	120.0	        /classifieds/fu0cflrwx-leopard-gecko-full-set-up-sevenoaks/	          Person	          Peter S.	sale	reptiles
17	      Ball python	      He we have a Lovely male pastel ball python that I purchased for a friend a few weeks back and he let me down. So he is back up for sale as I'm unable to keep him. He is a nice calm snake and feeds ve	      https://assets.pets4homes.co.uk/image/8448f3ef-3fe9-4932-8970-1abba643fea1/image_wm/image.webp	      Pets > Reptiles > Python Snake	50.0	        /classifieds/rmvrzxt-m-ball-python-romford/	          Organization	          Dlreptiles	sale	reptiles
18	      Corn snake 	      This amazing guy is up for sale due to lowering our males in our collection. He is very big and friendly and has multiple genes in him that are mostly unknown. So will be best to prove him out. I can 	      https://assets.pets4homes.co.uk/image/303be792-12a5-4f1e-bfb4-3d4099e2038e/image_wm/image.webp	      Pets > Reptiles > Corn Snake	65.0	        /classifieds/fcwlplezd-corn-snake-romford/	          Organization	          Dlreptiles	sale	reptiles
19	      overweight snow corn snake	      rehomed this snow corn snake a few months ago now I am in need of rehousing again sadly she is a lovely snake has fatty deposits down her bottom half she will need someone who is able to have her out 	      https://assets.pets4homes.co.uk/image/19590623-d1f1-434d-ac37-14d331a390c1/image_wm/image.webp	      Pets > Reptiles > Corn Snake	0.0	        /classifieds/gyihuiafg-overweight-snow-corn-snake-london/	          Person	          j w.	adoption	reptiles
