	Title	Description	photo_link	category	price	url	seller_type	seller_name	listing_type	pet_type
0	      Horsefield Tortoise for stud	      Ziggy is a 12 year old healthy horsefield tortoise who has just reached sexual maturity. We think that this offers him an opportunity to ‘blow off some steam’ and due to the lack of tortoises currentl	      https://assets.pets4homes.co.uk/image/66e3ba28-9787-4019-b875-15d88936655c/image_wm/image.webp	      Pets > Reptiles > Tortoise	40.0	        /classifieds/vqw1wnxcm-horsefield-tortoise-for-stud-billericay/	          Organization	          Daisy  S.	stud	reptiles
1	      Stunning water dragon with viv 	      Stunning male water dragon and viv which is a year old. Fred our water dragon is 2 years old and really friendly. We’ve had him since a baby and he has a massive personality. He’s also been around you	      https://assets.pets4homes.co.uk/image/607d4f75-8558-4c9e-8053-27ee12cb419e/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	500.0	        /classifieds/fmsl6prfz-stunning-water-dragon-with-viv-hornchurch/	          Person	          samantha p.	sale	reptiles
2	      Male coral bearded dragon WITH FULL SETUP	      Having to move and won’t be able to take him, comes with whole set up, he has a harness too which I’m happy to let him go with, loves dubias and roaming around	      https://assets.pets4homes.co.uk/image/b2da914f-6281-4796-b525-d9980b9a28ce/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	200.0	        /classifieds/3qkqa3plq-male-coral-bearded-dragon-gravesend/	          Person	          Katie R.	sale	reptiles
3	      African spurred tortoise	      If you looking for a pet for a lifetime who quiet and friendly a spurred tortoise could be a good idea. Young friendly tortoise looking for new home. He's in amazing health and obsessed with eating an	      https://assets.pets4homes.co.uk/image/31d93f39-c76d-4e42-8f4a-2934d002d05e/image_wm/image.webp	      Pets > Reptiles > Tortoise	200.0	        /classifieds/ccfvssyqq-african-spurred-tortoise-grays/	          Person	          David U.	sale	reptiles
4	      Enchi Ball Python	      Female Enchi Ball Python Poss Het Pied Poss Het Axanthic Vpi. Feeding Weekly on small rat weaners. Good tempriment.	      https://assets.pets4homes.co.uk/image/090aed3f-3830-42e1-88c4-b5e2ccdbb683/image_wm/image.webp	      Pets > Reptiles > Python Snake	60.0	        /classifieds/ctbonryek-enchi-ball-python-rochester/	          Person	          Richard B.	sale	reptiles
5	      Ghoast Motley Het Moonglow	      Beautiful female doing everything she should. feeding on small rat weaners weekly. can provide a 4ft vivarium with everything needed for £100. 	      https://assets.pets4homes.co.uk/image/c8468ee1-9202-48c3-b7cf-eaab01a034ab/image_wm/image.webp	      Pets > Reptiles > Boa Snake	250.0	        /classifieds/mxmcmk8q9-ghoast-motley-het-moonglow-rochester/	          Person	          Richard B.	sale	reptiles
6	      Leopard Gecko  Full set up	      2 years old Leopard gecko friendly, Girl for sale a full set of Terarium, Lights, Heating mat Thermometer with timer. dimensions of the terrarium 45cm X 45cm H 47cm	      https://assets.pets4homes.co.uk/image/7f3b2e7d-a20b-4a9a-bc3e-4321237372a7/image_wm/image.webp	      Pets > Reptiles > Leopard Gecko	120.0	        /classifieds/fu0cflrwx-leopard-gecko-full-set-up-sevenoaks/	          Person	          Peter S.	sale	reptiles
7	      horsefield tortoise 	      Tortoise 6 years old includes full set up lights and 7ft table leigh on sea essex SS9 4BQ everything provided 	      https://assets.pets4homes.co.uk/image/d02edf71-4ef3-42be-9172-320c12b11e97/image_wm/image.webp	      Pets > Reptiles > Tortoise	200.0	        /classifieds/kbikmyme1-horsefield-tortoise-leigh-on-sea/	          Person	          Rosetta K.	sale	reptiles
8	      Ball python	      He we have a Lovely male pastel ball python that I purchased for a friend a few weeks back and he let me down. So he is back up for sale as I'm unable to keep him. He is a nice calm snake and feeds ve	      https://assets.pets4homes.co.uk/image/8448f3ef-3fe9-4932-8970-1abba643fea1/image_wm/image.webp	      Pets > Reptiles > Python Snake	50.0	        /classifieds/rmvrzxt-m-ball-python-romford/	          Organization	          Dlreptiles	sale	reptiles
9	      Corn snake 	      This amazing guy is up for sale due to lowering our males in our collection. He is very big and friendly and has multiple genes in him that are mostly unknown. So will be best to prove him out. I can 	      https://assets.pets4homes.co.uk/image/303be792-12a5-4f1e-bfb4-3d4099e2038e/image_wm/image.webp	      Pets > Reptiles > Corn Snake	65.0	        /classifieds/fcwlplezd-corn-snake-romford/	          Organization	          Dlreptiles	sale	reptiles
