	Title	Description	photo_link	category	price	url	seller_type	seller_name	listing_type	pet_type
0	      Male crested gecko	      My male crested is around 1 and a half years old and I'm interested to see if he will breed as we are coming into mating season.	      https://assets.pets4homes.co.uk/image/e59dda5c-50d6-49aa-9212-1af2f0859d2d/image_wm/image.webp	      Pets > Reptiles > Gecko	1.0	        /classifieds/4cgvfse3b-male-crested-gecko-liverpool/	          Person	          Owen L.	stud	reptiles
1	      4 Bumblebee Dart Frog Adults	      4 adult dendrobates leucomelas bumblebee dart frogs.\n\nAll eating dusted fruit flies. Approx 2 years old.\n\nThey are old enough to be sexed. 3 and 4 are very likely to be males. The rest are difficult t	      https://assets.pets4homes.co.uk/image/4f24a167-1280-483e-855b-5648fb35839e/image_wm/image.webp	      Pets > Reptiles > Frog	70.0	        /classifieds/hdfucqz8d-4-bumblebee-dart-frog-adults-stockport/	          Person	          John A.	sale	reptiles
2	      3 Dendrobates Auratus Green and Black Dart Frogs	      3 adult dendrobates auratus green and black dart frogs.\n\nAll eating dusted fruit flies. Approx 2 years old.\n\nLikely all males, however that's not a guarantee.\n\nCollection from Stockport or i can have 	      https://assets.pets4homes.co.uk/image/2ae70e85-5daa-4bee-a614-7f180647f6b3/image_wm/image.webp	      Pets > Reptiles > Frog	70.0	        /classifieds/c5mlk0vkb-3-dendrobates-auratus-green-and-black-dart-frogs-stockport/	          Person	          John A.	sale	reptiles
3	      Corn & King Snakes	      Unsexed corn snake. Unsexed King Snake\n\nDouble viv & sack of substrate.\n\nCorn is in bottom viv, King snake in top viv.\n\nCorn is happy to be handled.\nKing can be a bit snappy.\n\nCollection Only (Darwen,	      https://assets.pets4homes.co.uk/image/f45f7a7b-7968-47bd-807e-45cc42c277d1/image_wm/image.webp	      Pets > Reptiles > Corn Snake	50.0	        /classifieds/qpw2oa4cl-corn-king-snakes-darwen/	          Person	          Linda T.	sale	reptiles
4	      9 month old Yeman Chameleon&set up	      This is cammy she is a 9 month old chameleon who is looking for a new home as I am moving to another country, she is a lovely chameleon who needs someone who will look after her well	      https://assets.pets4homes.co.uk/image/3fbd892c-a509-4f44-ab4a-0be4d4809d55/image_wm/image.webp	      Pets > Reptiles > Chameleon	150.0	        /classifieds/cccs7j-s-9-month-old-yeman-chameleonset-up-oldham/	          Person	          Matthew R.	sale	reptiles
5	      Orange bearded dragon for sale 	      Unfortunately I have to re home my bearded dragon due to no fault of its own. I think it’s a male but it’s too young to tell. He is very friendly and likes to be handled. If you have any questions ple	      https://assets.pets4homes.co.uk/image/11c66b31-6ad5-4f6d-bcb6-44a564f48207/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	150.0	        /classifieds/r-xvyxle2-orange-bearded-dragon-for-sale-manchester/	          Person	          Makayla K.	sale	reptiles
6	      Corn snakes for sale males and females 3 genes	      Baby corn snakes all Amel het Motley and Caramel or Motley Amel het Caramel. Good eaters, shedding and pooping as they should. All hatched between the 4th and the 8th of April. Great little pets with 	      https://assets.pets4homes.co.uk/image/44808766-bc6e-4f3c-9e84-61f2e477816d/image_wm/image.webp	      Pets > Reptiles > Corn Snake	60.0	        /classifieds/6dzwug7dc-corn-snakes-for-sale-males-and-females-3-genes-bolton/	          Person	          Chrissie O.	sale	reptiles
7	      horsfield tortoise	      horsfield tortoise, he is very loved we cant take him when we move unfortunately. he loves his warm baths fresh food and especially kale! he is great loves a run around and good being handled he is us	      https://assets.pets4homes.co.uk/image/620998f1-005e-4c84-882e-8baa0d7638ee/image_wm/image.webp	      Pets > Reptiles > Tortoise	200.0	        /classifieds/kwwdc-ots-horsfield-tortoise-hyde/	          Person	          Kim S.	sale	reptiles
8	      Pac man frog 	      Very cute little green pac man frog. Will sell separately for £45 or with set up for £100. Collection only 	      https://assets.pets4homes.co.uk/image/74c92952-b34c-436a-9ded-ad7eb3366189/image_wm/image.webp	      Pets > Reptiles > Frog	45.0	        /classifieds/okywfs6bo-pac-man-frog-huddersfield/	          Person	          Courtney D.	sale	reptiles
9	      Crested gecko	      Looking for a living home. Need proof of set up or can sell with viv for extra £50. She’s friendly and eats insects and Pangea well 	      https://assets.pets4homes.co.uk/image/41d05a7f-31ef-46c3-b5c2-af84676d204e/image_wm/image.webp	      Pets > Reptiles > Gecko	100.0	        /classifieds/h5vzuyffm-crested-gecko-huddersfield/	          Person	          Courtney D.	sale	reptiles
