	Title	Description	photo_link	category	price	url	seller_type	seller_name	listing_type	pet_type
0	      Male crested gecko	      My male crested is around 1 and a half years old and I'm interested to see if he will breed as we are coming into mating season.	      https://assets.pets4homes.co.uk/image/e59dda5c-50d6-49aa-9212-1af2f0859d2d/image_wm/image.webp	      Pets > Reptiles > Gecko	1.0	        /classifieds/4cgvfse3b-male-crested-gecko-liverpool/	          Person	          Owen L.	stud	reptiles
1	      Corn snakes for sale males and females 3 genes	      Baby corn snakes all Amel het Motley and Caramel or Motley Amel het Caramel. Good eaters, shedding and pooping as they should. All hatched between the 4th and the 8th of April. Great little pets with 	      https://assets.pets4homes.co.uk/image/44808766-bc6e-4f3c-9e84-61f2e477816d/image_wm/image.webp	      Pets > Reptiles > Corn Snake	60.0	        /classifieds/6dzwug7dc-corn-snakes-for-sale-males-and-females-3-genes-bolton/	          Person	          Chrissie O.	sale	reptiles
2	      Male axolotl 	      Unfortunately I'm having to rehome my gorgeous wild type axolotl. Unsure of when he was born exactly but he's still young as hes still growing, we got him August 2021. Fed on pellets and worms which w	      https://assets.pets4homes.co.uk/image/28b12bc0-24b7-4e73-82b7-b01d761e0560/image_wm/image.webp	      Pets > Reptiles > Axolotl	40.0	        /classifieds/rtxgov46n-male-axolotl-winsford/	          Person	          Aoife D.	sale	reptiles
3	      Gargoyle gecko	      Gargoyle gecko unsexed around 7 months old cool little thing looking for new home can come with temporary home but will need a bigger enclosure soon 	      https://assets.pets4homes.co.uk/image/934c56c5-f6dc-498e-b4e6-194e02339011/image_wm/image.webp	      Pets > Reptiles > Gecko	125.0	        /classifieds/pjgpha1wt-gargoyle-gecko-manchester/	          Organization	          Ben G.	sale	reptiles
4	      Emoji pied royal python 	      Male pied royal python with emoji smile on his back hatched 24th April feeding on fluffy mice every 5days beautiful looking boy 	      https://assets.pets4homes.co.uk/image/6a37417b-899b-4153-999b-474e5c2cabae/image_wm/image.webp	      Pets > Reptiles > Python Snake	375.0	        /classifieds/mfqqwwogg-emoji-pied-royal-python-manchester/	          Organization	          Ben G.	sale	reptiles
5	      Pinstripe pied royal python	      Female pinstripe pied royal python hatched 24th April drop feeding every 5 days on fluffy mice ready for her new home 	      https://assets.pets4homes.co.uk/image/060ace53-b3c6-4af9-99b0-8f8f22a7e18f/image_wm/image.webp	      Pets > Reptiles > Python Snake	400.0	        /classifieds/oyg4ftyvc-pinstripe-pied-royal-python-manchester/	          Organization	          Ben G.	sale	reptiles
6	      Gargoyle gecko	      Unsexed gargoyle gecko for sale around 7 months old can come with complete bio active setup £600 or just the gecko £125 , setup includes tank fully planted with drainage point on the bottom led light 	      https://assets.pets4homes.co.uk/image/2af88fd9-1d0e-40bb-a25a-78719ef72b56/image_wm/image.webp	      Pets > Reptiles > Gecko	125.0	        /classifieds/mmuv6i6zf-gargoyle-gecko-manchester/	          Organization	          Ben G.	sale	reptiles
7	      male Horsefield tortoise	      re advertised due to time waster. I have what I believe is a male horsefield tortoises. Approx 3.5 years old. I bought him in March 2019 and I think he was about 6mths then. For sale as I just don’t h	      https://assets.pets4homes.co.uk/image/cf178c64-f4ab-49d6-b254-d29a47f563d5/image_wm/image.webp	      Pets > Reptiles > Tortoise	80.0	        /classifieds/e7gsiilz-male-horsefield-tortoise-liverpool/	          Person	          Lea H.	sale	reptiles
8	      Horsefield Tortoise	      Daisy is my 18 month old horsefield tortoise. We are unsure of gender as you cant tell until they are five. Daisy is a very loving and sweet tortoise but she needs someone who has more time to give he	      https://assets.pets4homes.co.uk/image/db1a8aad-3d5a-42b3-aad4-972aa501caa7/image_wm/image.webp	      Pets > Reptiles > Tortoise	200.0	        /classifieds/fasdakiwf-horsefield-tortoise-skelmersdale/	          Person	          Emily M.	sale	reptiles
9	      Long legged staff cross	      Long legged staff cross puppy will be vet checked before collection welcome to view before paying deposit will be used to kids and cats 	      https://assets.pets4homes.co.uk/image/b3864fef-ac3b-4b96-bbee-6e9872c3db37/image_wm/image.webp	      Pets > Reptiles > Mixed Breed	600.0	        /classifieds/nhbx9etdy-long-legged-staff-cross-preston/	          Person	          Danielle T.	sale	reptiles
10	      Female bearded dragon	      Female dragon she's very friendly like locus and mealworm she's 18 month old comes with vivirium full set up must hobuo goof home	      https://assets.pets4homes.co.uk/image/9ef2dd45-72ec-4fa2-8ac8-24ce5d869f23/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	140.0	        /classifieds/gkywyrv-p-female-bearded-dragon-wigan/	          Person	          K K.	sale	reptiles
11	      Male bearded dragon	      He's 2 year old very friendly loves locus and greens comes with a 3ft vivarium and lights must go to a good home	      https://assets.pets4homes.co.uk/image/014fc5bc-35a9-4c8c-bfb0-264469ab3e32/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	140.0	        /classifieds/ctj8egmma-male-bearded-dragon-wigan/	          Person	          K K.	sale	reptiles
12	      beautiful baby crested gecko with temp enclosure	      beautiful very tame baby crested gecko extremely friendly easy to handle and healthy eating well on Rephasy and tiny crickets comes with a temporary faunaruim set up with heat mat bowls and plant to l	      https://assets.pets4homes.co.uk/image/03e6e4cb-2f2d-46fc-b380-ee1838de9d7b/image_wm/image.webp	      Pets > Reptiles > Gecko	40.0	        /classifieds/hyga48fcw-beautiful-baby-crested-gecko-with-temp-enclosure-birkenhead/	          Organization	          Electra	sale	reptiles
13	      Horsefield Tortoise 	      5 y old Horsefield tortoise come with full setup.We have got him more then 4 years. He is healthy, no problem at all.\nHis weight is 340 g	      https://assets.pets4homes.co.uk/image/7fee50f7-f705-4747-9497-aec84c5f8fa1/image_wm/image.webp	      Pets > Reptiles > Tortoise	180.0	        /classifieds/stba-7c3e-horsefield-tortoise-liverpool/	          Organization	          Wioletta M.	sale	reptiles
14	      4 year old male carpet python in Chorley	      4 year old male carpet python. he's about 6tf. most days he's lovely and loves being out and using my chair as a claiming frame but every now and again he can be grumpy and wants to stay in his viv. h	      https://assets.pets4homes.co.uk/image/bc5c366c-af41-491f-8de8-fa87bc52b086/image_wm/image.webp	      Pets > Reptiles > Python Snake	100.0	        /classifieds/2tec9cyri-4-year-old-male-carpet-python-in-chorley-chorley/	          Person	          Liam W.	sale	reptiles
15	      2 year old male sand boa in Chorley	      2 year old male sand boa. he is not a massive fan o being taken out off his tank but calms down very quickly. he is some sort of snow morph i just cant remember what now. only reason for sale is i nee	      https://assets.pets4homes.co.uk/image/a71e1f43-6d9c-4ae4-8a9b-7b81d2e0e262/image_wm/image.webp	      Pets > Reptiles > Boa Snake	80.0	        /classifieds/yalqlkppe-2-year-old-male-sand-boa-in-chorley-chorley/	          Person	          Liam W.	sale	reptiles
16	      Columbian rainbow boa	      3 year old Columbian rainbow boa, lovely to handle, great eater never misses a meal. only reason for sale is i need to down size my collection due to moving to smaller house\n\nfew other snakes up for s	      https://assets.pets4homes.co.uk/image/bfb3e03c-1eda-4477-b33b-6965a3543ced/image_wm/image.webp	      Pets > Reptiles > Boa Snake	80.0	        /classifieds/vyqjr-z0z-columbian-rainbow-boa-chorley/	          Person	          Liam W.	sale	reptiles
17	      free unwanted corn snake	      Bought off a owner with another snake, however she isn't the best tamed when trying to reach for her. she does eventually calm down when out of her enclosure. would keep her but don't have time to tam	      https://assets.pets4homes.co.uk/image/2d0ae88a-8d9c-487d-bccf-c86fe43a0748/image_wm/image.webp	      Pets > Reptiles > Corn Snake	0.0	        /classifieds/tkc2qvfff-free-unwanted-corn-snake-manchester/	          Person	          Estelle M.	sale	reptiles
18	      Male Leopard Gecko 	      Such a Lovely Gecko, unfortunately we don’t  have time for him. He is ok With handling and is only 11 months but has reached adult size but is still growing.\nHe is a Carrot Tail x Chocolate Leopard Ge	      https://assets.pets4homes.co.uk/image/ac555878-9d4a-44d3-bb68-c39eea526732/image_wm/image.webp	      Pets > Reptiles > Leopard Gecko	45.0	        /classifieds/qlg-ppep-male-leopard-gecko-bootle/	          Person	          christine b.	sale	reptiles
19	      Panther chameleon 	      Got 3 baby panther for sale definitely males \nEating well on fruit flys and super small crickets \n\nThinking about keeping them to see how the turn out like but also accepting offers 	      https://assets.pets4homes.co.uk/image/96f4c5d7-9a8f-4477-9569-3c014c3d6938/image_wm/image.webp	      Pets > Reptiles > Chameleon	0.0	        /classifieds/iin-pviam-panther-chameleon-wigan/	          Person	          Adam L.	sale	reptiles
20	      CB21 Albino Pacman Frog	      Beautiful frog ready for a new home, eating well and loves a good bath and shower, very tame.\n\n£30 for frog, £35 for frog and its rub set up.	      https://assets.pets4homes.co.uk/image/5ea44189-1c7b-4eaf-840c-833a959b0968/image_wm/image.webp	      Pets > Reptiles > Frog	30.0	        /classifieds/66kjw8aes-cb21-albino-pacman-frog-widnes/	          Person	          Kam S.	sale	reptiles
21	      6YO Male Albino Western Hognose	      Mika is a rehabilitation project and for experienced owners only. I will not be selling him as a pet to an inexperienced snake owner. The price is to make sure he goes to a serious keeper who will be 	      https://assets.pets4homes.co.uk/image/6dd5aa8e-cb37-4ad5-8e70-04bc01554e64/image_wm/image.webp	      Pets > Reptiles > Snake	80.0	        /classifieds/fpaahubn6-6yo-male-albino-western-hognose-altrincham/	          Person	          Sophie C.	adoption	reptiles
22	      Meet Dart the Pink Leucistic 'Lucy' Axolotl 	      I have for rehoming Dart (named from Stranger Things) a Pink Leucistic 'Lucy' the blackish - Blue eyed Axolotl.\nWe believe he is a 'he' due to his cloaca. (Bump located behind back legs)\nA perfect exa	      https://assets.pets4homes.co.uk/image/48877a9a-0d42-43d5-b3e8-da1701c07648/image_wm/image.webp	      Pets > Reptiles > Axolotl	150.0	        /classifieds/tmj-akk6s-meet-dart-the-pink-leucistic-lucy-axolotl-liverpool/	          Person	          Gem M.	adoption	reptiles
23	      Bearded Dragon	      Beautiful bearded dragon 2 years old free to a good home.  We have a 3 food tank that you can take and a 4ft.  The 4ft I built but screws need tightening as I haven’t done the best at it.  Includes fu	      https://assets.pets4homes.co.uk/image/38b6403b-77df-423d-93df-ce9528abb6ce/image_wm/image.webp	      Pets > Reptiles > Dragon	0.0	        /classifieds/v4hlrr5ff-bearded-dragon-warrington/	          Person	          Julie W.	adoption	reptiles
24	      2 young budgies and cage setup	      2 sweet young happy budgies one blue and one yellow/green. have started to be tamed but we are sadly having to rehome home them due to allergies. They are only 10-11 weeks old. They have a large very 	      https://assets.pets4homes.co.uk/image/d99cc99e-30f2-4b36-a515-878c05ec55c5/image_wm/image.webp	      Pets > Birds > Budgerigars	150.0	        /classifieds/edcsk-ke-2-young-budgies-and-cage-setup-wirral/	          Person	          Dan B.	sale	birds
25	      WHITE FACED SCOPS CHICKS	      white faced scops chicks just hatched will be hand / creche reared from 7 days old & willing to let them go from 14 days old to knowledgeable homes for rearing on 	      https://assets.pets4homes.co.uk/image/232b12a4-9571-4c10-8c25-0d900ac8b495/image_wm/image.webp	      Pets > Birds > Softbills	230.0	        /classifieds/zrgmmg1df-white-faced-scops-chicks-manchester/	          Organization	          graham d.	sale	birds
26	      YOONG CONURE BIRD WITH CAGE AND MATCHING STAND	      GREEN CHEEK CONURE BIRD \nSEMI TAME \nAPPROXIMATELY \n2years 6 months of age \nSEMI TAME ..\nUNSURE OF SEX\n\nCOMPLETE \nWITH\nCAGE AND MATCHING STAND \n£155\nLOCAL DELIVERY POSSIBLE	      https://assets.pets4homes.co.uk/image/1fc0fb8d-6961-4673-89d0-04bbedc47df8/image_wm/image.webp	      Pets > Birds > Conures	155.0	        /classifieds/hm1yuahtr-yoong-conure-bird-with-cage-and-matching-stand-liverpool/	          Person	          JOHN H.	sale	birds
27	      Beautiful male Kakariki parakeet for sale 	      Please do not message if you are not serious. \nAbout 15 weeks old \nComes with cage toys and food \nFriendly, very gentle. Will land on you and step up. Loves to be let out to fly. \nOnly rehoming due to	      https://assets.pets4homes.co.uk/image/3eb296aa-aa13-4d15-96a6-a1e796a91220/image_wm/image.webp	      Pets > Birds > Parakeets	90.0	        /classifieds/kjury2qil-beautiful-male-kkriki-for-sale-blackpool/	          Person	          Rachael H.	sale	birds
28	      HAND-REARED BABY GALAH COCKATOO	      Hand-reared African Grey Baby Parrots ready soon. All my babies are hand-reared from 3 weeks old are all super-tame and handled daily. They are used to being around small children as well as a busy ho	      https://assets.pets4homes.co.uk/image/170cac97-75d5-4da8-adab-483fde90758d/image_wm/image.webp	      Pets > Birds > Cockatoo	1475.0	        /classifieds/sbpzwbxjf-hand-reared-baby-galah-cockatoo-bolton/	          Organization	          NAMAS PETS	sale	birds
29	      2 budgies male and female.	      2 budgies male and female. Blue and white male, green and yellow female. need re homing due to not having the time or space for them any more. In a medium/ large cage with a water and food bowl and an	      https://assets.pets4homes.co.uk/image/0031ffa7-709c-40ae-8da9-a256119d73d1/image_wm/image.webp	      Pets > Birds > Budgerigars	50.0	        /classifieds/qsgyh50xg-2-budgies-male-and-female-wigan/	          Person	          Jay A.	sale	birds
30	      Finchies	      I have lovely finchies for sale and they are famale and male. Price is £10 for each and pick up Saltney, Chester.	      https://assets.pets4homes.co.uk/image/4f82e725-3472-47fc-bfd3-ccbadb652db9/image_wm/image.webp	      Pets > Birds > Finches	10.0	        /classifieds/tu5d31qhf-finchies-chester/	          Person	          Marlena G.	sale	birds
31	      Beautiful Pair of Peach Faced Lutino Lovebirds 	      Beautiful Pair of young Peach Faced Lutino Lovebirds, very playful happy birds. They are around 5 months old.	      https://assets.pets4homes.co.uk/image/85172fb3-262f-4797-992e-8101714a2394/image_wm/image.webp	      Pets > Birds > Lovebirds	60.0	        /classifieds/nw2uia4e5-beautiful-pair-of-peach-faced-lutino-lovebirds-liverpool/	          Organization	          Debbie E.	sale	birds
32	      beautiful very friendly cockatiel	      beautiful 1 year old cockatiel very friendly hand tame eating well want her to go to a home where she will be out of a cage as much as she can as she absolutely loves it but I can’t let her out as muc	      https://assets.pets4homes.co.uk/image/217141be-504b-43dd-ba07-a907d6ecb448/image_wm/image.webp	      Pets > Birds > Cockatiels	70.0	        /classifieds/fmmekgcb9-beautiful-very-friendly-cockatiel-birkenhead/	          Organization	          Electra	sale	birds
33	      Young Healthy Budgies	      We have these three lovely budgies ready to leave now very calm and healthy.\n\nVery easy to tame and can become a for ever pet for every home.\n\nGrab your deal now.	      https://assets.pets4homes.co.uk/image/9212ceee-fd9a-4317-aa47-a5ab22f19b7a/image_wm/image.webp	      Pets > Birds > Budgerigars	20.0	        /classifieds/pqhouiovn-young-healthy-budgies-liverpool/	          Person	          Mike A.	sale	birds
34	      Indian ringnack	      Indian ringneck, talking parrot.very beautiful healthy and lovely. very easy to train, this bird is amazing quickly used to with children and adults very friendly,,5 month old male female available an	      https://assets.pets4homes.co.uk/image/df7c54f8-b268-4566-9f69-f27597be19b1/image_wm/image.webp	      Pets > Birds > Ringnecks	120.0	        /classifieds/znwzw2zgq-indian-ringnack-bolton/	          Organization	          Sikander H.	sale	birds
35	      2 budgies 	      I have a male and female budgie for sale £50 for the 2 budgies and breeding cage. Best to go to someone who knows what they are doing or has good experience with budgies 	      https://assets.pets4homes.co.uk/image/fec311f8-ae47-4ed4-ada7-9cdaabb71f49/image_wm/image.webp	      Pets > Birds > Budgerigars	50.0	        /classifieds/7gvzxnc9p-2-budgies-liverpool/	          Person	          Lisa H.	sale	birds
36	      cockatiels for sale	      I have male and female cockatiels for sale all are close rung and very healthy birds sing beautifully and all are hand tamed they can also learn to talk yellow cockatiels £120 white cockatiels are £12	      https://assets.pets4homes.co.uk/image/897c15e3-d545-45fb-9679-7fa4e7ad26ec/image_wm/image.webp	      Pets > Birds > Cockatiels	85.0	        /classifieds/f5kmnzwzk-cockatiels-for-sale-salford/	          Person	          susan s.	sale	birds
37	      Pair of Parakeets 	      Pair of bonded parakeets for sale, not breeding. Only selling as I don’t have time for them anymore. Price includes large cage and accessories. Offers accepted.	      https://assets.pets4homes.co.uk/image/9537865c-b1e4-49a9-80bd-575319a0257e/image_wm/image.webp	      Pets > Birds > Parakeets	350.0	        /classifieds/f2knp6ufx-pair-of-parakeets-liverpool/	          Person	          Poppy B.	sale	birds
38	      Baby handreared cockatiels 	      6 x silly tame handreared cockatiels not sure of sexes of them as yet I can guarantee that the new owners will be very happy\nI've handreared hundreds of various parrakets/parrots over the last 10 year	      https://assets.pets4homes.co.uk/image/2aad5be8-627e-42b4-b809-e0200a64d82a/image_wm/image.webp	      Pets > Birds > Cockatiels	150.0	        /classifieds/bdiddabnq-baby-handreared-cockatiels-wigan/	          Organization	          Jason	sale	birds
39	      canary	      good and healthy canary bird born in 2020\nmale and female \ncollected in Liverpool\nplz collect with your owner cage	      https://assets.pets4homes.co.uk/image/a9d1eaae-095d-440a-a11d-8d2336669ec1/image_wm/image.webp	      Pets > Birds > Mixed Breed	35.0	        /classifieds/ujdbvzkoc-canary-liverpool/	          Organization	          H A.	sale	birds
40	      canary	      good and healthy canary bird born in 2020\nmale and female \ncollected in Liverpool\nplz collect with your owner cage	      https://assets.pets4homes.co.uk/image/f9975567-4602-4c60-8a5d-7b5b4e200bbc/image_wm/image.webp	      Pets > Birds > Mixed Breed	35.0	        /classifieds/przsjjes-canary-liverpool/	          Organization	          H A.	sale	birds
41	      Quaker parakeet 	      3 Yr old big healthy female not a pet not tame a aviary only bird wants to breed no male hence sale or willing to buy a male may swap for other birds \nCan deliver for fuel cost 	      https://assets.pets4homes.co.uk/image/dbcd3db5-6a89-48cf-aee5-08d7fa608a75/image_wm/image.webp	      Pets > Birds > Parakeets	180.0	        /classifieds/nvwugi-jy-quaker-parakeet-southport/	          Organization	          Lisa s	sale	birds
42	      Canary two for adoption 	      One female , and crested male both beautiful birds friendly and full of song! \nLooking for new home for them . Hoylake area	      https://assets.pets4homes.co.uk/image/2278f2bc-cbf3-4838-af10-6d0b71b0ab3d/image_wm/image.webp	      Pets > Birds > Canaries	20.0	        /classifieds/poz6ld921-canary-two-for-adoption-wirral/	          Person	          Nichola L.	adoption	birds
43	      have a good heart bird rescue in Bolton	      Hi I am a self funded pet bird rescue in Bolton and I take care of birds that need to be rehomed the birds stay with me for the rest of there days and I also take disabled and aggressive behavior bird	      https://assets.pets4homes.co.uk/image/5820f50b-e1f8-4e38-a4c7-caeef739fe12/image_wm/image.webp	      Pets > Birds > Mixed Breed	123.0	        /classifieds/9crq4sdfv-have-a-good-heart-bird-rescue-in-bolton-bolton/	          Organization	          Lee K.	adoption	birds
44	      •Cream colourpoint•stud duties•blood group B	      Cream Colourpointed male for stud duties ONLY . Big powerful and muscular body (weight around 8kg ) he has not reached his full potential weight !! \n\nZeus is cream colourpointed and is gorgeous, big a	      https://assets.pets4homes.co.uk/image/1ede90cb-2682-4a99-bbe9-49ad86b47531/image_wm/image.webp	      Pets > Cats > British Shorthair	200.0	        /classifieds/o6-2jmdxx-cream-colourpointed-british-shorthairgccf-reg-bolton/	          Organization	          MTWCats	stud	cats
45	      Gccf lilac stud **STUD duties ONLY**	      *STUD ONLY* Gorgeous, friendly lilac male available for stud duties only. He is an absolute true gentleman and treats his ladies well. He knows his job and has sired many chunky litters (photos includ	      https://assets.pets4homes.co.uk/image/277443e5-4f45-4e33-8a9a-924ee60761ee/image_wm/image.webp	      Pets > Cats > British Shorthair	180.0	        /classifieds/2914887-gccf-lilac-stud-stud-duties-only-manchester/	          Organization	          Elizabeth b.	stud	cats
