	Title	Description	photo_link	category	price	url	seller_type	seller_name	listing_type	pet_type
0	      Horsefield Tortoise for stud	      Ziggy is a 12 year old healthy horsefield tortoise who has just reached sexual maturity. We think that this offers him an opportunity to ‘blow off some steam’ and due to the lack of tortoises currentl	      https://assets.pets4homes.co.uk/image/66e3ba28-9787-4019-b875-15d88936655c/image_wm/image.webp	      Pets > Reptiles > Tortoise	40.0	        /classifieds/vqw1wnxcm-horsefield-tortoise-for-stud-billericay/	          Organization	          Daisy  S.	stud	reptiles
1	      Female crutchfield albino iguana very tame 	      Dora has the best temperament, very tame, loves a bath. Feeding well on fresh greens and small amounts of fruit. Imported from America. Owned her for almost 2 years. Looking for a new home due to pers	      https://assets.pets4homes.co.uk/image/7a26b895-06f0-4023-961d-b3f1ca85621d/image_wm/image.webp	      Pets > Reptiles > Iguana	650.0	        /classifieds/0ngeftdfn-female-crutchfield-albino-iguana-very-tame-bury-saint-edmunds/	          Organization	          Countrytales	sale	reptiles
2	      Trigger - Male 6.5 years old Horsefield Tortoise	      Hi, Trigger is six and a half, in excellent health. He has always been fed dandelions and flowers. \nHe comes when he hears my voice and sprint quite fast across the garden\nHe LOVES sunbathing. \n\nI am 	      https://assets.pets4homes.co.uk/image/815c0e39-5248-429c-8682-e37cfdf40dd3/image_wm/image.webp	      Pets > Reptiles > Tortoise	250.0	        /classifieds/flchfp4ww-trigger-male-65-years-old-horsefield-tortoise-woodford-green/	          Person	          Annie E.	sale	reptiles
3	      Breeding group of Herman's tortoise 	      Hello I have for sale a breeder group of cb18 Herman's tortoise one male two female sex guaranteed. All fresh blood lines not from this country as I imported them myself they are also heath checked. A	      https://assets.pets4homes.co.uk/image/a4e0edfa-4e45-4876-9412-e3eb2709d03a/image_wm/image.webp	      Pets > Reptiles > Hermann Tortoise	600.0	        /classifieds/cocpy-v3x-breeding-group-of-hermans-tortoise-waltham-cross/	          Organization	          Graham s.	sale	reptiles
4	      hypo het trans zero bearded dragon	      proven hypo het trans zero bearded dragon for sale. produced some great clutches for me. only selling as getting out the hobby due to work commitments	      https://assets.pets4homes.co.uk/image/29cbc717-8074-49d8-aebc-50d66a6bfcf4/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	300.0	        /classifieds/sbrnujie4-hypo-het-trans-zero-bearded-dragon-barnet/	          Organization	          Tony P.	sale	reptiles
5	      Male banana pinstripe pastel lesser royal python	      selling my male royal due to coming out the hobby due to work commitments. recently been paired to my female spider who is also for sale. any questions please message	      https://assets.pets4homes.co.uk/image/0f1dc5c3-9609-4e60-a2fd-ccd34a012ae2/image_wm/image.webp	      Pets > Reptiles > Python Snake	200.0	        /classifieds/qa8yaym6a-male-banana-pinstripe-pastel-lesser-royal-python-barnet/	          Organization	          Tony P.	sale	reptiles
6	      2 yr old male bearded dragon 	      Selling my 2yr old male dragon absolute perfect healthy example \nVery well cared for scaling down collection now ,hes so friendly and just wants to chill out with you love superworms ,locusts, and his	      https://assets.pets4homes.co.uk/image/be866389-5f0f-4ca6-8fb0-8160ad861f25/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	130.0	        /classifieds/nc9fztbkd-2-yr-old-male-bearded-dragon-broxbourne/	          Person	          Marc G.	sale	reptiles
7	      Bearded dragons	      Unfortunately my boys are up for sale I've recently moved an had to down size an im now having to down size on vivariums I have a male citus Zak age unknown due to use rescuing him 2 years ago an I ha	      https://assets.pets4homes.co.uk/image/b3586845-c73f-45e0-8c07-043b95f04862/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	150.0	        /classifieds/kvq-ruhgt-bearded-dragons-braintree/	          Person	          Rachel M.	sale	reptiles
8	      Ball python	      He we have a Lovely male pastel ball python that I purchased for a friend a few weeks back and he let me down. So he is back up for sale as I'm unable to keep him. He is a nice calm snake and feeds ve	      https://assets.pets4homes.co.uk/image/8448f3ef-3fe9-4932-8970-1abba643fea1/image_wm/image.webp	      Pets > Reptiles > Python Snake	50.0	        /classifieds/rmvrzxt-m-ball-python-romford/	          Organization	          Dlreptiles	sale	reptiles
9	      Corn snake 	      This amazing guy is up for sale due to lowering our males in our collection. He is very big and friendly and has multiple genes in him that are mostly unknown. So will be best to prove him out. I can 	      https://assets.pets4homes.co.uk/image/303be792-12a5-4f1e-bfb4-3d4099e2038e/image_wm/image.webp	      Pets > Reptiles > Corn Snake	65.0	        /classifieds/fcwlplezd-corn-snake-romford/	          Organization	          Dlreptiles	sale	reptiles
10	      Corn snake. Huge male 	      This is a reluctant sale but we were originally sold this snake as a female and it turns out to be a male. He is a lovely guy but can be defensive at times. One of the biggest corns I've seen. He has 	      https://assets.pets4homes.co.uk/image/653ba07f-b86b-48d3-a90f-333088e0529e/image_wm/image.webp	      Pets > Reptiles > Corn Snake	55.0	        /classifieds/yglc0nqpp-corn-snake-huge-male-romford/	          Organization	          Dlreptiles	sale	reptiles
11	      Royal python	      emperor pinstripe royal python. approximately 2 years old. comes with tank, accessories and dimming thermostat. he is comfortable be handled. price negotiable. collection only. he is currently on one 	      https://assets.pets4homes.co.uk/image/00c2231f-38b0-496d-bad0-70c5543f2154/image_wm/image.webp	      Pets > Reptiles > Python Snake	250.0	        /classifieds/b6nqgw828-royal-python-harlow/	          Person	          Sarah w.	sale	reptiles
12	      2 turtles for sale 	      2 beautiful turtles for sale. Going out of country and sadly needs to sell these beautiful turtles. Had them for over a year and we loved them.\nIncludes water tank, light, temperature rod, water bump.	      https://assets.pets4homes.co.uk/image/76e7cbda-395e-4a64-bb94-909888d54ad2/image_wm/image.webp	      Pets > Reptiles > Turtle	300.0	        /classifieds/kp-ygaw8g-2-turtles-for-sale-london/	          Person	          Waseem A.	sale	reptiles
13	      Female collard lizard 	      Unfortunately I am putting my baby girl up sale she is roughly 10 months old, she's friendly an likes being held, she eats amazingly lively bouncy little girl I love her to bits but I am due to move a	      https://assets.pets4homes.co.uk/image/436da20e-1d29-4d75-b32d-f30569c6302b/image_wm/image.webp	      Pets > Reptiles > Lizard	100.0	        /classifieds/fahsz4pwf-female-collard-lizard-braintree/	          Person	          Rachel M.	sale	reptiles
14	      One beautiful albino left!	      I have one beautiful albino axolotl left. She has lovely gills with plenty of iridophores (shiny pigments) making her extra pretty. Please only inquire if you've done your research. These are complex 	      https://assets.pets4homes.co.uk/image/8a537b88-307c-41d9-8f90-5d5ce079f0e8/image_wm/image.webp	      Pets > Reptiles > Axolotl	15.0	        /classifieds/li1kokh4b-one-beautiful-albino-left-stevenage/	          Organization	          Georgina B.	sale	reptiles
15	      Woma Python	      Woma Python - Female\n2020\n\nFeeding, shedding and pooing as she should.\n\nShe is very food oriented so be prepared for the occasional bite. As you can see she can be handled though.\n\n	      https://assets.pets4homes.co.uk/image/5dc7d34b-b6bf-40b9-96ee-80f775843652/image_wm/image.webp	      Pets > Reptiles > Python Snake	200.0	        /classifieds/vl8kgkbf-woma-python-sandy/	          Person	          PAUL R.	sale	reptiles
16	      15 month old bearded dragon needs new home	      Comes with fully set up vivarium including UVB light heat lamp food and water bowls. Fake greenery. Mineral power for food and water drops. Will also chuck in any sand I have left	      https://assets.pets4homes.co.uk/image/7b2781a6-df3d-4cb5-b15f-f774d1a15ca1/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	200.0	        /classifieds/dxfhuyhtm-5month-old-bearded-dragon-needs-new-home-luton/	          Person	          Zoe B.	sale	reptiles
17	      Chinese Fire Belly Newt eggs X 4	      Chinese Fire Belly Newt eggs X 4 (Cynops Orientalis). See attached photo. \n£15 including p&p. These eggs are between two and five days old.  \n	      https://assets.pets4homes.co.uk/image/e5389c79-d1de-4dda-a052-ef9c1e78d610/image_wm/image.webp	      Pets > Reptiles > Newt	15.0	        /classifieds/fepxoil0u-chinese-fire-belly-newt-eggs-x-5-cambridge/	          Person	          Trevor  D.	sale	reptiles
18	      Boa constrictor and full set up 	      We are selling our boa constrictor\nHe was bought for our daughter last Christmas but unfortunately she doesn’t get him out enough. He currently eats large wiener rats, we believe it’s best he goes to 	      https://assets.pets4homes.co.uk/image/541d9570-db73-404b-b444-aff7a3229122/image_wm/image.webp	      Pets > Reptiles > Boa Snake	180.0	        /classifieds/mmzmfivyf-boa-constrictor-billericay/	          Organization	          Michael W.	sale	reptiles
19	      Khaleesi	      Here is my lovely Leopard Gecko (tangerine morph) her name is khaleesi and has a tonne of character. I'm sad to put her up for adoption however my new home is only allowing me to keep one of my pets s	      https://assets.pets4homes.co.uk/image/534e2409-8b2c-4c6c-8396-1dd81a2e499a/image_wm/image.webp	      Pets > Reptiles > Leopard Gecko	123456.0	        /classifieds/jfm4dit-l-khaleesi-maldon/	          Person	          Harry T.	adoption	reptiles
20	      Beautiful Corn Snake looking for a forever home!	      Mango - corn snake, suspected female. Mango came to us as her owners could no longer care for her. she is at least 5 years old with no health problems and very good with handling. she eats well with a	      https://assets.pets4homes.co.uk/image/501ea982-6511-4d5c-aa1a-93df92057344/image_wm/image.webp	      Pets > Reptiles > Corn Snake	25.0	        /classifieds/578gudoju-beautiful-corn-snake-looking-for-a-forever-home-hertford/	          Organization	          Bengeo Animal Care	adoption	reptiles
21	      Beautiful Hand Tamed Baby Budgie	      I am selling my beautiful hand tame budgies. Also we have got semi tame and untame budgie if you like. They are from 6 weeks to 8 weeks old and all different colours. They were fed with a syringe some	      https://assets.pets4homes.co.uk/image/b9b62ffc-1cca-43de-8ec6-589cbe4e1bf9/image_wm/image.webp	      Pets > Birds > Budgerigars	40.0	        /classifieds/3137247-beautiful-hand-tamed-baby-budgie-london/	          Organization	          Erdal S	sale	birds
22	      Beautiful mixed colour Budgies for Sale	      Beautiful various colour and different type of budgies for sale, aged is start between 2 to 12 months old.\n\nI have male and female budgies. They are all fed on high quality seed and they are all very 	      https://assets.pets4homes.co.uk/image/d38e04bf-c145-4ff4-9324-5fc704467235/image_wm/image.webp	      Pets > Birds > Budgerigars	30.0	        /classifieds/3368422-beautiful-semi-tamed-baby-budgies-for-sale-london/	          Organization	          Erdal S	sale	birds
23	      Young budgies for Sale 	      Hi I am selling my budgies due to work and I cannot give them time . The budgies are healthy and active . I feed them high quality budgie food . I will be including the cage and all the toys .I will a	      https://assets.pets4homes.co.uk/image/0ca3b0f8-7f84-4406-bd8e-96a4c9df86a0/image_wm/image.webp	      Pets > Birds > Budgerigars	120.0	        /classifieds/vvnuwevpq-young-budgies-for-sale-dagenham/	          Person	          Kabir A.	sale	birds
24	      Baby tame cinnamon cockatiel	      Tame Baby Cinnamon Cockatiel. Believed to be a male. Fully eating fresh vegetables and seed by himself. Just started being vocal. Collection Cambridge CB25	      https://assets.pets4homes.co.uk/image/8f15b90e-f8f2-430e-a8e6-d91b0e909fd4/image_wm/image.webp	      Pets > Birds > Cockatiels	120.0	        /classifieds/z-a6tw-7j-baby-tame-cinnamon-cockatiel-cambridge/	          Person	          Debbie j.	sale	birds
25	      BABY BUDGIES FOR SALE 	      FROM £35! Adorable baby budgies for sale. All colours available blue, white and yellow. We have been breeding budgies for 15+ yrs and have babies all year round and have eggs waiting to be hatched too	      https://assets.pets4homes.co.uk/image/fabc2e82-7402-4db5-8846-b658e8948e2d/image_wm/image.webp	      Pets > Birds > Budgerigars	35.0	        /classifieds/zrx1ugk8o-baby-budgies-for-sale-enfield/	          Organization	          Manolya	sale	birds
