	Title	Description	photo_link	category	price	url	seller_type	seller_name	listing_type	pet_type
0	      Baby horsfield tortoises 	      I have for sale some baby horsfield tortoises that are now ready to go off to their new homes. Each baby will come with information and care sheets, some limestone flour and lump chalk, and a lifetime	      https://assets.pets4homes.co.uk/image/c1aff8e0-2bea-4e93-9251-afc2e2c6569d/image_wm/image.webp	      Pets > Reptiles > Tortoise	99.0	        /classifieds/uhnmfxrit-baby-horsfield-tortoises-dereham/	          Organization	          Nick or Becky P.	sale	reptiles
1	      Male bearded dragon	      Hi! I'm unfortunately having to let my sweet bearded dragon go. He's such a lovely character. He doesn't like to be handled all of the time but once or twice a week is fine. For anymore information, p	      https://assets.pets4homes.co.uk/image/e8364460-bb67-4db6-9197-f8a8ed4e62a3/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	120.0	        /classifieds/4gp0gx-tx-male-bearded-dragon-halesworth/	          Person	          Polly B.	sale	reptiles
2	      (2 pairs ready to go) Mourning gecko babies	      Hello,\n\nWe currently have two pairs of Mourning gecko's available for collection. (Lepidodactylus lugubris)\n\n3 weeks old:\n\nPair 01: 12/05/22\nPair 02: 15/05/22\n\n\nAll of them are still so tiny, beautifu	      https://assets.pets4homes.co.uk/image/87f7cbea-a2d8-4d41-8988-e431d0b7e5d9/image_wm/image.webp	      Pets > Reptiles > Lizard	35.0	        /classifieds/pove-vwxc-2-pairs-ready-to-go-mourning-gecko-babies-norwich/	          Person	          Lily D.	sale	reptiles
3	      Spur thigh Tortoise	      Spur-thigh Ibera Tortoise (born 2018) Expected to be Female, Hibernated each year and kept under heat UV lights in a tortoise table when weather is not acceptable, the rest of the time they are outsid	      https://assets.pets4homes.co.uk/image/981ac6dd-8f51-4a7e-9817-79459ba8bde3/image_wm/image.webp	      Pets > Reptiles > Tortoise	140.0	        /classifieds/bxg5ebuqc-spur-thigh-tortoise-great-yarmouth/	          Person	          Julian C.	sale	reptiles
4	      Sulcata babies	      Beautiful Sulcata Babies available. These are home bred in the uk, not foreign imports. They require year round access to heat and do not hibernate. Please do your research. Any advice just ask, alway	      https://assets.pets4homes.co.uk/image/e5f10811-ad51-4583-b8d9-d95a040ea2c6/image_wm/image.webp	      Pets > Reptiles > Tortoise	100.0	        /classifieds/nt3ueijui-sulcata-babies-norwich/	          Person	          Jack R.	sale	reptiles
5	      PACKMAN (HORNED FROG) 	      Frog 4sale,  feeding okay frozer mice, dubia roaches and other worms is favourite\nCan't tell current age as got from cousin that doesn't need anymore but it seems over 1year old and good size ( im sel	      https://assets.pets4homes.co.uk/image/5396c094-1a61-4341-bcec-7db960889cc0/image_wm/image.webp	      Pets > Reptiles > Frog	50.0	        /classifieds/6rhnsciiy-packman-horned-frog-norwich/	          Person	          Lolita N.	sale	reptiles
6	      crested gecko juvenile female for sale	      juvenile female crested gecko eating repashy fruit insects including moths crickets and wax worms. collection only Norwich	      https://assets.pets4homes.co.uk/image/4b348965-84aa-41a0-872f-b974464ce002/image_wm/image.webp	      Pets > Reptiles > Gecko	35.0	        /classifieds/nuw0csr2h-crested-gecko-juvenile-female-for-sale-norwich/	          Person	          Phil C.	sale	reptiles
7	      Bearded dragon	      I have to reluctantly re-homey lovely bearded dragon, move forces sale as I don't have anyone who can look after him, looking for £50 ovno 	      https://assets.pets4homes.co.uk/image/cd5705c8-5ffd-4a98-a60f-d40892eb8530/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	50.0	        /classifieds/eaxqixcjg-bearded-dragon-saxmundham/	          Person	          David W.	sale	reptiles
8	      Crested Gecko	      Crested Gecko, six months old. Eating well. beautiful colours. Very friendly nature and used to being handled daily. Can come with enclosure and all equipment for £100.	      https://assets.pets4homes.co.uk/image/d24a7b83-a99d-4026-b4d1-401125e1ae27/image_wm/image.webp	      Pets > Reptiles > Gecko	50.0	        /classifieds/tgejjnwwi-crested-gecko-halesworth/	          Person	          Holly R.	sale	reptiles
9	      Crested Gecko juvenile male CB 2021	      Juvenile male approx 15g eating repashy insects including wax worms and crickets.\nDropped tail when younger see pictures \nCollection only Norwich	      https://assets.pets4homes.co.uk/image/6a616514-71f4-4086-9137-0f6d7f9d6f45/image_wm/image.webp	      Pets > Reptiles > Gecko	25.0	        /classifieds/fxhsqkkpi-crested-gecko-juvenile-male-cbss-2021-norwich/	          Person	          Phil C.	sale	reptiles
