	Title	Description	photo_link	category	price	url	seller_type	seller_name	listing_type	pet_type
0	      2x MALE Horsefield Tortoise	      2x Male Horsefield Tortoise for sale, recently VET checked + claws & beaks trimmed.\n\nLooking to re-home to a suitable owner.\n\nOPEN TO REASONABLE OFFERS\nIf needed can come with a full Vivarium Set-Up (	      https://assets.pets4homes.co.uk/image/3d1331d1-dbb9-4cbb-a871-006a989186ae/image_wm/image.webp	      Pets > Reptiles > Tortoise	220.0	        /classifieds/dun2lokn8-2x-horsefield-tortoise-full-set-up-derby/	          Person	          Tim F.	sale	reptiles
1	      corn snake with full vivarium setup	      Hi all, I have a black and grey animalistic corn snake for sale. she is the most docile snake I have ever owned. would be brilliant for a first time owner, child or even a person looking for a snake. 	      https://assets.pets4homes.co.uk/image/be4618f2-21fd-4d19-b250-ca937fbcdf0b/image_wm/image.webp	      Pets > Reptiles > Corn Snake	120.0	        /classifieds/4a02zzktg-corn-snake-with-full-vivarium-setup-leicester/	          Person	          toby v.	sale	reptiles
2	      1.5 year old Herman’s tortoise	      1.5 year old, comes with certificate and vivarium including water bowl, food bowl and log house. good temperament and very good eater.	      https://assets.pets4homes.co.uk/image/e31c445d-9e95-4a2b-a91e-2a4fd610e18a/image_wm/image.webp	      Pets > Reptiles > Hermann Tortoise	200.0	        /classifieds/evgsihnwd-15-year-old-hermans-tortoise-derby/	          Person	          Shane D.	sale	reptiles
3	      Baby Mourning Geckos	      Grown on baby Mourning Geckos for sale.\n\nFeeding well on Reptile Supplies gecko diet, fruit flies, small crickets, buffalo worms and repashy. \n\nPlease note mourning geckos reproduce by parthenogenesis	      https://assets.pets4homes.co.uk/image/efa1360f-c23b-42a2-a7a2-47217be46b12/image_wm/image.webp	      Pets > Reptiles > Gecko	18.0	        /classifieds/01q5eccia-baby-mourning-geckos-chesterfield/	          Organization	          MMA Reptiles 	sale	reptiles
4	      hermann tortoises for sale at urban exotics	      Currently at urban exotics we have baby hermann tortoises for sale. \n\nThese tortoises are individually microchipped with appropriate a10 paperwork. \n\nAll our tortoises are kept under T5 uv lighting, a	      https://assets.pets4homes.co.uk/image/a57ffb33-2c72-49f5-b3aa-d873abc3069d/image_wm/image.webp	      Pets > Reptiles > Hermann Tortoise	150.0	        /classifieds/pkn-vecra-hermann-tortoises-for-sale-at-urban-exotics-nottingham/	          Organization	          Urban exotics	sale	reptiles
5	      Leopard Gecko's for sale	      Various Leopard Geckos for sale.\n\nMale 2021 - White and yellow mack snow tremper eclipse (red eyes) -£150\n\nMale 2021 - Blazing Blizzard het eclipse £60\n\nFemale 2021 - Tremper albino £60	      https://assets.pets4homes.co.uk/image/9582a3f6-30c5-4898-930c-ecdebcbd84f6/image_wm/image.webp	      Pets > Reptiles > Gecko	60.0	        /classifieds/vtbwl3ghl-leopard-geckos-for-sale-swadlincote/	          Organization	          Joe S.	sale	reptiles
6	      Banana cinnamon Ball Pythons	      Various Ball pythons for sale.\n\nMALE PASTEL BANANA CINNAMON £180\nMALE CINNAMON £80\nMALE LESSER HET GHOST/PIED £80\n\n\n	      https://assets.pets4homes.co.uk/image/04572c81-922d-4d2c-aaf7-c824f3ecc071/image_wm/image.webp	      Pets > Reptiles > Python Snake	80.0	        /classifieds/kiq4kyt1h-banana-cinnamon-ball-pythons-swadlincote/	          Organization	          Joe S.	sale	reptiles
7	      Beautiful hermann tortoise for sale	      Unfortunately we’re having to let our girl go due to no fault of her own, she is roughly 6/7 years old and about 15 cm long, the tortoise table is included in the price, if you wish not to have the en	      https://assets.pets4homes.co.uk/image/f70a4491-efe3-492b-9662-0a88dcbd2301/image_wm/image.webp	      Pets > Reptiles > Hermann Tortoise	250.0	        /classifieds/pd-ozwvyr-beautiful-hermann-tortoise-for-sale-sheffield/	          Person	          Grace C.	sale	reptiles
8	      Male bearded dragon	      This is Afton he’s a very tame and friendly bearded dragon handled daily feeds well he will come with everything he needs including a 4 ft white viv with tiled floor head lamp uv bulb and holder tank 	      https://assets.pets4homes.co.uk/image/f8698ffd-2369-4d53-a519-cffeeeed02a3/image_wm/image.webp	      Pets > Reptiles > Dragon	300.0	        /classifieds/uj3juqmuz-male-bearded-dragon-nottingham/	          Person	          Sonya B.	sale	reptiles
9	      Madagascan day gecko and bio active vivarium	      due to a change in circumstances I am sadly having to sell my Madagascan day gecko and his bio active vivarium with built in water fall system and uvb lighting setup. Julian is a great character eats 	      https://assets.pets4homes.co.uk/image/b9bc6bc4-f2f1-4cde-8581-199421d4210c/image_wm/image.webp	      Pets > Reptiles > Gecko	250.0	        /classifieds/nty-n-nw0-madagascan-day-gecko-and-bio-active-vivarium-burton-on-trent/	          Organization	          Hope W.	sale	reptiles
