	Title	Description	photo_link	category	price	url	seller_type	seller_name	listing_type	pet_type
0	      Male crested gecko	      My male crested is around 1 and a half years old and I'm interested to see if he will breed as we are coming into mating season.	      https://assets.pets4homes.co.uk/image/e59dda5c-50d6-49aa-9212-1af2f0859d2d/image_wm/image.webp	      Pets > Reptiles > Gecko	1.0	        /classifieds/4cgvfse3b-male-crested-gecko-liverpool/	          Person	          Owen L.	stud	reptiles
1	      4 Bumblebee Dart Frog Adults	      4 adult dendrobates leucomelas bumblebee dart frogs.\n\nAll eating dusted fruit flies. Approx 2 years old.\n\nThey are old enough to be sexed. 3 and 4 are very likely to be males. The rest are difficult t	      https://assets.pets4homes.co.uk/image/4f24a167-1280-483e-855b-5648fb35839e/image_wm/image.webp	      Pets > Reptiles > Frog	70.0	        /classifieds/hdfucqz8d-4-bumblebee-dart-frog-adults-stockport/	          Person	          John A.	sale	reptiles
2	      3 Dendrobates Auratus Green and Black Dart Frogs	      3 adult dendrobates auratus green and black dart frogs.\n\nAll eating dusted fruit flies. Approx 2 years old.\n\nLikely all males, however that's not a guarantee.\n\nCollection from Stockport or i can have 	      https://assets.pets4homes.co.uk/image/2ae70e85-5daa-4bee-a614-7f180647f6b3/image_wm/image.webp	      Pets > Reptiles > Frog	70.0	        /classifieds/c5mlk0vkb-3-dendrobates-auratus-green-and-black-dart-frogs-stockport/	          Person	          John A.	sale	reptiles
3	      Orange bearded dragon for sale 	      Unfortunately I have to re home my bearded dragon due to no fault of its own. I think it’s a male but it’s too young to tell. He is very friendly and likes to be handled. If you have any questions ple	      https://assets.pets4homes.co.uk/image/11c66b31-6ad5-4f6d-bcb6-44a564f48207/image_wm/image.webp	      Pets > Reptiles > Bearded Dragon	150.0	        /classifieds/r-xvyxle2-orange-bearded-dragon-for-sale-manchester/	          Person	          Makayla K.	sale	reptiles
4	      Plumed Basilisk trio group and full setup 	      Amazing group off plumed basilisk always lived together from baby's male and two females u can handle them all when they want to sometimes just hop on ur arm sometimes just let u grab them which is gr	      https://assets.pets4homes.co.uk/image/de41644f-7f5a-469b-b4c1-2e86b539fd17/image_wm/image.webp	      Pets > Reptiles > Lizard	325.0	        /classifieds/5v6i7yu0h-plumed-basilisk-trio-group-and-full-setup-stockport/	          Organization	          Blake M.	sale	reptiles
5	      Male axolotl 	      Unfortunately I'm having to rehome my gorgeous wild type axolotl. Unsure of when he was born exactly but he's still young as hes still growing, we got him August 2021. Fed on pellets and worms which w	      https://assets.pets4homes.co.uk/image/28b12bc0-24b7-4e73-82b7-b01d761e0560/image_wm/image.webp	      Pets > Reptiles > Axolotl	40.0	        /classifieds/rtxgov46n-male-axolotl-winsford/	          Person	          Aoife D.	sale	reptiles
6	      Gargoyle gecko	      Gargoyle gecko unsexed around 7 months old cool little thing looking for new home can come with temporary home but will need a bigger enclosure soon 	      https://assets.pets4homes.co.uk/image/934c56c5-f6dc-498e-b4e6-194e02339011/image_wm/image.webp	      Pets > Reptiles > Gecko	125.0	        /classifieds/pjgpha1wt-gargoyle-gecko-manchester/	          Organization	          Ben G.	sale	reptiles
7	      Emoji pied royal python 	      Male pied royal python with emoji smile on his back hatched 24th April feeding on fluffy mice every 5days beautiful looking boy 	      https://assets.pets4homes.co.uk/image/6a37417b-899b-4153-999b-474e5c2cabae/image_wm/image.webp	      Pets > Reptiles > Python Snake	375.0	        /classifieds/mfqqwwogg-emoji-pied-royal-python-manchester/	          Organization	          Ben G.	sale	reptiles
8	      Pinstripe pied royal python	      Female pinstripe pied royal python hatched 24th April drop feeding every 5 days on fluffy mice ready for her new home 	      https://assets.pets4homes.co.uk/image/060ace53-b3c6-4af9-99b0-8f8f22a7e18f/image_wm/image.webp	      Pets > Reptiles > Python Snake	400.0	        /classifieds/oyg4ftyvc-pinstripe-pied-royal-python-manchester/	          Organization	          Ben G.	sale	reptiles
9	      Gargoyle gecko	      Unsexed gargoyle gecko for sale around 7 months old can come with complete bio active setup £600 or just the gecko £125 , setup includes tank fully planted with drainage point on the bottom led light 	      https://assets.pets4homes.co.uk/image/2af88fd9-1d0e-40bb-a25a-78719ef72b56/image_wm/image.webp	      Pets > Reptiles > Gecko	125.0	        /classifieds/mmuv6i6zf-gargoyle-gecko-manchester/	          Organization	          Ben G.	sale	reptiles
