	Title	Description	photo_link	category	price	url	seller_type	seller_name	listing_type	pet_type
0	      Beautiful buck	      This buck has beautiful colouring. He's a siamese sable born out of seal point and blue. It's a reluctant sale as I need to cut back and I have decided to keep his dad instead. He have been proven twi	      https://assets.pets4homes.co.uk/image/f0ddcc38-7ee1-447a-bb3a-620baf4ba616/image_wm/image.webp	      Pets > Rabbits > Lionhead	35.0	        /classifieds/6tqdazmuj-beautiful-buck-barnsley/	          Organization	          Lakeview lionheads	sale	rabbits
1	      Beautiful mini lion lops 	      Here I have available this beautiful litter of mini lion lop bunnies \nSingle maned \nThey will leave with change over food birth certificate and care sheet \nAlso nails will be clipped before collection	      https://assets.pets4homes.co.uk/image/f65bbe75-f97e-4e55-b765-360c8cf234f8/image_wm/image.webp	      Pets > Rabbits > Mini Lion Lop	60.0	        /classifieds/txq8cbpia-beautiful-mini-lion-lops-bolton/	          Organization	          Waterlock B.	sale	rabbits
2	      Gorgeous French Lop buck ready	      Last of the little a gorgeous very friendly boy. Giant breed bunny. Enquiries welcome, changeover food provided. 	      https://assets.pets4homes.co.uk/image/cfe6b94c-e0cf-4fe7-b01c-12e315862100/image_wm/image.webp	      Pets > Rabbits > French Lop	65.0	        /classifieds/m7dfznd83-gorgeous-french-lop-buck-ready-crewe/	          Organization	          Lops of Love C.	sale	rabbits
3	      Stunning giant french lop girl grey 	      Beautiful giant french lop girl \nReady now \nWill leave with change over food birth certificate and care sheet also nails will be clipped before collection \nWill need a big hutch if being kept outside 	      https://assets.pets4homes.co.uk/image/b0b8e152-ccd6-4334-9123-654b68d57f97/image_wm/image.webp	      Pets > Rabbits > French Lop	80.0	        /classifieds/xzqscqsu1-stunning-giant-french-lop-girl-grey-bolton/	          Organization	          Waterlock B.	sale	rabbits
4	      Baby rabbits for sale	      Hi\n\nI have a gorgeous litter of half mini lop baby bunnies who are ready to leave to new homes now \n\nI am looking for loving homes for our babies who can provide lots of attention, space and care.\n\nTh	      https://assets.pets4homes.co.uk/image/a73062d2-e1ab-4177-ab4f-5047dce1a982/image_wm/image.webp	      Pets > Rabbits > Mixed Breed	65.0	        /classifieds/uyrx7ynq-baby-rabbits-for-sale-stockport/	          Person	          Masuma I.	sale	rabbits
5	      Baby mini lion lop rabbits for sale	      Hi\n\nI have a gorgeous litter of half mini lop baby bunnies who are ready to leave to new homes now \n\nI am looking for loving homes for our babies who can provide lots of attention, space and care.\n\nTh	      https://assets.pets4homes.co.uk/image/d3696d8b-739c-493c-8753-178e21af156a/image_wm/image.webp	      Pets > Rabbits > Mini Lion Lop	65.0	        /classifieds/su8ckm9o-baby-mini-lion-lop-rabbits-for-sale-stockport/	          Person	          Masuma I.	sale	rabbits
6	      Baby lionhead rabbits for sale	      Hi\n\nI have a gorgeous litter of half mini lop baby bunnies who are ready to leave to new homes now \n\nI am looking for loving homes for our babies who can provide lots of attention, space and care.\n\nTh	      https://assets.pets4homes.co.uk/image/5a21e80d-9319-4db2-8c88-85d944bd803c/image_wm/image.webp	      Pets > Rabbits > Lionhead	65.0	        /classifieds/sdwfevmbq-baby-lionhead-rabbits-for-sale-stockport/	          Person	          Masuma I.	sale	rabbits
7	      Baby mini lop rabbits for sale	      Hi\n\nI have a gorgeous litter of half mini lop baby bunnies who are ready to leave to new homes now \n\nI am looking for loving homes for our babies who can provide lots of attention, space and care.\n\nTh	      https://assets.pets4homes.co.uk/image/de21e1dd-db9b-4715-b102-c89346482fdf/image_wm/image.webp	      Pets > Rabbits > Mini Lop	65.0	        /classifieds/d5ktnnvvk-baby-mini-lop-rabbits-for-sale-stockport/	          Person	          Masuma I.	sale	rabbits
8	      Mini lops	      These beautiful mini lops will be ready to leave at 8 weeks old. The pictures don't do them justice they are super fluffy and soft and tiny.\n\nThey are all girls.\n\nBeen handled from birth by myself and	      https://assets.pets4homes.co.uk/image/7c623d31-72eb-418e-9fae-ad24e84f8493/image_wm/image.webp	      Pets > Rabbits > Mini Lop	40.0	        /classifieds/bp5aqvjel-mini-lops-bolton/	          Organization	          Lydia	sale	rabbits
9	      4x lionhead cross netherland dwarfs	      4 lovely bunnies ready for their new homes. Well handled and socialised they are comfortable around other animals, and children	      https://assets.pets4homes.co.uk/image/531a8477-d157-4720-90ec-3e32d2395042/image_wm/image.webp	      Pets > Rabbits > Mixed Breed	45.0	        /classifieds/dr8sooi6a-4x-lionhead-cross-netherland-dwarfs-wigan/	          Person	          Emily P.	sale	rabbits
10	      Pedigree Mini Lops Ready to leave	      Pure Mini lops ready to leave…handled since birth …4 males and 2 females…will come with change over food…can deliver locally at cost…chocolate point vm bucks and cinamon does	      https://assets.pets4homes.co.uk/image/a94ad82a-279f-4704-a7d1-d25001cadc61/image_wm/image.webp	      Pets > Rabbits > Mini Lop	50.0	        /classifieds/sk0tapl3y-pedigree-mini-lops-ready-to-leave-liversedge/	          Organization	          Royal Mini Lops	sale	rabbits
11	      Beautiful Baby Mini Lops	      *ready 16th July 2022*\n \nWe will be able to find out their sexes in a few weeks - too early to tell yet. \n\n- 4x Dark Siamese Sable (black)\n- 2x Siamese Sable (grey) *1 reserved*\n- 1x cream *reserved*\n	      https://assets.pets4homes.co.uk/image/5042cf27-293c-4f54-99b9-59e98b2ad0d7/image_wm/image.webp	      Pets > Rabbits > Mini Lop	60.0	        /classifieds/sl9bnnqjc-beautiful-baby-mini-lops-cleckheaton/	          Person	          Megan B.	sale	rabbits
12	      Angora x Lionhead Rabbits - Come with care package	      Beautiful litter of Angora x Lionheads for sale.\nWill be very fluffy as part angora. \nSo must be groomed regularly. \n\n3 girls left.\nThey are all pictured.\nMore photos and videos available. \n\nI charge 	      https://assets.pets4homes.co.uk/image/8e3a2462-b460-471c-8075-f32accfc331c/image_wm/image.webp	      Pets > Rabbits > Mixed Breed	70.0	        /classifieds/llr1ozynl-angora-x-lionhead-babies-for-sale-wigan/	          Organization	          Kaitlen R.	sale	rabbits
13	      Flemish Giant Rabbits	      Flemish giant rabbits ready for their loving 5 star forever homes. Ten weeks old and thriving well. Five babies available as follows:\n\nDoe #1 White, blue eyes, sooty nose \nDoe #2 White, blue eyes, soo	      https://assets.pets4homes.co.uk/image/eaa73953-3fc6-4e32-b1cc-8d1d6e016053/image_wm/image.webp	      Pets > Rabbits > Flemish	120.0	        /classifieds/qsluupigf-flemish-giant-rabbits-skelmersdale/	          Person	          Bunnymum M.	sale	rabbits
14	      Beautiful pure bred mini lop bucks 	      I have 5 pure bred Mini lop bucks for sale\n\nOrange, blue tort and sooty fawn from Bambi and Rupert \n\nGrey fox and blue fox from Sweet Pea and Apollo \n\n5* homes\nParents can be seen - can go in pairs fr	      https://assets.pets4homes.co.uk/image/fdb64f59-0f28-4a7f-ae92-3743df3479ee/image_wm/image.webp	      Pets > Rabbits > Mini Lop	40.0	        /classifieds/y3ir5nsno-beautiful-pure-bred-mini-lop-bucks-manchester/	          Organization	          Bluebell Bunnies	sale	rabbits
