	Title	Description	photo_link	category	price	url	seller_type	seller_name	listing_type	pet_type
0	      Tommy	      Tommy is my breeding buck but unfortunately has grown to big for his girls here ￼, Tommy is now on the lookout for some bigger girls so he can continue to produce beautiful babies. Tommy will leave wi	      https://assets.pets4homes.co.uk/image/e9dbcb92-164b-4d90-9d9b-0097c7b8217d/image_wm/image.webp	      Pets > Rabbits > Mini Lop	        40	        /classifieds/xt3vgbocu-tommy-dereham/	          Organization	          Emma M.	sale	rabbits
1	      Extremely friendly	      Ready to reserve . \n\nExtremely friendly girls and boys, they are handled daily very well socialised. Mother, father and other family members can be seen. Change over food will be provided.	      https://assets.pets4homes.co.uk/image/41331901-142e-4f7e-bb4d-c91b1a118256/image_wm/image.webp	      Pets > Rabbits > Mini Lop	        60	        /classifieds/vvoinvsxx-extremely-friendly-dereham/	          Organization	          Emma M.	sale	rabbits
2	      Gorgeous pure breed mini lop does	      I have a lovely litter of babies that are ready to be reserved. There is a mix of does.They will be ready to leave for their new homes from 12th june\n\nAll are very cute and all have there own fabulous	      https://assets.pets4homes.co.uk/image/a2cc3421-755e-4d50-9b93-73992f96bd4c/image_wm/image.webp	      Pets > Rabbits > Mini Lop	        60	        /classifieds/muiqv-k8v-gorgeous-pure-breed-mini-lop-does-wymondham/	          Organization	          Hayley p	sale	rabbits
3	      3 gorgeous baby bunnies for sale	      3 gorgeous baby bunnies for sale, not to be sold as pet food. We have 2 females and 1 male for sale they are now around 1.5 months old and are eating hard food as well as hay and fresh greens. As they	      https://assets.pets4homes.co.uk/image/21b234cd-ee88-45d9-9e25-9559b3147d44/image_wm/image.webp	      Pets > Rabbits > Mixed Breed	        40	        /classifieds/b-ffweayo-3-gorgeous-baby-bunnies-for-sale-kings-lynn/	          Organization	          Ottilie H.	sale	rabbits
4	      Baby rabbits for sale	      3 little girls looking for their forever homes. Been very well raised and handled as much as possible. Ready to leave Sunday 12th onwards. Mum is a pure Dutch and dad is a lop cross. Both parents are 	      https://assets.pets4homes.co.uk/image/3110ebf1-a260-4d8a-8737-a6b1649bd4d6/image_wm/image.webp	      Pets > Rabbits > Mixed Breed	        35	        /classifieds/tdzdkrpxa-baby-rabbits-for-sale-kings-lynn/	          Person	          Sami- Louise G.	sale	rabbits
5	      French lop kits 9 weeks old	      Beautiful French lop boys waiting for forever homes nearly 9 weeks old super friendly already and tame. Open for sensible offers they need their forever homes now 	      https://assets.pets4homes.co.uk/image/76b2e6f6-b763-4d3a-9bc0-a1f68de65c22/image_wm/image.webp	      Pets > Rabbits > French Lop	        100	        /classifieds/fuqrhndsx-french-lop-kits-9-weeks-old-norwich/	          Organization	          Tara S.	sale	rabbits
6	      Baby Boy Ready Now ~ Pure Bred Mini Lops	      🥕 Beautiful Blue Tortoiseshell Baby Boy\n🥕The sweetest little man bursting with love. He is a proper snuggle monster given the chance.\n🥕Used to adults and children.\n🥕Already using the litter tray.\n	      https://assets.pets4homes.co.uk/image/aaeb927d-d11e-45e6-9b81-f27012a46505/image_wm/image.webp	      Pets > Rabbits > Mini Lop	        50	        /classifieds/pxdd5w7o-baby-boy-ready-now-pure-bred-mini-lops-diss/	          Organization	          StopTime Mini Lops	sale	rabbits
7	      Mini Lops 	      Ready now . \nExtremely friendly girls and boys, they are handled daily very well socialised. Mother, father and other family members can be seen. Change over food will be provided.	      https://assets.pets4homes.co.uk/image/0881fbf0-1311-4b06-8464-a927636d2136/image_wm/image.webp	      Pets > Rabbits > Mini Lop	        60	        /classifieds/ktiapjkmj-mini-lops-dereham/	          Organization	          Emma M.	sale	rabbits
8	      harli split available	      hiya! due to being let down on this little girl she is now back up for reservation.\nparents are both very loving and have a great temperament, \nparents can also be seen.\n\nshe has been handled since sh	      https://assets.pets4homes.co.uk/image/2ddbba97-fa98-4752-a82b-5c660b547da3/image_wm/image.webp	      Pets > Rabbits > Mini Lop	        50	        /classifieds/cnnx1yx3v-harli-split-available-bury-saint-edmunds/	          Person	          Jessicas R.	sale	rabbits
9	      beautiful mini lop kits ready now	      Here at Sloanes mini lops We have some beautiful pure mini lop kits ready now\nThere is 1 girl(pic5-6) and 2 boys (pic1-4)\nwe require a £30 deposit to reserve and £40 upon collection unless collected s	      https://assets.pets4homes.co.uk/image/53e8312e-7646-46a9-a75a-e14497167d6e/image_wm/image.webp	      Pets > Rabbits > Mini Lop	        70	        /classifieds/ufh0zh1p5-beautiful-mini-lop-kits-ready-now-attleborough/	          Organization	          Bruce K.	sale	rabbits
